7/24/2024  3:39 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.02	0.000	
2	0.02	0.135	
3	0.02	0.185	
4	0.02	0.235	
5	0.02	0.286	
6	0.02	0.335	
7	0.02	0.385	
8	0.02	0.435	
9	0.02	0.486	
10	0.02	0.535	
11	0.02	0.585	
12	0.02	0.635	
13	0.02	0.686	
14	0.02	0.735	
15	0.02	0.785	
16	0.02	0.835	
17	0.02	0.885	
18	0.02	0.936	
19	0.02	0.985	
20	0.02	1.035	
21	0.02	1.085	
22	0.02	1.136	
23	0.02	1.185	
24	0.02	1.235	
25	0.02	1.285	
26	0.02	1.335	
27	0.02	1.385	
28	0.02	1.435	
29	0.02	1.485	
30	0.02	1.535	
31	0.02	1.585	
32	0.02	1.635	
33	0.02	1.685	
34	0.02	1.735	
35	0.02	1.785	
36	0.02	1.835	
37	0.02	1.885	
38	0.02	1.936	
39	0.02	1.985	
40	0.02	2.035	
41	0.02	2.085	
42	0.02	2.135	
43	0.02	2.186	
44	0.02	2.236	
45	0.02	2.285	
46	0.02	2.335	
47	0.02	2.385	
48	0.02	2.435	
49	0.02	2.485	
50	0.02	2.536	
51	0.02	2.586	
52	0.02	2.635	
53	0.02	2.685	
54	0.02	2.736	
55	0.02	2.785	
56	0.02	2.835	
57	0.02	2.886	
58	0.02	2.935	
59	0.02	2.985	
60	0.02	3.035	
61	0.02	3.085	
62	0.02	3.136	
63	0.02	3.185	
64	0.02	3.235	
65	0.02	3.285	
66	0.02	3.335	
67	0.02	3.385	
68	0.02	3.435	
69	0.02	3.486	
70	0.02	3.535	
71	0.02	3.585	
72	0.02	3.636	
73	0.02	3.685	
74	0.02	3.735	
75	0.02	3.785	
76	0.02	3.835	
77	0.02	3.886	
78	0.02	3.935	
79	0.02	3.985	
80	0.02	4.035	
81	0.02	4.085	
82	0.02	4.135	
83	0.02	4.185	
84	0.02	4.235	
85	0.02	4.285	
86	0.02	4.335	
87	0.02	4.385	
88	0.02	4.436	
89	0.02	4.485	
90	0.02	4.535	
91	0.02	4.585	
92	0.02	4.635	
93	0.02	4.685	
94	0.02	4.735	
95	0.02	4.785	
96	0.02	4.835	
97	0.02	4.885	
98	0.06	4.936	
99	0.06	4.985	
100	0.10	5.035	
101	0.12	5.085	
102	0.28	5.138	
103	0.38	5.185	
104	0.66	5.235	
105	1.00	5.285	
106	1.30	5.335	
107	1.72	5.385	
108	2.22	5.436	
109	2.84	5.485	
110	3.40	5.536	
111	4.12	5.585	
112	5.66	5.635	
113	6.74	5.685	
114	7.80	5.735	
115	8.84	5.786	
116	9.68	5.835	
117	10.20	5.885	
118	10.34	5.935	
119	10.32	5.985	
120	10.30	6.035	
121	10.28	6.085	
122	10.26	6.135	
123	10.24	6.186	
124	10.24	6.235	
125	10.22	6.285	
126	10.20	6.335	
127	10.20	6.385	
128	10.18	6.435	
129	10.18	6.485	
130	10.18	6.535	
131	10.18	6.585	
132	10.16	6.635	
133	10.16	6.685	
134	10.16	6.735	
135	10.16	6.785	
136	10.16	6.835	
137	10.14	6.885	
138	10.14	6.935	
139	10.14	6.985	
140	10.12	7.035	
141	10.12	7.085	
142	10.12	7.135	
143	10.12	7.185	
144	10.12	7.235	
145	10.12	7.286	
146	10.12	7.335	
147	10.12	7.385	
148	10.10	7.435	
149	10.10	7.485	
150	10.10	7.535	
151	10.10	7.585	
152	10.10	7.635	
153	10.10	7.685	
154	10.10	7.735	
155	10.10	7.785	
156	10.10	7.835	
157	10.10	7.885	
158	10.08	7.936	
159	10.08	7.985	
160	10.08	8.035	
161	10.08	8.085	
162	10.08	8.136	
163	10.08	8.185	
164	10.08	8.235	
165	10.08	8.285	
166	10.08	8.336	
167	10.06	8.385	
168	10.08	8.436	
169	10.06	8.485	
170	10.06	8.535	
171	10.06	8.586	
172	10.06	8.635	
173	10.06	8.685	
174	10.06	8.735	
175	10.06	8.785	
176	10.08	8.835	
177	9.70	8.885	
178	8.78	8.935	
179	7.66	8.985	
180	6.44	9.035	
181	5.30	9.085	
182	3.54	9.135	
183	3.14	9.185	
184	2.38	9.235	
185	1.64	9.286	
186	1.14	9.335	
187	0.76	9.385	
188	0.60	9.435	
189	0.56	9.485	
190	0.54	9.535	
191	0.54	9.585	
192	0.52	9.635	
193	0.48	9.685	
194	0.44	9.735	
195	0.34	9.785	
196	0.34	9.835	
197	0.34	9.885	
198	0.34	9.935	
199	0.32	9.985	
200	0.32	10.036	
201	0.32	10.085	
202	0.32	10.135	
203	0.32	10.185	
204	0.32	10.235	
205	0.32	10.285	
206	0.30	10.335	
207	0.30	10.386	
208	0.30	10.435	
209	0.30	10.485	
210	0.30	10.535	
211	0.30	10.585	
212	0.30	10.635	
213	0.30	10.685	
214	0.30	10.735	
215	0.30	10.785	
216	0.30	10.836	
217	0.30	10.885	
218	0.30	10.935	
219	0.30	10.986	
220	0.30	11.035	
221	0.30	11.085	
222	0.30	11.135	
223	0.30	11.185	
224	0.30	11.235	
225	0.30	11.285	
226	0.30	11.335	
227	0.30	11.386	
228	0.30	11.435	
229	0.30	11.485	
230	0.30	11.535	
231	0.30	11.585	
232	0.30	11.635	
233	0.30	11.685	
234	0.30	11.735	
235	0.30	11.785	
236	0.30	11.835	
237	0.30	11.885	
238	0.30	11.935	
239	0.30	11.985	
240	0.30	12.035	
241	0.30	12.085	
242	0.30	12.135	
243	0.30	12.185	
244	0.28	12.235	
245	0.28	12.285	
246	0.30	12.335	
247	0.28	12.385	
248	0.28	12.435	
249	0.30	12.485	
250	0.28	12.535	
251	0.28	12.585	
252	0.28	12.635	
253	0.30	12.685	
254	0.28	12.735	
255	0.28	12.785	
256	0.28	12.835	
257	0.30	12.885	
258	0.28	12.935	
259	0.28	12.985	
260	0.28	13.035	
261	0.30	13.085	
262	0.28	13.136	
263	0.28	13.186	
264	0.28	13.235	
265	0.28	13.285	
266	0.28	13.335	
267	0.28	13.385	
268	0.28	13.435	
269	0.28	13.485	
270	0.28	13.535	
271	0.28	13.585	
272	0.28	13.635	
273	0.28	13.685	
274	0.28	13.735	
275	0.28	13.785	
276	0.28	13.836	
277	0.28	13.885	
278	0.28	13.935	
279	0.28	13.985	
280	0.28	14.035	
281	0.28	14.085	
282	0.28	14.135	
283	0.28	14.186	
284	0.28	14.235	
285	0.28	14.285	
286	0.28	14.335	
287	0.28	14.385	
288	0.28	14.435	
289	0.28	14.485	
290	0.28	14.535	
291	0.28	14.585	
292	0.28	14.635	
293	0.28	14.686	
294	0.28	14.735	
295	0.28	14.785	
296	0.28	14.835	
297	0.28	14.885	
298	0.28	14.935	
299	0.28	14.985	
300	0.28	15.035	
301	0.28	15.085	
302	0.28	15.135	
303	0.28	15.185	
304	0.28	15.236	
305	0.28	15.286	
306	0.28	15.335	
307	0.28	15.385	
308	0.28	15.435	
309	0.28	15.486	
310	0.28	15.535	
311	0.28	15.585	
312	0.28	15.635	
313	0.28	15.686	
314	0.28	15.735	
315	0.28	15.785	
316	0.28	15.835	
317	0.28	15.886	
318	0.28	15.935	
319	0.28	15.985	
320	0.28	16.036	
321	0.28	16.085	
322	0.28	16.135	
323	0.28	16.185	
324	0.28	16.235	
325	0.28	16.285	
326	0.28	16.336	
327	0.28	16.385	
328	0.28	16.435	
329	0.28	16.486	
330	0.28	16.535	
331	0.28	16.585	
332	0.28	16.635	
333	0.28	16.685	
334	0.28	16.735	
335	0.28	16.785	
336	0.28	16.835	
337	0.28	16.885	
338	0.28	16.935	
339	0.28	16.985	
340	0.28	17.036	
341	0.28	17.085	
342	0.28	17.135	
343	0.28	17.185	
344	0.28	17.235	
345	0.28	17.285	
346	0.28	17.335	
347	0.32	17.385	
348	0.34	17.435	
349	0.38	17.485	
350	0.48	17.536	
351	0.74	17.585	
352	1.04	17.635	
353	1.34	17.685	
354	1.68	17.735	
355	2.14	17.785	
356	2.70	17.836	
357	3.26	17.885	
358	3.88	17.935	
359	4.64	17.985	
360	6.00	18.035	
361	6.98	18.086	
362	8.00	18.135	
363	8.88	18.185	
364	9.54	18.235	
365	9.82	18.286	
366	9.84	18.335	
367	9.84	18.386	
368	9.80	18.435	
369	9.78	18.485	
370	9.78	18.535	
371	9.76	18.585	
372	9.76	18.635	
373	9.74	18.685	
374	9.74	18.735	
375	9.72	18.785	
376	9.72	18.835	
377	9.72	18.885	
378	9.70	18.935	
379	9.70	18.985	
380	9.70	19.035	
381	9.70	19.085	
382	9.70	19.135	
383	9.68	19.185	
384	9.68	19.235	
385	9.68	19.285	
386	9.68	19.335	
387	9.68	19.385	
388	9.66	19.435	
389	9.66	19.485	
390	9.66	19.535	
391	9.66	19.585	
392	9.66	19.635	
393	9.64	19.685	
394	9.64	19.735	
395	9.64	19.785	
396	9.64	19.835	
397	9.64	19.885	
398	9.64	19.935	
399	9.64	19.985	
400	9.64	20.035	
401	9.64	20.085	
402	9.64	20.135	
403	9.64	20.185	
404	9.64	20.235	
405	9.64	20.285	
406	9.62	20.335	
407	9.62	20.385	
408	9.62	20.435	
409	9.62	20.485	
410	9.62	20.535	
411	9.62	20.585	
412	9.62	20.635	
413	9.62	20.685	
414	9.62	20.735	
415	9.62	20.785	
416	9.62	20.835	
417	9.62	20.885	
418	9.62	20.935	
419	9.62	20.985	
420	9.60	21.035	
421	9.60	21.085	
422	9.60	21.136	
423	9.58	21.185	
424	9.04	21.235	
425	8.02	21.285	
426	6.94	21.335	
427	5.74	21.385	
428	4.74	21.435	
429	3.58	21.485	
430	2.82	21.535	
431	2.04	21.586	
432	1.42	21.635	
433	0.98	21.685	
434	0.70	21.735	
435	0.62	21.786	
436	0.60	21.835	
437	0.58	21.885	
438	0.56	21.935	
439	0.56	21.985	
440	0.50	22.035	
441	0.42	22.085	
442	0.36	22.135	
443	0.36	22.185	
444	0.36	22.235	
445	0.34	22.285	
446	0.34	22.335	
447	0.34	22.385	
448	0.34	22.435	
449	0.34	22.485	
450	0.34	22.535	
451	0.34	22.585	
452	0.34	22.635	
453	0.34	22.685	
454	0.34	22.735	
455	0.34	22.785	
456	0.34	22.835	
457	0.32	22.885	
458	0.34	22.935	
459	0.34	22.985	
460	0.32	23.035	
461	0.32	23.085	
462	0.32	23.135	
463	0.32	23.185	
464	0.32	23.235	
465	0.32	23.285	
466	0.32	23.335	
467	0.32	23.385	
468	0.32	23.435	
469	0.32	23.485	
470	0.32	23.536	
471	0.32	23.586	
472	0.32	23.635	
473	0.32	23.685	
474	0.32	23.735	
475	0.32	23.785	
476	0.32	23.835	
477	0.32	23.885	
478	0.32	23.935	
479	0.32	23.985	
480	0.32	24.035	
481	0.32	24.085	
482	0.32	24.135	
483	0.32	24.185	
484	0.32	24.235	
485	0.32	24.285	
486	0.32	24.335	
487	0.32	24.385	
488	0.32	24.436	
489	0.32	24.485	
490	0.32	24.535	
491	0.32	24.585	
492	0.32	24.635	
493	0.32	24.685	
494	0.32	24.735	
495	0.32	24.785	
496	0.32	24.835	
497	0.32	24.885	
498	0.32	24.935	
499	0.32	24.985	
500	0.32	25.035	
501	0.32	25.085	
502	0.32	25.135	
503	0.32	25.185	
504	0.32	25.236	
505	0.32	25.285	
506	0.32	25.336	
507	0.32	25.385	
508	0.32	25.436	
509	0.32	25.485	
510	0.32	25.535	
511	0.32	25.585	
512	0.32	25.635	
513	0.32	25.685	
514	0.32	25.735	
515	0.32	25.785	
516	0.32	25.835	
517	0.32	25.885	
518	0.32	25.935	
519	0.32	25.985	
520	0.32	26.036	
521	0.32	26.085	
522	0.32	26.135	
523	0.32	26.185	
524	0.30	26.235	
525	0.32	26.285	
526	0.32	26.335	
527	0.32	26.386	
528	0.32	26.436	
529	0.32	26.485	
530	0.32	26.535	
531	0.32	26.585	
532	0.32	26.635	
533	0.32	26.685	
534	0.32	26.735	
535	0.30	26.785	
536	0.32	26.835	
537	0.32	26.885	
538	0.32	26.935	
539	0.30	26.985	
540	0.32	27.035	
541	0.32	27.085	
542	0.32	27.135	
543	0.32	27.185	
544	0.32	27.235	
545	0.32	27.285	
546	0.34	27.336	
547	0.38	27.385	
548	0.44	27.435	
549	0.66	27.485	
550	0.98	27.535	
551	1.28	27.585	
552	1.60	27.635	
553	2.04	27.685	
554	2.56	27.735	
555	3.14	27.785	
556	3.72	27.835	
557	4.42	27.885	
558	5.60	27.935	
559	6.70	27.985	
560	7.68	28.035	
561	8.60	28.085	
562	9.58	28.135	
563	9.68	28.185	
564	9.74	28.235	
565	9.72	28.285	
566	9.70	28.335	
567	9.70	28.385	
568	9.68	28.435	
569	9.66	28.485	
570	9.66	28.535	
571	9.64	28.585	
572	9.64	28.635	
573	9.62	28.685	
574	9.62	28.735	
575	9.62	28.785	
576	9.60	28.835	
577	9.60	28.885	
578	9.60	28.935	
579	9.60	28.985	
580	9.60	29.035	
581	9.58	29.085	
582	9.58	29.135	
583	9.58	29.185	
584	9.58	29.235	
585	9.56	29.285	
586	9.56	29.335	
587	9.56	29.385	
588	9.56	29.435	
589	9.56	29.485	
590	9.56	29.535	
591	9.56	29.585	
592	9.56	29.635	
593	9.56	29.685	
594	9.56	29.735	
595	9.54	29.785	
596	9.54	29.838	
597	9.54	29.885	
598	9.54	29.935	
599	9.54	29.985	
600	9.54	30.035	
601	9.54	30.085	
602	9.52	30.135	
603	9.54	30.185	
604	9.52	30.235	
605	9.52	30.285	
606	9.52	30.335	
607	9.52	30.385	
608	9.52	30.435	
609	9.52	30.485	
610	9.52	30.535	
611	9.52	30.586	
612	9.52	30.635	
613	9.52	30.686	
614	9.50	30.735	
615	9.52	30.785	
616	9.50	30.836	
617	9.50	30.885	
618	9.50	30.935	
619	9.50	30.985	
620	9.50	31.035	
621	9.50	31.085	
622	9.50	31.135	
623	9.50	31.185	
624	9.50	31.235	
625	9.50	31.285	
626	9.50	31.335	
627	9.50	31.385	
628	9.50	31.435	
629	9.50	31.485	
630	9.50	31.535	
631	9.50	31.585	
632	9.50	31.635	
633	9.50	31.685	
634	9.50	31.735	
635	9.50	31.785	
636	9.50	31.835	
637	9.34	31.885	
638	8.60	31.935	
639	7.50	31.985	
640	6.36	32.035	
641	5.28	32.086	
642	4.26	32.135	
643	3.22	32.185	
644	2.50	32.235	
645	1.76	32.285	
646	1.24	32.335	
647	0.86	32.385	
648	0.68	32.435	
649	0.62	32.486	
650	0.60	32.535	
651	0.60	32.585	
652	0.56	32.635	
653	0.54	32.685	
654	0.48	32.735	
655	0.40	32.785	
656	0.38	32.835	
657	0.38	32.885	
