7/23/2024  12:54 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.52	0.000	
2	0.52	0.099	
3	0.52	0.149	
4	0.52	0.200	
5	0.52	0.250	
6	0.52	0.300	
7	0.52	0.349	
8	0.52	0.399	
9	0.52	0.450	
10	0.52	0.499	
11	0.52	0.549	
12	0.52	0.599	
13	0.52	0.650	
14	0.52	0.699	
15	0.52	0.749	
16	0.52	0.799	
17	0.52	0.849	
18	0.52	0.900	
19	0.52	0.949	
20	0.52	0.999	
21	0.52	1.049	
22	0.52	1.100	
23	0.52	1.150	
24	0.52	1.199	
25	0.52	1.249	
26	0.52	1.300	
27	0.52	1.349	
28	0.52	1.400	
29	0.52	1.449	
30	0.52	1.499	
31	0.52	1.549	
32	0.52	1.599	
33	0.52	1.649	
34	0.52	1.699	
35	0.52	1.749	
36	0.52	1.800	
37	0.52	1.849	
38	0.52	1.899	
39	0.52	1.949	
40	0.52	1.999	
41	0.52	2.049	
42	0.52	2.099	
43	0.52	2.149	
44	0.52	2.200	
45	0.52	2.249	
46	0.52	2.300	
47	0.52	2.349	
48	0.52	2.399	
49	0.52	2.449	
50	0.52	2.499	
51	0.52	2.549	
52	0.52	2.599	
53	0.52	2.649	
54	0.52	2.699	
55	0.52	2.750	
56	0.52	2.799	
57	0.52	2.850	
58	0.52	2.899	
59	0.52	2.949	
60	0.52	2.999	
61	0.52	3.049	
62	0.52	3.099	
63	0.52	3.149	
64	0.52	3.199	
65	0.52	3.249	
66	0.52	3.299	
67	0.52	3.349	
68	0.52	3.399	
69	0.52	3.450	
70	0.52	3.500	
71	0.52	3.550	
72	0.52	3.600	
73	0.52	3.649	
74	0.52	3.699	
75	0.52	3.749	
76	0.52	3.799	
77	0.52	3.850	
78	0.52	3.899	
79	0.52	3.949	
80	0.52	4.000	
81	0.52	4.050	
82	0.52	4.099	
83	0.52	4.149	
84	0.64	4.199	
85	0.86	4.249	
86	1.18	4.300	
87	1.66	4.349	
88	2.08	4.400	
89	2.44	4.449	
90	2.82	4.499	
91	3.08	4.549	
92	3.12	4.600	
93	3.12	4.649	
94	3.10	4.699	
95	3.10	4.749	
96	3.10	4.799	
97	3.10	4.849	
98	3.10	4.899	
99	3.08	4.949	
100	3.08	4.999	
101	3.08	5.049	
102	3.08	5.100	
103	3.08	5.149	
104	3.08	5.199	
105	3.08	5.249	
106	3.08	5.299	
107	3.08	5.349	
108	3.06	5.399	
109	3.06	5.450	
110	3.06	5.499	
111	3.06	5.550	
112	3.06	5.599	
113	3.06	5.650	
114	3.06	5.699	
115	3.06	5.749	
116	3.06	5.799	
117	3.06	5.849	
118	3.06	5.899	
119	3.06	5.949	
120	3.06	5.999	
121	3.06	6.049	
122	3.06	6.100	
123	3.06	6.149	
124	3.06	6.199	
125	3.06	6.249	
126	3.06	6.300	
127	3.06	6.349	
128	3.06	6.399	
129	3.06	6.449	
130	3.06	6.500	
131	3.06	6.549	
132	3.06	6.600	
133	3.06	6.649	
134	3.06	6.699	
135	3.06	6.749	
136	3.04	6.799	
137	3.04	6.850	
138	3.06	6.899	
139	3.04	6.949	
140	3.04	7.000	
141	3.06	7.049	
142	3.06	7.099	
143	3.04	7.149	
144	3.04	7.200	
145	3.04	7.249	
146	3.06	7.299	
147	3.06	7.349	
148	3.04	7.399	
149	2.74	7.449	
150	1.94	7.499	
151	1.28	7.549	
152	0.90	7.599	
153	0.74	7.649	
154	0.70	7.700	
155	0.68	7.749	
156	0.68	7.800	
157	0.68	7.849	
158	0.64	7.899	
159	0.60	7.949	
160	0.56	8.000	
161	0.56	8.049	
162	0.56	8.099	
163	0.54	8.150	
164	0.54	8.199	
165	0.56	8.250	
166	0.54	8.300	
167	0.54	8.349	
168	0.54	8.399	
169	0.56	8.449	
170	0.54	8.500	
171	0.54	8.549	
172	0.54	8.600	
173	0.54	8.649	
174	0.54	8.700	
175	0.54	8.749	
176	0.54	8.799	
177	0.54	8.849	
178	0.54	8.899	
179	0.54	8.949	
180	0.54	8.999	
181	0.54	9.050	
182	0.54	9.099	
183	0.54	9.150	
184	0.54	9.199	
185	0.54	9.249	
186	0.54	9.299	
187	0.54	9.349	
188	0.54	9.399	
189	0.54	9.450	
190	0.54	9.499	
191	0.54	9.549	
192	0.54	9.599	
193	0.54	9.650	
194	0.54	9.699	
195	0.54	9.750	
196	0.54	9.799	
197	0.54	9.849	
198	0.54	9.900	
199	0.54	9.949	
200	0.54	9.999	
201	0.54	10.050	
202	0.54	10.099	
203	0.54	10.149	
204	0.54	10.199	
205	0.54	10.249	
206	0.54	10.300	
207	0.54	10.350	
208	0.54	10.399	
209	0.54	10.449	
210	0.54	10.499	
211	0.54	10.549	
212	0.54	10.599	
213	0.54	10.649	
214	0.54	10.699	
215	0.54	10.750	
216	0.54	10.799	
217	0.54	10.849	
218	0.54	10.900	
219	0.54	10.949	
220	0.54	10.999	
221	0.54	11.049	
