7/24/2024  5:03 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.02	0.000	
2	0.02	0.100	
3	0.02	0.150	
4	0.02	0.200	
5	0.02	0.250	
6	0.02	0.300	
7	0.02	0.350	
8	0.02	0.400	
9	0.02	0.450	
10	0.02	0.500	
11	0.02	0.550	
12	0.02	0.601	
13	0.02	0.650	
14	0.02	0.701	
15	0.02	0.750	
16	0.02	0.801	
17	0.02	0.850	
18	0.02	0.900	
19	0.02	0.950	
20	0.02	1.000	
21	0.02	1.050	
22	0.02	1.100	
23	0.02	1.150	
24	0.02	1.201	
25	0.02	1.250	
26	0.02	1.300	
27	0.02	1.350	
28	0.02	1.400	
29	0.02	1.450	
30	0.00	1.500	
31	0.02	1.550	
32	0.02	1.600	
33	0.02	1.650	
34	0.02	1.701	
35	0.02	1.750	
36	0.02	1.800	
37	0.02	1.850	
38	0.00	1.900	
39	0.02	1.950	
40	0.02	2.000	
41	0.02	2.050	
42	0.02	2.100	
43	0.02	2.151	
44	0.02	2.200	
45	0.02	2.250	
46	0.00	2.300	
47	0.02	2.351	
48	0.00	2.400	
49	0.02	2.450	
50	0.02	2.501	
51	0.02	2.551	
52	0.02	2.601	
53	0.00	2.650	
54	0.00	2.700	
55	0.00	2.751	
56	0.02	2.800	
57	0.02	2.851	
58	0.02	2.900	
59	0.02	2.950	
60	0.02	3.000	
61	0.00	3.051	
62	0.02	3.100	
63	0.02	3.151	
64	0.02	3.200	
65	0.00	3.251	
66	0.00	3.300	
67	0.02	3.350	
68	0.00	3.400	
69	0.02	3.450	
70	0.02	3.501	
71	0.00	3.550	
72	0.00	3.601	
73	0.00	3.650	
74	0.00	3.701	
75	0.00	3.750	
76	0.00	3.801	
77	0.00	3.851	
78	0.00	3.900	
79	0.02	3.950	
80	0.02	4.000	
81	0.00	4.051	
82	0.00	4.100	
83	0.00	4.150	
84	0.02	4.200	
85	0.00	4.250	
86	0.02	4.300	
87	0.00	4.350	
88	0.00	4.400	
89	0.02	4.450	
90	0.00	4.500	
91	0.00	4.550	
92	0.02	4.600	
93	0.02	4.650	
94	0.04	4.700	
95	0.06	4.750	
96	0.06	4.800	
97	0.06	4.850	
98	0.18	4.900	
99	0.34	4.950	
100	0.58	5.000	
101	0.88	5.050	
102	1.24	5.100	
103	1.94	5.150	
104	2.16	5.200	
105	2.52	5.250	
106	2.82	5.300	
107	3.02	5.351	
108	3.04	5.400	
109	3.04	5.450	
110	3.02	5.500	
111	3.02	5.550	
112	3.02	5.600	
113	3.02	5.650	
114	3.02	5.700	
115	3.02	5.750	
116	3.02	5.800	
117	3.00	5.850	
118	3.00	5.901	
119	3.00	5.950	
120	3.00	6.000	
121	3.00	6.050	
122	3.00	6.100	
123	3.00	6.151	
124	3.00	6.200	
125	3.00	6.250	
126	3.00	6.300	
127	3.00	6.350	
128	3.00	6.400	
129	3.00	6.450	
130	3.00	6.500	
131	3.00	6.550	
132	2.98	6.600	
133	3.00	6.650	
134	3.00	6.700	
135	3.00	6.750	
136	3.00	6.800	
137	2.98	6.850	
138	2.98	6.900	
139	2.98	6.950	
140	2.98	7.001	
141	2.98	7.050	
142	2.98	7.100	
143	2.98	7.150	
144	2.98	7.200	
145	2.98	7.250	
146	2.98	7.300	
147	2.98	7.350	
148	2.98	7.400	
149	2.98	7.450	
150	2.98	7.500	
151	2.98	7.550	
152	2.98	7.600	
153	2.98	7.650	
154	2.98	7.700	
155	2.98	7.750	
156	2.98	7.800	
157	2.98	7.850	
158	2.98	7.900	
159	2.98	7.950	
160	2.98	8.000	
161	2.98	8.050	
162	2.98	8.100	
163	2.98	8.150	
164	2.98	8.200	
165	2.98	8.250	
166	2.98	8.300	
167	2.98	8.351	
168	2.98	8.400	
169	2.98	8.450	
170	2.98	8.500	
171	2.98	8.550	
172	2.98	8.601	
173	2.98	8.650	
174	2.98	8.701	
175	2.98	8.750	
176	2.98	8.801	
177	2.98	8.850	
178	2.98	8.900	
179	2.98	8.951	
180	2.98	9.000	
181	3.00	9.050	
182	2.74	9.100	
183	2.10	9.150	
184	1.88	9.200	
185	1.38	9.250	
186	0.88	9.300	
187	0.48	9.351	
188	0.24	9.400	
189	0.12	9.450	
190	0.10	9.500	
191	0.08	9.550	
192	0.08	9.601	
193	0.06	9.650	
194	0.06	9.700	
195	0.06	9.750	
196	0.06	9.801	
197	0.04	9.850	
198	0.04	9.901	
199	0.04	9.951	
200	0.04	10.000	
201	0.04	10.050	
202	0.04	10.100	
203	0.04	10.151	
204	0.04	10.200	
205	0.04	10.250	
206	0.04	10.301	
207	0.04	10.350	
208	0.04	10.400	
209	0.04	10.450	
210	0.04	10.500	
211	0.04	10.551	
212	0.04	10.600	
213	0.02	10.650	
214	0.02	10.700	
215	0.04	10.750	
216	0.02	10.800	
217	0.02	10.850	
218	0.04	10.900	
219	0.02	10.950	
220	0.04	11.000	
221	0.02	11.050	
222	0.02	11.100	
223	0.02	11.150	
224	0.02	11.200	
225	0.02	11.250	
226	0.02	11.300	
227	0.02	11.350	
228	0.02	11.400	
229	0.02	11.450	
230	0.02	11.500	
231	0.02	11.550	
232	0.02	11.600	
233	0.02	11.650	
234	0.02	11.700	
235	0.02	11.751	
236	0.02	11.800	
237	0.02	11.850	
238	0.02	11.900	
239	0.02	11.951	
240	0.02	12.000	
241	0.02	12.050	
242	0.02	12.100	
243	0.02	12.151	
244	0.02	12.200	
245	0.02	12.250	
246	0.02	12.300	
247	0.02	12.351	
248	0.02	12.400	
249	0.02	12.450	
250	0.02	12.500	
251	0.02	12.550	
252	0.02	12.601	
253	0.02	12.650	
254	0.02	12.700	
255	0.02	12.750	
256	0.02	12.800	
257	0.02	12.850	
258	0.02	12.900	
259	0.02	12.951	
260	0.02	13.000	
261	0.02	13.050	
262	0.02	13.100	
263	0.02	13.150	
264	0.02	13.200	
265	0.02	13.250	
266	0.02	13.300	
267	0.02	13.350	
268	0.02	13.400	
269	0.02	13.451	
270	0.02	13.500	
271	0.02	13.550	
272	0.02	13.600	
273	0.02	13.650	
274	0.02	13.700	
275	0.02	13.750	
276	0.02	13.800	
277	0.02	13.851	
278	0.02	13.900	
279	0.02	13.950	
280	0.02	14.000	
281	0.02	14.051	
282	0.02	14.100	
283	0.02	14.150	
284	0.02	14.200	
285	0.02	14.250	
286	0.02	14.300	
287	0.02	14.350	
288	0.02	14.400	
289	0.02	14.451	
290	0.02	14.501	
291	0.02	14.551	
292	0.02	14.600	
293	0.02	14.650	
294	0.02	14.700	
295	0.02	14.750	
296	0.02	14.800	
297	0.02	14.850	
298	0.02	14.901	
299	0.02	14.950	
300	0.02	15.001	
301	0.02	15.050	
302	0.02	15.100	
303	0.02	15.150	
304	0.02	15.200	
305	0.02	15.250	
306	0.02	15.300	
307	0.02	15.350	
308	0.02	15.400	
309	0.02	15.450	
310	0.02	15.501	
311	0.02	15.550	
312	0.02	15.600	
313	0.04	15.650	
314	0.04	15.700	
315	0.06	15.750	
316	0.06	15.800	
317	0.06	15.850	
318	0.18	15.900	
319	0.34	15.950	
320	0.58	16.000	
321	0.88	16.050	
322	1.24	16.100	
323	1.74	16.150	
324	2.16	16.201	
325	2.54	16.250	
326	2.86	16.301	
327	3.12	16.351	
