7/25/2024  4:19 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.113	
3	0.00	0.150	
4	0.00	0.201	
5	0.00	0.251	
6	0.00	0.300	
7	0.00	0.351	
8	0.00	0.401	
9	0.00	0.451	
10	0.00	0.501	
11	0.00	0.550	
12	0.00	0.601	
13	0.00	0.651	
14	-0.02	0.700	
15	0.02	0.750	
16	0.02	0.800	
17	0.02	0.851	
18	0.00	0.901	
19	0.00	0.950	
20	0.02	1.000	
21	0.02	1.051	
22	0.00	1.101	
23	-0.04	1.150	
24	0.02	1.201	
25	0.04	1.251	
26	0.00	1.301	
27	-0.04	1.350	
28	-0.02	1.400	
29	0.02	1.451	
30	0.02	1.501	
31	0.00	1.550	
32	-0.02	1.600	
33	0.00	1.650	
34	0.00	1.700	
35	0.00	1.751	
36	0.00	1.801	
37	0.00	1.850	
38	0.00	1.901	
39	0.00	1.950	
40	0.00	2.000	
41	0.00	2.050	
42	0.00	2.101	
43	0.00	2.150	
44	0.00	2.200	
45	0.00	2.250	
46	0.00	2.301	
47	0.00	2.350	
48	0.00	2.401	
49	0.00	2.451	
50	0.00	2.500	
51	0.00	2.551	
52	0.00	2.601	
53	0.00	2.651	
54	0.00	2.701	
55	0.00	2.751	
56	0.00	2.801	
57	0.00	2.850	
58	0.00	2.901	
59	0.00	2.951	
60	0.00	3.001	
61	0.00	3.050	
62	0.00	3.101	
63	0.00	3.150	
64	0.00	3.200	
65	0.00	3.251	
66	0.00	3.300	
67	0.00	3.350	
68	0.00	3.401	
69	0.00	3.451	
70	0.00	3.500	
71	0.00	3.551	
72	0.00	3.600	
73	0.00	3.651	
74	0.00	3.701	
75	0.00	3.750	
76	0.00	3.801	
77	0.00	3.850	
78	0.00	3.900	
79	0.00	3.950	
80	0.00	4.000	
81	0.00	4.050	
82	0.00	4.100	
83	0.00	4.150	
84	0.00	4.201	
85	0.00	4.250	
86	0.00	4.301	
87	0.00	4.350	
88	0.00	4.400	
89	0.00	4.451	
90	0.00	4.500	
91	0.00	4.550	
92	0.00	4.601	
93	0.00	4.651	
94	0.00	4.700	
95	0.00	4.750	
96	0.00	4.800	
97	0.00	4.851	
98	0.00	4.901	
99	0.00	4.950	
100	0.00	5.001	
101	0.10	5.051	
102	0.44	5.101	
103	0.88	5.150	
104	1.34	5.201	
105	1.92	5.251	
106	2.70	5.300	
107	3.52	5.351	
108	4.42	5.400	
109	6.50	5.500	
110	7.22	5.551	
111	8.20	5.600	
112	9.08	5.650	
113	9.92	5.701	
114	10.64	5.750	
115	11.20	5.801	
116	11.58	5.850	
117	11.60	5.900	
118	11.54	5.950	
119	11.50	6.001	
120	11.46	6.050	
121	11.44	6.101	
122	11.42	6.150	
123	11.40	6.201	
124	11.36	6.251	
125	11.36	6.301	
126	11.34	6.351	
127	11.32	6.401	
128	11.32	6.451	
129	11.30	6.500	
130	11.30	6.550	
131	11.28	6.601	
132	11.28	6.651	
133	11.26	6.700	
134	11.26	6.751	
135	11.26	6.801	
136	11.24	6.851	
137	11.24	6.900	
138	11.22	6.951	
139	11.22	7.000	
140	11.22	7.051	
141	11.20	7.100	
142	11.20	7.150	
143	11.20	7.201	
144	11.20	7.250	
145	11.20	7.300	
146	11.18	7.350	
147	11.18	7.401	
148	11.18	7.450	
149	11.18	7.500	
150	11.16	7.551	
151	11.16	7.601	
152	11.16	7.650	
153	11.16	7.701	
154	11.16	7.750	
155	11.14	7.801	
156	11.14	7.850	
157	11.14	7.901	
158	11.14	7.950	
159	11.14	8.001	
160	11.14	8.050	
161	10.24	8.101	
162	8.20	8.151	
163	6.60	8.201	
164	5.26	8.250	
165	4.08	8.301	
166	3.02	8.350	
167	2.18	8.401	
168	1.58	8.450	
169	1.20	8.500	
170	0.98	8.551	
171	0.76	8.600	
172	0.56	8.650	
173	0.42	8.701	
174	0.34	8.750	
175	0.34	8.800	
176	0.34	8.850	
177	0.34	8.901	
178	0.34	8.950	
179	0.34	9.000	
180	0.34	9.051	
181	0.32	9.101	
182	0.26	9.150	
183	0.22	9.200	
184	0.22	9.251	
