7/25/2024  4:41 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.055	
3	0.00	0.100	
4	0.00	0.150	
5	0.00	0.201	
6	0.00	0.251	
7	0.00	0.301	
8	0.00	0.350	
9	0.00	0.401	
10	0.00	0.451	
11	0.00	0.500	
12	0.00	0.551	
13	0.00	0.600	
14	0.00	0.650	
15	0.00	0.701	
16	0.00	0.751	
17	0.00	0.801	
18	0.00	0.850	
19	0.00	0.900	
20	0.00	0.951	
21	0.00	1.000	
22	0.00	1.051	
23	0.00	1.100	
24	0.00	1.151	
25	0.00	1.200	
26	0.00	1.251	
27	0.00	1.301	
28	0.00	1.351	
29	0.00	1.401	
30	0.00	1.450	
31	0.00	1.500	
32	0.00	1.550	
33	0.00	1.601	
34	0.00	1.650	
35	0.00	1.701	
36	0.00	1.751	
37	0.00	1.800	
38	0.00	1.851	
39	0.00	1.900	
40	0.00	1.951	
41	0.00	2.000	
42	0.00	2.051	
43	0.00	2.101	
44	0.00	2.150	
45	0.00	2.200	
46	0.00	2.251	
47	0.00	2.301	
48	0.00	2.350	
49	0.00	2.401	
50	0.00	2.450	
51	0.00	2.500	
52	0.00	2.551	
53	0.00	2.600	
54	0.00	2.651	
55	0.00	2.700	
56	0.00	2.751	
57	0.00	2.801	
58	0.00	2.850	
59	0.00	2.900	
60	0.00	2.951	
61	0.00	3.000	
62	0.00	3.051	
63	0.00	3.100	
64	0.00	3.151	
65	0.00	3.200	
66	0.00	3.250	
67	0.00	3.301	
68	0.00	3.350	
69	0.00	3.400	
70	0.00	3.451	
71	0.00	3.500	
72	0.00	3.551	
73	0.00	3.600	
74	0.00	3.651	
75	0.00	3.700	
76	0.00	3.750	
77	0.00	3.800	
78	0.00	3.850	
79	0.00	3.900	
80	0.00	3.951	
81	0.00	4.000	
82	0.00	4.051	
83	0.00	4.100	
84	0.00	4.150	
85	0.00	4.201	
86	0.18	4.251	
87	0.62	4.300	
88	1.06	4.350	
89	1.60	4.400	
90	2.22	4.451	
91	3.12	4.500	
92	4.08	4.550	
93	5.14	4.600	
94	6.12	4.651	
95	7.04	4.701	
96	7.86	4.751	
97	8.44	4.800	
98	8.66	4.850	
99	8.68	4.900	
100	8.64	4.950	
101	8.62	5.000	
102	8.60	5.050	
103	8.58	5.100	
104	8.56	5.150	
105	8.56	5.201	
106	8.54	5.251	
107	8.54	5.300	
108	8.52	5.351	
109	8.52	5.400	
110	8.50	5.450	
111	8.50	5.500	
112	8.50	5.551	
113	8.48	5.600	
114	8.48	5.650	
115	8.48	5.700	
116	8.46	5.750	
117	8.46	5.800	
118	8.46	5.851	
119	8.46	5.901	
120	8.46	5.951	
121	8.30	6.001	
122	7.04	6.050	
123	5.44	6.101	
124	4.06	6.151	
125	3.14	6.200	
126	2.34	6.250	
127	1.66	6.300	
128	1.10	6.351	
129	0.74	6.400	
130	0.62	6.450	
131	0.56	6.501	
132	0.52	6.550	
133	0.52	6.600	
134	0.54	6.650	
135	0.54	6.700	
136	0.54	6.750	
137	0.54	6.800	
138	0.54	6.850	
139	0.48	6.901	
140	0.40	6.950	
141	0.38	7.000	
142	0.32	7.050	
143	0.16	7.100	
144	0.08	7.150	
145	0.06	7.200	
146	0.06	7.251	
147	0.06	7.301	
148	0.08	7.350	
149	0.06	7.400	
150	0.06	7.451	
151	0.06	7.501	
152	0.08	7.551	
153	0.08	7.600	
154	0.08	7.650	
155	0.08	7.700	
