7/25/2024  5:24 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.147	
3	0.00	0.196	
4	0.00	0.245	
5	0.00	0.296	
6	0.00	0.345	
7	0.00	0.395	
8	0.00	0.446	
9	0.00	0.496	
10	0.00	0.545	
11	0.00	0.596	
12	0.00	0.645	
13	0.00	0.696	
14	0.00	0.745	
15	0.00	0.795	
16	0.00	0.846	
17	0.00	0.896	
18	0.00	0.945	
19	0.00	0.996	
20	0.00	1.045	
21	0.00	1.096	
22	0.00	1.145	
23	0.00	1.196	
24	0.00	1.245	
25	0.00	1.296	
26	0.00	1.345	
27	0.00	1.396	
28	0.00	1.446	
29	0.00	1.495	
30	0.00	1.546	
31	0.00	1.596	
32	0.00	1.646	
33	0.00	1.696	
34	0.00	1.746	
35	0.00	1.795	
36	0.00	1.846	
37	0.00	1.895	
38	0.00	1.946	
39	0.00	1.995	
40	0.00	2.046	
41	0.00	2.095	
42	0.00	2.146	
43	0.00	2.195	
44	0.00	2.246	
45	0.00	2.296	
46	0.00	2.345	
47	0.00	2.395	
48	0.00	2.446	
49	0.00	2.495	
50	0.00	2.546	
51	0.00	2.595	
52	0.00	2.646	
53	0.00	2.695	
54	0.00	2.746	
55	0.00	2.795	
56	0.00	2.845	
57	0.00	2.895	
58	0.00	2.945	
59	0.00	2.995	
60	0.00	3.046	
61	0.00	3.095	
62	0.00	3.146	
63	0.00	3.195	
64	0.00	3.245	
65	0.00	3.295	
66	0.00	3.345	
67	0.00	3.396	
68	0.00	3.445	
69	0.00	3.496	
70	0.00	3.545	
71	0.00	3.595	
72	0.00	3.646	
73	0.00	3.695	
74	0.00	3.745	
75	0.00	3.796	
76	0.00	3.845	
77	0.00	3.895	
78	0.00	3.945	
79	0.00	3.996	
80	0.00	4.045	
81	0.00	4.096	
82	0.00	4.146	
83	0.00	4.195	
84	0.00	4.246	
85	0.00	4.296	
86	0.00	4.345	
87	0.00	4.396	
88	0.00	4.445	
89	0.02	4.495	
90	0.08	4.545	
91	0.28	4.595	
92	0.56	4.645	
93	0.94	4.695	
94	1.62	4.745	
95	2.48	4.795	
96	3.26	4.846	
97	3.84	4.895	
98	4.48	4.946	
99	5.28	4.995	
100	6.14	5.045	
101	7.00	5.096	
102	7.86	5.146	
103	8.74	5.195	
104	9.66	5.245	
105	10.12	5.295	
106	10.22	5.345	
107	10.14	5.397	
108	10.08	5.446	
109	10.04	5.495	
110	10.02	5.546	
111	9.98	5.595	
112	9.98	5.646	
113	9.96	5.696	
114	9.94	5.746	
115	9.92	5.795	
116	9.90	5.845	
117	9.90	5.896	
118	9.90	5.946	
119	9.88	5.995	
120	9.88	6.046	
121	9.86	6.096	
122	9.86	6.146	
123	9.84	6.196	
124	9.84	6.246	
125	9.84	6.296	
126	9.82	6.346	
127	9.82	6.396	
128	9.08	6.446	
129	8.06	6.495	
130	7.38	6.546	
131	6.04	6.596	
132	4.80	6.646	
133	3.64	6.695	
134	2.74	6.745	
135	2.00	6.796	
136	1.36	6.845	
137	0.86	6.896	
138	0.48	6.945	
139	0.30	6.995	
140	0.28	7.045	
141	0.28	7.095	
142	0.28	7.146	
143	0.28	7.195	
144	0.30	7.246	
145	0.30	7.296	
146	0.30	7.345	
147	0.30	7.395	
148	0.30	7.446	
149	0.30	7.497	
150	0.30	7.546	
151	0.30	7.595	
