7/23/2024  1:03 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.10	0.000	
2	0.10	0.100	
3	0.10	0.150	
4	0.10	0.200	
5	0.10	0.250	
6	0.10	0.300	
7	0.10	0.350	
8	0.10	0.400	
9	0.10	0.450	
10	0.10	0.500	
11	0.10	0.550	
12	0.10	0.600	
13	0.10	0.650	
14	0.10	0.700	
15	0.10	0.750	
16	0.10	0.800	
17	0.10	0.850	
18	0.10	0.900	
19	0.10	0.950	
20	0.10	1.001	
21	0.10	1.050	
22	0.10	1.101	
23	0.10	1.151	
24	0.10	1.200	
25	0.10	1.250	
26	0.10	1.300	
27	0.10	1.350	
28	0.10	1.400	
29	0.10	1.450	
30	0.10	1.500	
31	0.10	1.550	
32	0.10	1.601	
33	0.10	1.650	
34	0.10	1.700	
35	0.10	1.750	
36	0.10	1.800	
37	0.10	1.850	
38	0.10	1.900	
39	0.10	1.950	
40	0.10	2.000	
41	0.10	2.050	
42	0.10	2.100	
43	0.10	2.150	
44	0.10	2.200	
45	0.10	2.250	
46	0.10	2.300	
47	0.10	2.350	
48	0.10	2.400	
49	0.08	2.450	
50	0.10	2.500	
51	0.10	2.550	
52	0.10	2.600	
53	0.10	2.650	
54	0.10	2.700	
55	0.10	2.750	
56	0.10	2.800	
57	0.10	2.850	
58	0.10	2.900	
59	0.10	2.950	
60	0.08	3.001	
61	0.10	3.050	
62	0.08	3.100	
63	0.10	3.150	
64	0.10	3.200	
65	0.10	3.250	
66	0.10	3.300	
67	0.10	3.350	
68	0.08	3.400	
69	0.08	3.450	
70	0.18	3.501	
71	0.64	3.550	
72	1.32	3.600	
73	2.16	3.651	
74	3.04	3.700	
75	3.76	3.750	
76	4.56	3.800	
77	5.50	3.850	
78	5.64	3.900	
79	5.74	3.950	
80	5.70	4.000	
81	5.68	4.050	
82	5.68	4.100	
83	5.66	4.150	
84	5.66	4.200	
85	5.64	4.250	
86	5.64	4.300	
87	5.64	4.350	
88	5.64	4.400	
89	5.62	4.450	
90	5.62	4.500	
91	5.62	4.550	
92	5.62	4.600	
93	5.60	4.650	
94	5.60	4.700	
95	5.60	4.751	
96	5.60	4.800	
97	5.60	4.850	
98	5.60	4.900	
99	5.60	4.950	
100	5.60	5.001	
101	5.58	5.050	
102	5.58	5.100	
103	5.58	5.151	
104	5.58	5.200	
105	5.58	5.251	
106	5.58	5.300	
107	5.58	5.350	
108	5.58	5.400	
109	5.58	5.451	
110	5.58	5.500	
111	5.58	5.550	
112	5.58	5.600	
113	5.58	5.650	
114	5.56	5.701	
115	5.56	5.750	
116	5.56	5.800	
117	5.56	5.850	
118	5.56	5.900	
119	5.56	5.950	
120	5.56	6.000	
121	5.56	6.051	
122	5.56	6.100	
123	5.56	6.150	
124	5.56	6.200	
125	5.56	6.250	
126	5.56	6.300	
127	5.56	6.350	
128	5.56	6.401	
129	5.56	6.450	
130	5.56	6.501	
131	5.54	6.550	
132	4.98	6.600	
133	3.72	6.650	
134	2.60	6.700	
135	1.66	6.751	
136	0.92	6.800	
137	0.48	6.850	
138	0.38	6.900	
139	0.36	6.950	
140	0.34	7.001	
141	0.34	7.051	
142	0.28	7.100	
143	0.26	7.150	
144	0.20	7.200	
145	0.14	7.250	
146	0.16	7.301	
147	0.16	7.350	
148	0.14	7.400	
149	0.14	7.450	
150	0.14	7.501	
151	0.14	7.550	
152	0.14	7.600	
153	0.14	7.650	
154	0.14	7.700	
155	0.14	7.750	
156	0.14	7.800	
157	0.14	7.850	
158	0.14	7.900	
159	0.14	7.950	
160	0.14	8.000	
161	0.14	8.050	
162	0.14	8.100	
163	0.14	8.150	
164	0.14	8.200	
165	0.14	8.250	
166	0.14	8.300	
167	0.14	8.350	
168	0.14	8.400	
169	0.12	8.450	
170	0.14	8.500	
171	0.12	8.550	
172	0.12	8.601	
173	0.12	8.650	
174	0.12	8.701	
175	0.12	8.750	
176	0.14	8.801	
177	0.12	8.850	
178	0.12	8.900	
179	0.12	8.951	
180	0.12	9.000	
181	0.12	9.051	
182	0.12	9.100	
183	0.12	9.150	
184	0.12	9.200	
185	0.12	9.250	
186	0.12	9.300	
187	0.12	9.350	
188	0.12	9.400	
189	0.12	9.450	
190	0.12	9.500	
191	0.12	9.550	
192	0.12	9.600	
193	0.12	9.650	
194	0.12	9.700	
195	0.12	9.750	
196	0.12	9.800	
197	0.12	9.850	
198	0.12	9.900	
199	0.12	9.950	
200	0.12	10.001	
201	0.12	10.050	
202	0.12	10.100	
203	0.12	10.150	
204	0.12	10.200	
205	0.12	10.251	
206	0.12	10.300	
207	0.12	10.350	
208	0.12	10.400	
209	0.12	10.450	
210	0.12	10.501	
211	0.12	10.550	
212	0.12	10.600	
213	0.12	10.650	
214	0.12	10.701	
215	0.12	10.750	
216	0.12	10.801	
217	0.10	10.850	
218	0.12	10.900	
219	0.12	10.951	
220	0.12	11.001	
221	0.12	11.051	
222	0.12	11.100	
223	0.12	11.150	
224	0.12	11.200	
225	0.12	11.251	
226	0.12	11.301	
227	0.10	11.350	
228	0.12	11.400	
229	0.12	11.450	
230	0.10	11.501	
231	0.12	11.550	
232	0.10	11.600	
233	0.10	11.651	
234	0.12	11.700	
235	0.12	11.750	
236	0.10	11.800	
237	0.12	11.851	
238	0.12	11.900	
239	0.10	11.950	
240	0.12	12.000	
241	0.10	12.051	
242	0.10	12.100	
243	0.10	12.151	
244	0.10	12.201	
245	0.16	12.250	
246	0.60	12.300	
247	1.28	12.350	
248	2.14	12.401	
249	3.04	12.450	
250	3.76	12.501	
251	4.54	12.551	
252	5.18	12.600	
253	5.56	12.651	
254	5.60	12.700	
255	5.58	12.751	
256	5.56	12.800	
257	5.54	12.850	
258	5.54	12.900	
259	5.52	12.950	
260	5.52	13.000	
261	5.50	13.050	
262	5.50	13.100	
263	5.50	13.150	
264	5.48	13.200	
265	5.48	13.250	
266	5.48	13.300	
267	5.48	13.350	
268	5.48	13.400	
269	5.46	13.450	
270	5.46	13.500	
271	5.46	13.550	
272	5.46	13.600	
273	5.46	13.651	
274	5.46	13.701	
275	5.44	13.750	
276	5.44	13.800	
277	5.44	13.851	
278	5.44	13.900	
279	5.44	13.950	
280	5.44	14.001	
281	5.44	14.050	
282	5.44	14.101	
283	5.44	14.150	
284	5.44	14.200	
285	5.44	14.250	
286	5.44	14.300	
287	5.42	14.350	
288	5.42	14.400	
289	5.42	14.450	
290	5.42	14.500	
291	5.42	14.551	
292	5.42	14.601	
293	5.42	14.650	
294	5.42	14.700	
295	5.42	14.751	
296	5.42	14.801	
297	5.42	14.850	
298	5.42	14.900	
299	5.42	14.950	
300	5.40	15.000	
301	5.40	15.050	
302	5.40	15.101	
303	5.40	15.151	
304	5.40	15.200	
305	5.40	15.250	
306	5.40	15.301	
307	5.40	15.350	
308	5.40	15.400	
309	5.40	15.451	
310	5.40	15.500	
311	5.40	15.551	
312	5.40	15.600	
313	5.40	15.650	
314	5.40	15.700	
315	5.40	15.750	
316	5.38	15.800	
317	4.40	15.850	
318	3.18	15.900	
319	2.12	15.950	
320	1.28	16.000	
321	0.64	16.050	
322	0.40	16.100	
323	0.36	16.151	
324	0.34	16.200	
325	0.34	16.250	
326	0.30	16.300	
327	0.28	16.350	
328	0.24	16.400	
329	0.16	16.450	
330	0.16	16.500	
331	0.16	16.550	
332	0.16	16.600	
333	0.14	16.650	
334	0.14	16.701	
335	0.14	16.750	
336	0.14	16.801	
337	0.14	16.850	
338	0.14	16.900	
339	0.14	16.950	
340	0.14	17.001	
341	0.14	17.050	
342	0.14	17.100	
343	0.14	17.150	
344	0.14	17.200	
345	0.14	17.250	
346	0.14	17.300	
347	0.14	17.350	
348	0.14	17.400	
349	0.14	17.450	
350	0.14	17.500	
351	0.14	17.550	
352	0.14	17.600	
353	0.14	17.650	
354	0.14	17.700	
355	0.14	17.750	
356	0.14	17.800	
357	0.14	17.850	
358	0.14	17.900	
359	0.14	17.950	
360	0.14	18.000	
361	0.14	18.050	
362	0.14	18.100	
363	0.14	18.150	
364	0.14	18.200	
365	0.14	18.250	
366	0.14	18.300	
367	0.14	18.350	
368	0.12	18.401	
369	0.12	18.450	
370	0.14	18.500	
371	0.12	18.550	
372	0.12	18.601	
373	0.14	18.651	
374	0.12	18.700	
375	0.12	18.750	
376	0.12	18.800	
377	0.12	18.850	
378	0.14	18.900	
379	0.12	18.950	
380	0.12	19.001	
381	0.12	19.050	
382	0.12	19.100	
383	0.12	19.150	
384	0.12	19.200	
385	0.12	19.250	
386	0.12	19.300	
387	0.12	19.350	
388	0.12	19.401	
389	0.12	19.450	
390	0.12	19.500	
391	0.12	19.550	
392	0.12	19.600	
393	0.12	19.650	
394	0.12	19.700	
395	0.12	19.750	
396	0.12	19.801	
397	0.12	19.851	
398	0.12	19.900	
399	0.12	19.950	
400	0.12	20.000	
401	0.12	20.050	
402	0.12	20.100	
403	0.12	20.151	
404	0.12	20.201	
405	0.12	20.250	
406	0.12	20.300	
407	0.12	20.350	
408	0.12	20.400	
409	0.12	20.450	
410	0.12	20.500	
411	0.12	20.550	
412	0.12	20.600	
413	0.12	20.650	
414	0.12	20.700	
415	0.12	20.750	
416	0.12	20.800	
417	0.12	20.850	
418	0.12	20.900	
419	0.12	20.950	
420	0.12	21.000	
421	0.12	21.050	
422	0.12	21.100	
423	0.12	21.150	
424	0.10	21.200	
425	0.20	21.250	
426	0.68	21.300	
427	1.40	21.350	
428	2.30	21.400	
429	3.18	21.450	
430	3.90	21.500	
431	4.64	21.550	
432	5.24	21.600	
433	5.52	21.650	
434	5.54	21.700	
435	5.50	21.750	
436	5.48	21.800	
437	5.48	21.850	
438	5.46	21.900	
439	5.46	21.950	
440	5.44	22.000	
441	5.44	22.050	
442	5.44	22.100	
443	5.42	22.150	
444	5.42	22.200	
445	5.42	22.250	
446	5.42	22.300	
447	5.42	22.350	
448	5.40	22.400	
449	5.40	22.451	
450	5.40	22.500	
451	5.40	22.550	
452	5.40	22.600	
453	5.40	22.650	
454	5.38	22.700	
455	5.40	22.750	
456	5.38	22.800	
457	5.38	22.850	
458	5.38	22.900	
459	5.38	22.950	
460	5.38	23.000	
461	5.38	23.050	
462	5.38	23.100	
463	5.38	23.150	
464	5.36	23.200	
465	5.38	23.250	
466	5.36	23.300	
467	5.36	23.350	
468	5.36	23.400	
469	5.36	23.450	
470	5.36	23.500	
471	5.36	23.550	
472	5.36	23.600	
473	5.36	23.650	
474	5.36	23.700	
475	5.36	23.750	
476	5.36	23.800	
477	5.36	23.850	
478	5.36	23.901	
479	5.36	23.950	
480	5.36	24.000	
481	5.36	24.050	
482	5.36	24.100	
483	5.36	24.150	
484	5.36	24.200	
485	5.36	24.250	
486	5.36	24.300	
487	5.36	24.350	
488	5.36	24.400	
489	5.36	24.451	
490	5.36	24.500	
491	5.34	24.550	
492	5.34	24.600	
493	5.36	24.650	
494	4.80	24.700	
495	3.56	24.750	
496	2.42	24.800	
497	1.48	24.850	
498	0.78	24.900	
499	0.42	24.950	
500	0.36	25.000	
501	0.34	25.050	
502	0.34	25.100	
503	0.30	25.150	
504	0.26	25.200	
505	0.24	25.250	
506	0.16	25.300	
507	0.14	25.350	
508	0.16	25.400	
509	0.16	25.450	
510	0.16	25.500	
511	0.16	25.550	
512	0.14	25.600	
513	0.14	25.650	
514	0.14	25.700	
515	0.14	25.750	
516	0.14	25.800	
517	0.14	25.850	
518	0.14	25.900	
519	0.14	25.951	
520	0.14	26.000	
521	0.14	26.050	
522	0.14	26.100	
523	0.14	26.150	
524	0.14	26.200	
525	0.14	26.250	
526	0.14	26.300	
527	0.14	26.350	
528	0.14	26.400	
529	0.14	26.450	
530	0.14	26.500	
531	0.14	26.550	
532	0.14	26.600	
533	0.14	26.650	
534	0.14	26.700	
535	0.14	26.750	
536	0.14	26.800	
537	0.14	26.850	
538	0.14	26.901	
539	0.14	26.951	
540	0.14	27.000	
541	0.14	27.050	
542	0.14	27.100	
543	0.14	27.150	
544	0.14	27.200	
545	0.14	27.250	
546	0.14	27.300	
547	0.14	27.350	
548	0.14	27.400	
549	0.14	27.451	
550	0.14	27.500	
551	0.12	27.550	
552	0.14	27.600	
553	0.14	27.650	
554	0.12	27.701	
555	0.14	27.750	
556	0.12	27.800	
557	0.12	27.850	
558	0.14	27.900	
559	0.12	27.951	
560	0.14	28.000	
561	0.12	28.050	
562	0.14	28.100	
563	0.12	28.150	
564	0.12	28.201	
565	0.12	28.250	
566	0.14	28.300	
567	0.12	28.350	
568	0.12	28.401	
569	0.12	28.450	
570	0.12	28.500	
571	0.12	28.550	
572	0.12	28.600	
573	0.12	28.650	
574	0.12	28.700	
575	0.12	28.750	
576	0.12	28.800	
577	0.12	28.850	
578	0.12	28.900	
579	0.12	28.950	
580	0.20	29.000	
581	0.78	29.050	
582	1.54	29.101	
583	2.48	29.150	
584	3.76	29.200	
585	4.04	29.250	
586	4.80	29.300	
587	5.36	29.350	
588	5.62	29.400	
589	5.62	29.450	
590	5.58	29.500	
591	5.58	29.550	
592	5.56	29.600	
593	5.54	29.650	
594	5.54	29.700	
595	5.52	29.750	
596	5.52	29.800	
597	5.52	29.850	
598	5.52	29.900	
599	5.50	29.951	
600	5.50	30.000	
601	5.50	30.050	
602	5.50	30.100	
603	5.50	30.150	
604	5.50	30.201	
605	5.48	30.250	
606	5.50	30.300	
607	5.48	30.350	
608	5.48	30.400	
609	5.48	30.450	
610	5.48	30.500	
611	5.48	30.550	
612	5.48	30.600	
613	5.48	30.650	
614	5.46	30.700	
615	5.46	30.750	
616	5.46	30.800	
617	5.46	30.850	
618	5.46	30.900	
619	5.46	30.950	
620	5.46	31.000	
621	5.46	31.050	
622	5.46	31.101	
623	5.46	31.150	
624	5.46	31.201	
625	5.46	31.250	
626	5.46	31.300	
627	5.46	31.350	
628	5.46	31.400	
629	5.46	31.450	
630	5.44	31.500	
631	5.44	31.550	
632	5.44	31.600	
633	5.44	31.650	
634	5.44	31.700	
635	5.44	31.750	
636	5.44	31.800	
637	5.44	31.850	
638	5.44	31.900	
639	5.44	31.950	
640	5.44	32.000	
641	5.44	32.050	
642	5.44	32.100	
643	5.44	32.150	
644	5.44	32.200	
645	5.44	32.250	
646	5.44	32.300	
647	5.44	32.350	
648	5.44	32.400	
649	5.44	32.450	
650	4.54	32.501	
651	3.24	32.550	
652	1.50	32.603	
653	1.24	32.650	
654	0.64	32.700	
655	0.40	32.750	
656	0.36	32.800	
657	0.34	32.850	
658	0.34	32.900	
659	0.28	32.950	
660	0.24	33.000	
661	0.22	33.050	
662	0.16	33.100	
663	0.16	33.150	
664	0.16	33.200	
665	0.16	33.250	
666	0.16	33.300	
667	0.16	33.350	
668	0.16	33.400	
669	0.16	33.450	
670	0.16	33.500	
671	0.16	33.550	
672	0.14	33.600	
673	0.16	33.650	
674	0.16	33.700	
675	0.14	33.750	
676	0.14	33.800	
677	0.14	33.850	
678	0.14	33.900	
679	0.14	33.950	
680	0.14	34.000	
681	0.14	34.050	
682	0.14	34.100	
683	0.14	34.150	
684	0.14	34.200	
685	0.14	34.250	
686	0.14	34.300	
687	0.14	34.350	
688	0.14	34.400	
689	0.14	34.451	
690	0.14	34.500	
691	0.14	34.550	
692	0.14	34.600	
693	0.14	34.650	
694	0.14	34.700	
695	0.14	34.750	
696	0.14	34.800	
697	0.14	34.850	
698	0.14	34.900	
699	0.14	34.951	
700	0.14	35.000	
701	0.14	35.050	
702	0.14	35.101	
703	0.14	35.150	
704	0.14	35.200	
705	0.14	35.251	
706	0.14	35.300	
707	0.14	35.350	
708	0.14	35.400	
709	0.14	35.450	
710	0.14	35.501	
711	0.14	35.550	
712	0.14	35.600	
713	0.14	35.650	
714	0.14	35.700	
715	0.14	35.750	
716	0.14	35.800	
717	0.14	35.850	
718	0.14	35.900	
719	0.14	35.950	
720	0.14	36.000	
721	0.14	36.050	
722	0.14	36.100	
723	0.14	36.150	
724	0.14	36.200	
725	0.14	36.250	
726	0.14	36.300	
727	0.14	36.350	
728	0.14	36.400	
729	0.14	36.450	
730	0.14	36.500	
731	0.14	36.550	
732	0.14	36.600	
733	0.14	36.650	
734	0.14	36.700	
735	0.14	36.750	
736	0.14	36.800	
737	0.14	36.850	
738	0.14	36.900	
739	0.12	36.951	
740	0.14	37.000	
741	0.12	37.050	
742	0.14	37.100	
743	0.12	37.150	
744	0.14	37.200	
745	0.14	37.250	
746	0.12	37.300	
747	0.14	37.350	
748	0.12	37.400	
749	0.10	37.450	
750	0.40	37.500	
751	1.00	37.550	
752	1.82	37.600	
753	2.72	37.650	
754	3.50	37.700	
755	4.26	37.750	
756	4.94	37.800	
757	5.38	37.850	
758	5.50	37.900	
759	5.46	37.950	
760	5.44	38.001	
761	5.44	38.050	
762	5.42	38.100	
763	5.42	38.150	
764	5.40	38.200	
765	5.40	38.251	
766	5.40	38.300	
767	5.38	38.350	
768	5.38	38.400	
769	5.38	38.450	
770	5.38	38.501	
771	5.36	38.550	
772	5.36	38.600	
773	5.36	38.650	
774	5.36	38.700	
775	5.36	38.750	
776	5.36	38.800	
777	5.36	38.850	
778	5.36	38.900	
779	5.34	38.950	
780	5.36	39.000	
781	5.34	39.050	
782	5.34	39.100	
783	5.34	39.150	
784	5.34	39.200	
785	5.34	39.251	
786	5.34	39.300	
787	5.34	39.350	
788	5.34	39.400	
789	5.34	39.451	
790	5.34	39.500	
791	5.32	39.550	
792	5.32	39.600	
793	5.32	39.651	
794	5.32	39.700	
795	5.32	39.750	
796	5.32	39.800	
797	5.32	39.850	
798	5.32	39.900	
799	5.32	39.950	
800	5.32	40.000	
801	5.32	40.051	
802	5.32	40.100	
803	5.32	40.155	
804	5.32	40.200	
805	5.32	40.250	
806	5.32	40.301	
807	5.32	40.351	
808	5.32	40.401	
809	5.30	40.450	
810	5.30	40.500	
811	5.30	40.550	
812	5.30	40.601	
813	5.30	40.650	
814	5.30	40.700	
815	5.30	40.750	
816	5.30	40.800	
817	5.30	40.850	
818	5.30	40.900	
819	5.30	40.950	
820	5.30	41.000	
821	5.30	41.050	
822	5.30	41.100	
823	5.30	41.150	
824	5.30	41.200	
825	5.30	41.250	
826	5.30	41.300	
827	5.30	41.351	
828	4.50	41.400	
829	3.30	41.450	
830	2.20	41.500	
831	1.30	41.550	
832	0.68	41.600	
833	0.40	41.650	
834	0.36	41.700	
835	0.34	41.750	
836	0.32	41.800	
837	0.28	41.850	
838	0.26	41.900	
839	0.22	41.950	
840	0.16	42.001	
841	0.16	42.051	
842	0.18	42.101	
843	0.16	42.150	
844	0.16	42.200	
845	0.16	42.250	
846	0.16	42.301	
847	0.16	42.350	
848	0.16	42.400	
849	0.16	42.450	
850	0.16	42.500	
851	0.16	42.550	
852	0.16	42.600	
853	0.16	42.650	
854	0.16	42.700	
855	0.16	42.750	
856	0.16	42.800	
857	0.14	42.850	
858	0.16	42.900	
859	0.14	42.950	
860	0.14	43.000	
861	0.14	43.050	
862	0.14	43.100	
863	0.14	43.150	
864	0.14	43.200	
865	0.14	43.251	
866	0.14	43.300	
867	0.14	43.350	
868	0.14	43.400	
869	0.14	43.451	
870	0.14	43.500	
871	0.14	43.550	
872	0.14	43.600	
873	0.14	43.650	
874	0.14	43.701	
875	0.14	43.750	
876	0.14	43.800	
877	0.14	43.850	
878	0.14	43.900	
879	0.14	43.950	
880	0.14	44.000	
881	0.14	44.050	
882	0.14	44.100	
883	0.14	44.150	
884	0.14	44.200	
885	0.14	44.250	
886	0.14	44.300	
887	0.14	44.350	
888	0.14	44.400	
889	0.14	44.450	
890	0.14	44.500	
891	0.14	44.550	
892	0.14	44.600	
893	0.14	44.650	
894	0.14	44.700	
895	0.14	44.750	
896	0.14	44.800	
897	0.14	44.850	
898	0.14	44.900	
899	0.14	44.950	
900	0.14	45.000	
901	0.14	45.050	
902	0.14	45.100	
903	0.14	45.153	
904	0.14	45.200	
905	0.14	45.250	
906	0.14	45.300	
907	0.14	45.350	
908	0.14	45.400	
909	0.14	45.450	
910	0.14	45.500	
911	0.14	45.550	
912	0.14	45.600	
913	0.14	45.650	
914	0.14	45.700	
915	0.14	45.750	
916	0.14	45.800	
917	0.14	45.850	
918	0.14	45.900	
919	0.14	45.950	
920	0.14	46.000	
921	0.14	46.050	
922	0.14	46.100	
923	0.14	46.150	
924	0.14	46.201	
925	0.14	46.250	
926	0.14	46.300	
927	0.14	46.350	
928	0.14	46.400	
929	0.14	46.450	
930	0.14	46.500	
931	0.14	46.550	
932	0.14	46.600	
933	0.14	46.650	
934	0.14	46.700	
935	0.14	46.750	
936	0.14	46.801	
937	0.14	46.850	
938	0.14	46.900	
939	0.14	46.950	
940	0.14	47.000	
941	0.14	47.050	
942	0.14	47.100	
943	0.14	47.150	
944	0.12	47.200	
945	0.34	47.250	
946	0.94	47.300	
947	1.74	47.350	
948	2.66	47.400	
949	3.42	47.450	
950	4.20	47.500	
951	4.90	47.550	
952	5.40	47.600	
953	5.54	47.650	
954	5.52	47.700	
955	5.50	47.750	
956	5.48	47.800	
957	5.46	47.850	
958	5.46	47.900	
959	5.46	47.951	
960	5.44	48.000	
961	5.44	48.050	
962	5.44	48.100	
963	5.42	48.150	
964	5.42	48.200	
965	5.42	48.250	
966	5.42	48.300	
967	5.42	48.350	
968	5.40	48.400	
969	5.40	48.451	
970	5.40	48.501	
971	5.40	48.551	
972	5.40	48.600	
973	5.40	48.650	
974	5.40	48.700	
975	5.38	48.751	
976	5.38	48.800	
977	5.38	48.850	
978	5.38	48.900	
979	5.38	48.950	
980	5.38	49.000	
981	5.38	49.050	
982	5.38	49.100	
983	5.38	49.150	
984	5.38	49.200	
985	5.36	49.251	
986	5.38	49.300	
987	5.38	49.350	
988	5.36	49.400	
989	5.36	49.450	
990	5.36	49.501	
991	5.36	49.551	
992	5.36	49.601	
993	5.36	49.650	
994	5.36	49.700	
995	5.36	49.750	
996	5.36	49.800	
997	5.36	49.850	
998	5.36	49.900	
999	5.36	49.950	
1000	5.36	50.001	
1001	5.36	50.050	
1002	5.36	50.108	
1003	5.36	50.150	
1004	5.36	50.200	
1005	5.36	50.250	
1006	5.36	50.300	
1007	5.36	50.350	
1008	5.36	50.400	
1009	5.36	50.450	
1010	5.36	50.500	
1011	5.36	50.550	
1012	5.36	50.600	
1013	5.34	50.650	
