7/23/2024  12:42 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	-0.02	0.000	
2	-0.02	0.054	
3	-0.04	0.100	
4	-0.02	0.150	
5	-0.02	0.200	
6	-0.02	0.250	
7	-0.02	0.301	
8	-0.02	0.350	
9	-0.02	0.401	
10	-0.02	0.450	
11	-0.02	0.500	
12	-0.02	0.550	
13	-0.02	0.601	
14	-0.02	0.650	
15	-0.02	0.700	
16	-0.02	0.751	
17	-0.02	0.800	
18	-0.02	0.851	
19	-0.02	0.900	
20	-0.02	0.950	
21	-0.02	1.000	
22	-0.02	1.051	
23	-0.02	1.101	
24	-0.02	1.150	
25	-0.02	1.200	
26	-0.02	1.250	
27	-0.02	1.301	
28	-0.02	1.350	
29	-0.02	1.400	
30	-0.02	1.451	
31	-0.02	1.500	
32	-0.02	1.550	
33	-0.02	1.601	
34	-0.02	1.650	
35	-0.02	1.701	
36	-0.02	1.750	
37	-0.02	1.801	
38	-0.02	1.850	
39	-0.02	1.900	
40	-0.02	1.951	
41	-0.02	2.000	
42	-0.02	2.050	
43	-0.02	2.101	
44	-0.02	2.150	
45	-0.02	2.201	
46	-0.02	2.250	
47	-0.02	2.300	
48	-0.02	2.350	
49	-0.02	2.401	
50	-0.02	2.450	
51	-0.02	2.501	
52	-0.02	2.550	
53	-0.02	2.600	
54	-0.02	2.650	
55	-0.02	2.700	
56	-0.02	2.751	
57	-0.02	2.800	
58	-0.02	2.850	
59	-0.02	2.900	
60	-0.02	2.950	
61	-0.02	3.000	
62	-0.02	3.050	
63	-0.02	3.101	
64	-0.02	3.150	
65	-0.02	3.200	
66	-0.02	3.250	
67	-0.02	3.300	
68	-0.02	3.350	
69	-0.02	3.400	
70	-0.02	3.450	
71	-0.02	3.500	
72	-0.02	3.550	
73	-0.02	3.600	
74	-0.02	3.650	
75	-0.02	3.700	
76	-0.02	3.751	
77	-0.02	3.800	
78	-0.02	3.851	
79	-0.02	3.900	
80	-0.02	3.950	
81	-0.02	4.001	
82	-0.02	4.050	
83	-0.02	4.100	
84	-0.02	4.150	
85	-0.02	4.200	
86	-0.02	4.251	
87	-0.02	4.300	
88	-0.02	4.351	
89	-0.02	4.400	
90	-0.02	4.450	
91	-0.02	4.500	
92	-0.02	4.551	
93	-0.02	4.600	
94	-0.02	4.651	
95	-0.02	4.700	
96	-0.02	4.751	
97	-0.02	4.800	
98	-0.02	4.850	
99	-0.02	4.901	
100	-0.02	4.950	
101	-0.02	5.000	
102	-0.02	5.050	
103	-0.02	5.100	
104	-0.02	5.150	
105	-0.02	5.200	
106	-0.02	5.250	
107	-0.02	5.300	
108	-0.02	5.350	
109	-0.02	5.400	
110	-0.02	5.450	
111	-0.02	5.500	
112	-0.02	5.550	
113	-0.02	5.600	
114	-0.02	5.650	
115	-0.02	5.700	
116	0.00	5.751	
117	0.02	5.800	
118	0.28	5.850	
119	0.64	5.900	
120	1.08	5.950	
121	1.58	6.000	
122	2.00	6.050	
123	2.30	6.100	
124	2.64	6.151	
125	2.80	6.200	
126	2.78	6.250	
127	2.78	6.300	
128	2.76	6.350	
129	2.76	6.400	
130	2.76	6.450	
131	2.76	6.500	
132	2.74	6.550	
133	2.76	6.600	
134	2.74	6.650	
135	2.74	6.700	
136	2.74	6.750	
137	2.74	6.800	
138	2.74	6.851	
139	2.74	6.900	
140	2.72	6.950	
141	2.72	7.000	
142	2.72	7.050	
143	2.72	7.100	
144	2.72	7.150	
145	2.72	7.200	
146	2.72	7.250	
147	2.72	7.300	
148	2.72	7.350	
149	2.72	7.400	
150	2.72	7.450	
151	2.72	7.500	
152	2.72	7.550	
153	2.72	7.601	
154	2.72	7.650	
155	2.72	7.700	
156	2.72	7.751	
157	2.72	7.801	
158	2.72	7.850	
159	2.70	7.900	
160	2.70	7.950	
161	2.70	8.000	
162	2.70	8.051	
163	2.70	8.100	
164	2.70	8.150	
165	2.70	8.200	
166	2.70	8.250	
167	2.70	8.300	
168	2.70	8.351	
169	2.70	8.401	
170	2.70	8.450	
171	2.70	8.500	
172	2.70	8.550	
173	2.70	8.601	
174	2.70	8.650	
175	2.70	8.701	
176	2.70	8.751	
177	2.70	8.800	
178	2.70	8.851	
179	2.70	8.900	
180	2.70	8.951	
181	2.70	9.000	
182	2.70	9.050	
183	2.18	9.101	
184	0.94	9.151	
185	0.74	9.200	
186	0.38	9.250	
187	0.24	9.300	
188	0.24	9.350	
189	0.20	9.400	
190	0.20	9.450	
191	0.16	9.500	
192	0.12	9.550	
193	0.08	9.600	
194	0.02	9.650	
195	0.00	9.700	
196	0.00	9.750	
197	0.00	9.800	
198	0.00	9.850	
199	0.00	9.900	
200	0.00	9.950	
201	0.00	10.000	
202	0.00	10.050	
203	0.00	10.101	
204	0.00	10.150	
205	0.00	10.200	
206	0.00	10.250	
207	0.00	10.300	
208	0.00	10.350	
209	0.00	10.400	
210	0.00	10.450	
211	0.00	10.500	
212	0.00	10.550	
213	0.00	10.600	
214	0.00	10.650	
215	0.00	10.700	
216	0.00	10.750	
217	0.00	10.800	
218	0.00	10.850	
219	0.00	10.901	
220	0.00	10.950	
221	0.00	11.001	
222	0.00	11.051	
