7/24/2024  5:05 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.100	
3	0.00	0.150	
4	0.00	0.200	
5	0.00	0.250	
6	0.00	0.301	
7	0.00	0.350	
8	0.00	0.400	
9	0.00	0.451	
10	0.00	0.500	
11	0.00	0.550	
12	0.00	0.600	
13	0.00	0.650	
14	0.00	0.700	
15	0.00	0.750	
16	0.00	0.800	
17	0.00	0.850	
18	0.00	0.900	
19	0.00	0.950	
20	0.00	1.000	
21	0.00	1.050	
22	0.00	1.100	
23	0.00	1.150	
24	0.00	1.200	
25	0.00	1.251	
26	0.04	1.300	
27	0.02	1.350	
28	0.10	1.400	
29	0.16	1.450	
30	0.40	1.501	
31	0.84	1.550	
32	1.40	1.600	
33	2.00	1.650	
34	2.74	1.700	
35	3.42	1.750	
36	4.24	1.800	
37	4.98	1.850	
38	5.58	1.900	
39	5.98	1.950	
40	6.08	2.000	
41	6.06	2.050	
42	6.04	2.100	
43	6.02	2.150	
44	6.02	2.200	
45	6.00	2.250	
46	6.00	2.300	
47	5.98	2.350	
48	5.98	2.401	
49	5.98	2.450	
50	5.98	2.500	
51	5.96	2.550	
52	5.96	2.600	
53	5.96	2.650	
54	5.96	2.700	
55	5.96	2.751	
56	5.94	2.800	
57	5.94	2.850	
58	5.94	2.901	
59	5.94	2.950	
60	5.94	3.000	
61	5.94	3.050	
62	5.92	3.100	
63	5.92	3.150	
64	5.92	3.201	
65	5.92	3.250	
66	5.92	3.300	
67	5.92	3.350	
68	5.92	3.400	
69	5.92	3.451	
70	5.92	3.500	
71	5.92	3.550	
72	5.90	3.600	
73	5.90	3.650	
74	5.90	3.700	
75	5.90	3.751	
76	5.90	3.800	
77	5.90	3.850	
78	5.90	3.900	
79	5.90	3.950	
80	5.90	4.000	
81	5.90	4.050	
82	5.90	4.100	
83	5.90	4.150	
84	5.88	4.200	
85	5.88	4.250	
86	5.88	4.301	
87	5.90	4.350	
88	5.72	4.400	
89	4.86	4.450	
90	3.84	4.500	
91	2.84	4.550	
92	1.96	4.600	
93	1.02	4.650	
94	0.72	4.700	
95	0.42	4.750	
96	0.32	4.800	
97	0.28	4.850	
98	0.24	4.900	
99	0.24	4.950	
100	0.22	5.000	
101	0.20	5.050	
102	0.10	5.101	
103	0.00	5.150	
104	-0.02	5.200	
105	0.00	5.250	
106	0.00	5.300	
107	0.00	5.350	
108	0.00	5.400	
109	0.00	5.450	
110	0.00	5.500	
111	0.00	5.550	
112	0.00	5.600	
113	0.00	5.650	
114	0.00	5.701	
115	0.00	5.750	
116	0.00	5.800	
117	0.00	5.850	
118	0.00	5.900	
119	0.00	5.950	
120	0.00	6.000	
121	0.00	6.050	
122	0.00	6.100	
123	0.00	6.151	
124	0.00	6.200	
125	0.00	6.250	
126	0.00	6.300	
127	0.00	6.350	
128	0.00	6.401	
129	0.00	6.450	
130	0.00	6.501	
131	0.00	6.550	
132	0.00	6.600	
133	0.00	6.650	
134	0.00	6.700	
135	0.00	6.750	
136	0.00	6.800	
137	0.00	6.850	
138	0.00	6.900	
139	0.00	6.950	
140	0.00	7.000	
141	0.00	7.050	
142	0.00	7.100	
143	0.00	7.150	
144	0.00	7.201	
145	0.00	7.250	
146	0.00	7.300	
147	0.00	7.351	
148	0.00	7.400	
149	0.00	7.451	
150	0.00	7.500	
151	0.00	7.551	
152	0.00	7.600	
153	0.00	7.650	
154	0.00	7.700	
155	0.00	7.750	
156	0.00	7.800	
157	0.00	7.850	
158	0.00	7.900	
159	0.00	7.951	
160	0.00	8.000	
161	0.00	8.051	
162	0.00	8.100	
163	0.00	8.150	
164	0.00	8.200	
165	0.00	8.250	
166	0.00	8.300	
167	0.00	8.350	
168	0.00	8.401	
169	0.00	8.450	
170	0.00	8.501	
171	0.00	8.550	
172	0.00	8.600	
173	0.00	8.651	
174	0.00	8.700	
175	0.00	8.751	
176	0.00	8.800	
177	0.00	8.850	
178	0.00	8.900	
179	0.00	8.950	
180	0.00	9.000	
181	0.00	9.050	
182	0.00	9.100	
183	0.00	9.150	
184	0.00	9.200	
185	0.00	9.250	
186	0.00	9.300	
187	0.00	9.351	
188	0.00	9.400	
189	0.00	9.450	
190	0.00	9.500	
191	0.00	9.550	
192	0.00	9.600	
193	0.00	9.650	
194	0.00	9.700	
195	0.00	9.751	
196	0.00	9.800	
197	0.00	9.851	
198	0.00	9.900	
199	0.00	9.950	
200	0.00	10.000	
201	0.00	10.050	
202	0.00	10.100	
203	0.00	10.150	
204	0.00	10.200	
205	0.00	10.250	
206	0.00	10.300	
207	0.00	10.350	
208	0.00	10.400	
209	0.00	10.451	
210	0.00	10.500	
211	0.00	10.550	
212	0.00	10.601	
213	0.00	10.650	
214	0.00	10.701	
215	0.00	10.750	
216	0.00	10.800	
217	0.00	10.851	
218	0.00	10.901	
219	0.00	10.950	
220	0.00	11.000	
221	0.00	11.050	
222	0.00	11.100	
223	0.00	11.150	
224	0.00	11.201	
225	0.00	11.250	
226	0.04	11.300	
227	0.04	11.350	
228	0.10	11.400	
229	0.18	11.450	
230	0.46	11.500	
231	1.00	11.550	
232	1.48	11.600	
233	2.06	11.650	
234	2.84	11.700	
235	3.52	11.750	
236	4.36	11.800	
237	5.08	11.850	
238	5.64	11.901	
239	5.94	11.950	
240	5.98	12.000	
241	5.96	12.050	
242	5.94	12.100	
243	5.92	12.150	
244	5.92	12.200	
245	5.90	12.250	
246	5.90	12.300	
247	5.88	12.350	
248	5.88	12.401	
249	5.88	12.450	
250	5.88	12.500	
251	5.86	12.550	
252	5.86	12.600	
253	5.86	12.650	
254	5.84	12.700	
255	5.84	12.750	
256	5.84	12.800	
257	5.84	12.851	
258	5.84	12.900	
259	5.84	12.950	
260	5.84	13.000	
261	5.84	13.050	
262	5.82	13.100	
263	5.82	13.150	
264	5.82	13.200	
265	5.82	13.251	
266	5.82	13.300	
267	5.82	13.350	
268	5.82	13.401	
269	5.82	13.450	
270	5.82	13.501	
271	5.82	13.550	
272	5.80	13.601	
273	5.80	13.650	
274	5.80	13.700	
275	5.80	13.750	
276	5.80	13.800	
277	5.80	13.850	
278	5.80	13.901	
279	5.80	13.950	
280	5.80	14.000	
281	5.80	14.050	
282	5.80	14.100	
283	5.80	14.150	
284	5.78	14.200	
285	5.80	14.250	
286	5.78	14.301	
287	5.78	14.350	
288	5.78	14.400	
289	5.78	14.450	
290	5.78	14.500	
291	5.78	14.551	
292	5.78	14.600	
293	5.78	14.650	
294	5.20	14.700	
295	4.20	14.751	
296	3.18	14.800	
297	2.24	14.851	
298	1.46	14.901	
299	0.86	14.951	
300	0.48	15.000	
301	0.32	15.050	
302	0.28	15.101	
303	0.24	15.150	
304	0.22	15.201	
305	0.20	15.250	
306	0.20	15.300	
307	0.14	15.350	
308	0.02	15.401	
309	0.00	15.450	
310	-0.02	15.500	
311	0.00	15.551	
312	0.00	15.600	
313	0.00	15.650	
314	0.00	15.700	
315	0.00	15.750	
316	0.00	15.800	
317	0.00	15.851	
318	0.00	15.900	
319	0.00	15.950	
320	0.00	16.000	
321	0.00	16.050	
322	0.00	16.100	
323	0.00	16.150	
324	0.00	16.200	
325	0.00	16.250	
326	0.00	16.300	
327	0.00	16.350	
328	0.00	16.400	
329	0.00	16.450	
330	0.00	16.500	
331	0.00	16.550	
332	0.00	16.600	
333	0.00	16.650	
334	0.00	16.700	
335	0.00	16.750	
336	0.00	16.801	
337	0.00	16.850	
338	0.00	16.900	
339	0.00	16.950	
340	0.00	17.000	
341	0.00	17.050	
342	0.00	17.100	
343	0.00	17.151	
344	0.00	17.200	
345	0.00	17.250	
346	0.00	17.300	
347	0.00	17.350	
348	0.00	17.401	
349	0.00	17.450	
350	0.00	17.500	
351	0.00	17.550	
352	0.00	17.600	
353	0.00	17.650	
354	0.00	17.700	
355	0.00	17.751	
356	0.00	17.800	
357	0.00	17.850	
358	0.00	17.901	
359	0.00	17.950	
360	0.00	18.000	
361	0.00	18.051	
362	0.00	18.100	
363	0.00	18.150	
364	0.00	18.200	
365	0.00	18.250	
366	0.00	18.300	
367	0.00	18.351	
368	0.00	18.400	
369	0.00	18.450	
370	0.00	18.500	
371	0.00	18.550	
372	0.00	18.600	
373	0.00	18.651	
374	0.00	18.701	
375	0.00	18.750	
376	0.00	18.800	
377	0.00	18.850	
378	0.00	18.900	
379	0.00	18.950	
380	0.00	19.000	
381	0.00	19.050	
382	0.00	19.101	
383	0.00	19.150	
384	0.00	19.200	
385	0.00	19.251	
386	0.00	19.300	
387	0.00	19.351	
388	0.00	19.400	
389	0.00	19.450	
390	0.00	19.500	
391	0.00	19.550	
392	0.00	19.600	
393	0.00	19.650	
394	0.00	19.700	
395	0.00	19.750	
396	0.00	19.801	
397	0.00	19.850	
398	0.00	19.900	
399	0.00	19.950	
400	0.00	20.000	
401	0.00	20.050	
402	0.00	20.100	
403	0.00	20.150	
404	0.00	20.200	
405	0.00	20.250	
406	0.00	20.300	
407	0.00	20.350	
408	0.00	20.400	
409	0.00	20.450	
410	0.00	20.500	
411	0.00	20.550	
412	0.00	20.600	
413	0.00	20.650	
414	0.02	20.700	
415	0.02	20.750	
416	0.08	20.800	
417	0.12	20.850	
418	0.34	20.900	
419	0.72	20.951	
420	1.32	21.000	
421	1.88	21.050	
422	2.62	21.101	
423	3.34	21.151	
424	4.10	21.200	
425	4.88	21.250	
426	5.50	21.300	
427	5.92	21.350	
428	6.04	21.400	
429	6.02	21.450	
430	6.00	21.500	
431	5.98	21.550	
432	5.98	21.600	
433	5.96	21.650	
434	5.96	21.700	
435	5.96	21.750	
436	5.94	21.800	
437	5.94	21.850	
438	5.94	21.900	
439	5.92	21.950	
440	5.92	22.000	
441	5.92	22.050	
442	5.92	22.100	
443	5.92	22.150	
444	5.92	22.200	
445	5.90	22.250	
446	5.90	22.300	
447	5.90	22.351	
448	5.90	22.400	
449	5.90	22.450	
450	5.90	22.500	
451	5.88	22.550	
452	5.90	22.600	
453	5.88	22.651	
454	5.88	22.700	
455	5.88	22.750	
456	5.88	22.800	
457	5.88	22.850	
458	5.88	22.901	
459	5.88	22.950	
460	5.88	23.000	
461	5.86	23.050	
462	5.88	23.100	
463	5.86	23.150	
464	5.86	23.200	
465	5.86	23.250	
466	5.86	23.300	
467	5.86	23.350	
468	5.86	23.400	
469	5.86	23.450	
470	5.86	23.500	
471	5.86	23.550	
472	5.86	23.600	
473	5.86	23.650	
474	5.86	23.700	
475	5.86	23.750	
476	5.86	23.800	
477	5.86	23.850	
478	5.84	23.900	
479	5.86	23.950	
480	5.84	24.000	
481	5.84	24.050	
482	5.28	24.100	
483	3.66	24.150	
484	3.22	24.201	
485	2.20	24.250	
486	1.48	24.301	
487	0.88	24.350	
488	0.50	24.400	
489	0.34	24.450	
490	0.30	24.500	
491	0.26	24.550	
492	0.24	24.600	
493	0.24	24.650	
494	0.24	24.700	
495	0.14	24.750	
496	0.00	24.800	
497	-0.06	24.851	
498	-0.06	24.900	
499	-0.06	24.950	
500	-0.04	25.000	
501	-0.04	25.050	
502	-0.04	25.100	
503	-0.04	25.150	
504	-0.04	25.200	
505	-0.04	25.250	
506	-0.04	25.300	
507	-0.04	25.350	
508	-0.04	25.401	
509	-0.04	25.450	
510	-0.04	25.500	
511	-0.04	25.550	
512	-0.04	25.600	
513	-0.04	25.650	
514	-0.02	25.700	
515	-0.04	25.750	
516	-0.02	25.800	
517	-0.04	25.850	
518	-0.04	25.900	
519	-0.04	25.950	
520	-0.02	26.000	
521	-0.04	26.050	
522	-0.02	26.100	
523	-0.02	26.150	
524	-0.02	26.200	
525	-0.02	26.250	
526	-0.04	26.300	
527	-0.02	26.350	
528	-0.02	26.400	
529	-0.02	26.450	
530	-0.02	26.500	
531	-0.02	26.550	
532	-0.02	26.600	
533	-0.02	26.650	
534	-0.02	26.700	
535	-0.02	26.750	
536	-0.02	26.800	
537	-0.02	26.850	
538	-0.02	26.900	
539	-0.02	26.950	
540	-0.02	27.000	
541	-0.02	27.050	
542	-0.02	27.100	
543	-0.02	27.150	
544	-0.02	27.201	
545	-0.02	27.250	
546	-0.02	27.300	
547	-0.02	27.351	
548	-0.02	27.400	
549	-0.02	27.450	
550	-0.02	27.500	
551	-0.02	27.550	
552	-0.02	27.600	
553	-0.02	27.650	
554	-0.02	27.700	
555	-0.02	27.750	
556	-0.02	27.800	
557	-0.02	27.850	
558	-0.02	27.900	
559	-0.02	27.950	
560	-0.02	28.000	
561	-0.02	28.050	
562	-0.02	28.100	
563	-0.02	28.150	
564	-0.02	28.200	
565	-0.02	28.250	
566	-0.02	28.300	
567	-0.02	28.350	
568	-0.02	28.400	
569	-0.02	28.450	
570	-0.02	28.501	
571	-0.02	28.550	
572	-0.02	28.601	
573	-0.02	28.650	
574	-0.02	28.700	
575	-0.02	28.750	
576	-0.02	28.800	
577	-0.02	28.850	
578	-0.02	28.900	
579	-0.02	28.950	
580	-0.02	29.000	
581	0.00	29.050	
582	0.02	29.100	
583	0.04	29.150	
584	0.12	29.200	
585	0.30	29.250	
586	0.76	29.300	
