7/25/2024  4:53 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.146	
3	0.00	0.195	
4	0.00	0.245	
5	0.00	0.295	
6	0.00	0.346	
7	0.00	0.395	
8	0.00	0.446	
9	0.00	0.495	
10	0.00	0.546	
11	0.00	0.596	
12	0.00	0.645	
13	0.00	0.696	
14	0.00	0.746	
15	0.00	0.795	
16	0.00	0.846	
17	0.00	0.896	
18	0.00	0.945	
19	0.00	0.995	
20	0.00	1.046	
21	0.00	1.096	
22	0.00	1.145	
23	0.00	1.196	
24	0.00	1.245	
25	0.00	1.296	
26	0.00	1.345	
27	0.00	1.395	
28	0.00	1.446	
29	0.00	1.495	
30	0.00	1.546	
31	0.00	1.596	
32	0.00	1.645	
33	0.00	1.696	
34	0.00	1.746	
35	0.00	1.797	
36	0.00	1.846	
37	0.00	1.895	
38	0.00	1.946	
39	0.00	1.996	
40	0.00	2.045	
41	0.00	2.096	
42	0.00	2.146	
43	0.00	2.196	
44	0.00	2.245	
45	0.00	2.296	
46	0.00	2.345	
47	0.00	2.395	
48	0.00	2.445	
49	0.00	2.495	
50	0.00	2.546	
51	0.00	2.595	
52	0.00	2.645	
53	0.00	2.695	
54	0.00	2.746	
55	0.00	2.795	
56	0.00	2.846	
57	0.00	2.895	
58	0.00	2.945	
59	0.00	2.995	
60	0.00	3.045	
61	0.00	3.096	
62	0.00	3.145	
63	-0.02	3.195	
64	0.22	3.245	
65	0.68	3.295	
66	1.22	3.345	
67	1.88	3.395	
68	2.66	3.445	
69	3.46	3.495	
70	4.24	3.546	
71	5.10	3.595	
72	5.92	3.645	
73	6.66	3.695	
74	7.32	3.745	
75	7.84	3.795	
76	8.14	3.845	
77	8.16	3.895	
78	8.10	3.946	
79	8.06	3.995	
80	8.04	4.045	
81	8.02	4.096	
82	8.00	4.145	
83	8.00	4.195	
84	7.98	4.245	
85	7.98	4.296	
86	7.96	4.345	
87	7.94	4.395	
88	7.94	4.445	
89	7.92	4.496	
90	7.92	4.545	
91	7.92	4.597	
92	7.92	4.645	
93	7.90	4.696	
94	7.90	4.745	
95	7.86	4.796	
96	6.44	4.845	
97	5.06	4.895	
98	4.06	4.946	
99	3.14	4.996	
100	2.34	5.045	
101	1.66	5.095	
102	1.08	5.145	
103	0.72	5.195	
104	0.46	5.246	
105	0.30	5.295	
106	0.16	5.346	
107	0.12	5.396	
108	0.14	5.446	
109	0.14	5.496	
110	0.14	5.545	
111	0.14	5.595	
112	0.14	5.646	
113	0.16	5.695	
114	0.14	5.746	
115	0.14	5.796	
116	0.14	5.845	
117	0.06	5.895	
