7/25/2024  4:36 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.099	
3	0.00	0.149	
4	0.00	0.200	
5	0.00	0.249	
6	0.00	0.299	
7	0.00	0.350	
8	0.00	0.400	
9	0.00	0.449	
10	0.00	0.499	
11	0.00	0.549	
12	0.00	0.600	
13	0.00	0.649	
14	0.00	0.700	
15	0.00	0.750	
16	0.00	0.800	
17	0.00	0.849	
18	0.00	0.900	
19	0.00	0.950	
20	0.00	0.999	
21	0.00	1.049	
22	0.00	1.099	
23	0.00	1.149	
24	0.00	1.200	
25	0.00	1.250	
26	0.00	1.300	
27	0.00	1.350	
28	0.00	1.399	
29	0.00	1.449	
30	0.00	1.500	
31	0.00	1.549	
32	0.00	1.599	
33	0.00	1.649	
34	0.00	1.700	
35	0.00	1.749	
36	0.00	1.800	
37	0.00	1.849	
38	0.00	1.900	
39	0.00	1.950	
40	0.00	1.999	
41	0.00	2.049	
42	0.00	2.099	
43	0.00	2.150	
44	0.00	2.199	
45	0.00	2.250	
46	0.00	2.299	
47	0.00	2.350	
48	0.00	2.399	
49	0.00	2.450	
50	0.00	2.499	
51	0.00	2.550	
52	0.00	2.599	
53	0.00	2.649	
54	0.00	2.699	
55	0.00	2.749	
56	0.00	2.799	
57	0.00	2.849	
58	0.00	2.900	
59	0.00	2.950	
60	0.00	3.000	
61	0.00	3.049	
62	0.00	3.099	
63	0.00	3.150	
64	0.00	3.200	
65	0.00	3.250	
66	0.00	3.300	
67	0.00	3.350	
68	0.00	3.400	
69	0.00	3.449	
70	0.00	3.499	
71	0.00	3.549	
72	0.00	3.600	
73	0.00	3.649	
74	0.00	3.700	
75	0.00	3.749	
76	0.00	3.799	
77	0.00	3.850	
78	0.00	3.900	
79	0.00	3.949	
80	0.00	4.000	
81	0.00	4.049	
82	0.00	4.100	
83	0.00	4.150	
84	0.00	4.199	
85	0.00	4.250	
86	0.00	4.299	
87	0.00	4.349	
88	0.00	4.399	
89	0.00	4.450	
90	0.00	4.499	
91	0.00	4.550	
92	0.00	4.601	
93	0.00	4.649	
94	0.00	4.699	
95	0.00	4.750	
96	0.00	4.800	
97	0.00	4.850	
98	0.00	4.900	
99	0.00	4.949	
100	0.00	5.000	
101	0.00	5.050	
102	0.00	5.099	
103	0.00	5.150	
104	0.00	5.199	
105	0.00	5.249	
106	0.00	5.299	
107	0.00	5.350	
108	0.10	5.400	
109	0.46	5.449	
110	1.02	5.500	
111	1.78	5.549	
112	2.30	5.600	
113	3.24	5.650	
114	4.34	5.700	
115	5.44	5.750	
116	6.58	5.799	
117	7.28	5.849	
118	7.98	5.900	
119	8.36	5.949	
120	8.40	6.000	
121	8.36	6.050	
122	8.34	6.100	
123	8.30	6.149	
124	8.30	6.199	
125	8.28	6.250	
126	8.28	6.299	
127	8.26	6.349	
128	8.26	6.400	
129	8.24	6.449	
130	8.24	6.500	
131	8.22	6.549	
132	8.22	6.599	
133	8.22	6.650	
134	8.20	6.700	
135	8.20	6.750	
136	8.20	6.800	
137	8.20	6.850	
138	8.18	6.900	
139	7.28	6.949	
140	5.98	7.000	
141	4.56	7.049	
142	3.38	7.099	
143	2.36	7.150	
144	1.52	7.200	
145	0.82	7.249	
146	0.34	7.300	
147	0.16	7.350	
148	0.12	7.399	
149	0.12	7.450	
150	0.12	7.499	
151	0.12	7.549	
152	0.12	7.600	
153	0.14	7.649	
154	0.12	7.699	
155	0.14	7.749	
156	0.12	7.799	
157	0.12	7.850	
158	0.12	7.899	
159	0.08	7.949	
160	0.06	8.000	
161	0.06	8.049	
162	0.06	8.100	
163	0.06	8.150	
164	0.06	8.199	
165	0.06	8.249	
166	0.04	8.300	
167	0.04	8.349	
168	0.04	8.400	
169	0.04	8.449	
170	0.04	8.499	
171	0.04	8.550	
172	0.04	8.599	
173	0.04	8.649	
174	0.04	8.699	
175	0.04	8.749	
176	0.04	8.799	
177	0.04	8.849	
178	0.04	8.899	
179	0.04	8.949	
180	0.04	8.999	
181	0.04	9.049	
182	0.04	9.099	
183	0.04	9.149	
184	0.04	9.200	
185	0.04	9.249	
