7/25/2024  5:06 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.101	
3	0.00	0.151	
4	0.00	0.201	
5	0.00	0.250	
6	0.00	0.300	
7	0.00	0.350	
8	0.00	0.400	
9	0.00	0.451	
10	0.00	0.500	
11	0.00	0.550	
12	0.00	0.601	
13	0.00	0.650	
14	0.00	0.701	
15	0.00	0.750	
16	0.00	0.800	
17	0.00	0.851	
18	0.00	0.901	
19	0.00	0.951	
20	0.00	1.001	
21	0.00	1.050	
22	0.00	1.100	
23	0.00	1.151	
24	0.00	1.200	
25	0.00	1.251	
26	0.00	1.300	
27	0.00	1.351	
28	0.00	1.400	
29	0.00	1.450	
30	0.00	1.500	
31	0.00	1.550	
32	0.00	1.601	
33	0.02	1.650	
34	0.02	1.700	
35	0.02	1.751	
36	0.00	1.801	
37	0.02	1.851	
38	0.00	1.900	
39	0.00	1.951	
40	0.00	2.001	
41	0.00	2.050	
42	0.02	2.101	
43	0.00	2.151	
44	0.00	2.201	
45	0.00	2.250	
46	0.02	2.301	
47	0.00	2.351	
48	0.02	2.400	
49	0.00	2.451	
50	0.00	2.501	
51	0.02	2.551	
52	0.02	2.600	
53	0.02	2.651	
54	0.00	2.701	
55	0.02	2.750	
56	0.00	2.800	
57	0.00	2.850	
58	0.02	2.900	
59	0.00	2.950	
60	0.00	3.000	
61	0.00	3.051	
62	0.06	3.100	
63	0.30	3.150	
64	0.74	3.201	
65	1.30	3.251	
66	1.96	3.301	
67	2.68	3.350	
68	3.40	3.400	
69	4.14	3.451	
70	4.70	3.500	
71	5.16	3.551	
72	5.38	3.600	
73	5.38	3.651	
74	5.36	3.701	
75	5.34	3.750	
76	5.32	3.801	
77	5.32	3.850	
78	5.30	3.901	
79	5.30	3.951	
80	5.30	4.001	
81	5.28	4.050	
82	5.28	4.101	
83	5.28	4.150	
84	5.28	4.200	
85	5.26	4.250	
86	5.26	4.300	
87	5.26	4.350	
88	5.26	4.401	
89	5.26	4.450	
90	5.06	4.500	
91	4.20	4.550	
92	3.08	4.600	
93	2.16	4.650	
94	1.48	4.701	
95	0.94	4.750	
96	0.54	4.800	
97	0.22	4.851	
98	0.14	4.900	
99	0.10	4.951	
100	0.10	5.000	
101	0.10	5.051	
102	0.10	5.100	
103	0.12	5.150	
104	0.12	5.201	
105	0.12	5.251	
106	0.12	5.300	
107	0.12	5.350	
108	0.12	5.401	
109	0.08	5.450	
110	0.08	5.500	
111	0.06	5.550	
112	0.06	5.600	
113	0.06	5.650	
114	0.06	5.701	
