7/24/2024  3:25 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.142	
3	0.02	0.192	
4	0.00	0.242	
5	0.00	0.292	
6	0.00	0.343	
7	0.00	0.392	
8	0.00	0.442	
9	0.02	0.493	
10	0.00	0.542	
11	0.00	0.592	
12	0.00	0.642	
13	0.00	0.692	
14	0.00	0.742	
15	0.00	0.793	
16	0.00	0.842	
17	0.02	0.892	
18	0.00	0.943	
19	0.00	0.992	
20	0.00	1.042	
21	0.00	1.093	
22	0.00	1.143	
23	0.00	1.192	
24	0.00	1.242	
25	0.02	1.292	
26	0.02	1.342	
27	0.00	1.392	
28	0.00	1.442	
29	0.00	1.492	
30	0.02	1.542	
31	0.00	1.592	
32	0.00	1.643	
33	0.00	1.692	
34	0.00	1.742	
35	0.02	1.793	
36	0.00	1.843	
37	0.00	1.892	
38	0.00	1.942	
39	0.00	1.992	
40	0.00	2.042	
41	0.02	2.092	
42	0.02	2.143	
43	0.02	2.192	
44	0.02	2.242	
45	0.00	2.293	
46	0.00	2.343	
47	0.00	2.392	
48	0.00	2.442	
49	0.02	2.492	
50	0.00	2.542	
51	0.00	2.592	
52	0.00	2.642	
53	0.00	2.692	
54	0.02	2.742	
55	0.00	2.793	
56	0.02	2.842	
57	0.00	2.893	
58	0.00	2.942	
59	0.00	2.992	
60	0.00	3.042	
61	0.00	3.093	
62	0.02	3.142	
63	0.00	3.193	
64	0.00	3.242	
65	0.02	3.292	
66	0.00	3.343	
67	0.00	3.392	
68	0.02	3.443	
69	0.00	3.492	
70	0.00	3.542	
71	0.02	3.592	
72	0.00	3.642	
73	0.00	3.693	
74	0.02	3.742	
75	0.02	3.792	
76	0.02	3.842	
77	0.00	3.892	
78	0.00	3.942	
79	0.02	3.992	
80	0.00	4.042	
81	0.00	4.092	
82	0.00	4.142	
83	0.00	4.192	
84	0.00	4.242	
85	0.02	4.292	
86	0.02	4.342	
87	0.00	4.392	
88	0.00	4.442	
89	0.00	4.492	
90	0.00	4.542	
91	0.02	4.592	
92	0.02	4.642	
93	0.02	4.692	
94	0.02	4.742	
95	0.06	4.793	
96	0.34	4.842	
97	0.74	4.892	
98	1.22	4.942	
99	1.82	4.992	
100	2.80	5.042	
101	3.14	5.092	
102	3.76	5.142	
103	4.50	5.192	
104	5.60	5.242	
105	6.56	5.292	
106	7.16	5.342	
107	7.42	5.392	
108	7.42	5.442	
109	7.40	5.492	
110	7.38	5.543	
111	7.36	5.592	
112	7.36	5.642	
113	7.36	5.693	
114	7.34	5.742	
115	7.34	5.792	
116	7.32	5.842	
