7/24/2024  3:31 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.02	0.000	
2	0.02	0.100	
3	0.02	0.150	
4	0.02	0.200	
5	0.02	0.251	
6	0.02	0.300	
7	0.02	0.350	
8	0.02	0.401	
9	0.02	0.450	
10	0.02	0.500	
11	0.02	0.551	
12	0.02	0.601	
13	0.02	0.650	
14	0.02	0.700	
15	0.02	0.750	
16	0.02	0.800	
17	0.02	0.850	
18	0.02	0.901	
19	0.02	0.950	
20	0.02	1.001	
21	0.02	1.050	
22	0.02	1.100	
23	0.02	1.150	
24	0.02	1.200	
25	0.02	1.250	
26	0.02	1.300	
27	0.02	1.350	
28	0.02	1.400	
29	0.02	1.451	
30	0.02	1.500	
31	0.02	1.550	
32	0.02	1.600	
33	0.02	1.650	
34	0.02	1.701	
35	0.02	1.750	
36	0.02	1.800	
37	0.02	1.850	
38	0.02	1.900	
39	0.02	1.951	
40	0.02	2.000	
41	0.02	2.050	
42	0.02	2.100	
43	0.02	2.150	
44	0.02	2.200	
45	0.04	2.251	
46	0.02	2.300	
47	0.02	2.350	
48	0.02	2.400	
49	0.02	2.450	
50	0.02	2.500	
51	0.04	2.550	
52	0.02	2.600	
53	0.02	2.651	
54	0.02	2.700	
55	0.02	2.750	
56	0.04	2.801	
57	0.02	2.850	
58	0.04	2.900	
59	0.04	2.950	
60	0.04	3.000	
61	0.04	3.051	
62	0.04	3.100	
63	0.04	3.150	
64	0.04	3.200	
65	0.02	3.250	
66	0.04	3.300	
67	0.04	3.350	
68	0.04	3.400	
69	0.04	3.451	
70	0.02	3.500	
71	0.04	3.550	
72	0.04	3.601	
73	0.04	3.650	
74	0.04	3.700	
75	0.04	3.750	
76	0.04	3.800	
77	0.04	3.851	
78	0.04	3.900	
79	0.04	3.950	
80	0.04	4.001	
81	0.04	4.050	
82	0.04	4.100	
83	0.04	4.151	
84	0.04	4.200	
85	0.04	4.250	
86	0.04	4.301	
87	0.04	4.350	
88	0.04	4.400	
89	0.04	4.451	
90	0.04	4.500	
91	0.04	4.551	
92	0.04	4.600	
93	0.04	4.650	
94	0.04	4.700	
95	0.04	4.751	
96	0.04	4.800	
97	0.04	4.850	
98	0.04	4.901	
99	0.04	4.950	
100	0.04	5.000	
101	0.04	5.050	
102	0.04	5.101	
103	0.04	5.150	
104	0.04	5.200	
105	0.04	5.250	
106	0.04	5.300	
107	0.04	5.351	
108	0.04	5.400	
109	0.04	5.450	
110	0.06	5.500	
111	0.08	5.550	
112	0.14	5.600	
113	0.16	5.650	
114	0.18	5.700	
115	0.22	5.751	
116	0.44	5.800	
117	0.76	5.850	
118	1.02	5.900	
119	1.36	5.950	
120	1.84	6.000	
121	2.40	6.050	
122	2.98	6.100	
123	3.60	6.150	
124	4.82	6.200	
125	6.18	6.250	
126	7.08	6.300	
127	7.90	6.350	
128	8.46	6.400	
129	8.62	6.450	
130	8.62	6.500	
131	8.60	6.551	
132	8.58	6.600	
133	8.56	6.650	
134	8.54	6.701	
135	8.54	6.751	
136	8.54	6.800	
137	8.52	6.850	
138	8.52	6.900	
139	8.50	6.950	
140	8.50	7.000	
141	8.50	7.051	
142	8.48	7.101	
143	8.48	7.150	
144	8.48	7.200	
145	8.48	7.250	
146	8.48	7.300	
147	8.46	7.350	
148	8.46	7.400	
149	8.46	7.450	
150	8.46	7.500	
151	8.46	7.550	
152	8.46	7.601	
153	8.44	7.650	
154	8.44	7.701	
155	8.44	7.750	
156	8.44	7.800	
157	8.44	7.851	
158	8.44	7.900	
159	8.44	7.950	
160	8.44	8.000	
161	8.44	8.050	
162	8.44	8.100	
163	8.42	8.150	
164	8.42	8.200	
165	8.42	8.250	
166	8.42	8.301	
167	8.42	8.350	
168	8.42	8.401	
169	8.42	8.450	
170	8.42	8.500	
171	8.42	8.550	
172	8.42	8.600	
173	8.40	8.650	
174	8.40	8.700	
175	8.40	8.750	
176	8.40	8.800	
177	8.40	8.851	
178	8.40	8.900	
179	8.40	8.950	
180	8.40	9.000	
181	8.40	9.051	
182	8.40	9.100	
183	8.40	9.150	
184	8.40	9.200	
185	8.36	9.250	
186	7.64	9.300	
187	6.52	9.350	
188	5.52	9.401	
189	4.36	9.450	
190	3.32	9.500	
191	2.48	9.550	
192	1.76	9.600	
193	1.20	9.651	
194	0.78	9.700	
195	0.56	9.750	
196	0.52	9.800	
197	0.50	9.850	
198	0.50	9.900	
199	0.48	9.950	
200	0.46	10.000	
201	0.40	10.050	
202	0.28	10.100	
203	0.28	10.150	
204	0.28	10.200	
205	0.26	10.250	
206	0.26	10.300	
207	0.26	10.351	
208	0.26	10.400	
209	0.24	10.450	
210	0.24	10.500	
211	0.24	10.550	
212	0.24	10.600	
213	0.24	10.650	
214	0.24	10.701	
215	0.24	10.750	
216	0.24	10.800	
217	0.24	10.850	
218	0.24	10.900	
219	0.24	10.950	
220	0.24	11.000	
221	0.24	11.051	
222	0.24	11.100	
223	0.24	11.150	
224	0.22	11.201	
225	0.24	11.250	
226	0.24	11.300	
227	0.24	11.350	
228	0.24	11.400	
229	0.24	11.450	
230	0.24	11.501	
231	0.24	11.550	
232	0.24	11.600	
233	0.24	11.650	
234	0.22	11.700	
235	0.22	11.750	
236	0.22	11.800	
237	0.22	11.850	
238	0.22	11.900	
239	0.22	11.950	
240	0.22	12.000	
241	0.22	12.050	
242	0.22	12.100	
243	0.22	12.150	
244	0.22	12.200	
245	0.22	12.250	
246	0.22	12.300	
247	0.22	12.350	
248	0.22	12.400	
249	0.22	12.450	
250	0.22	12.501	
251	0.22	12.551	
252	0.22	12.601	
253	0.22	12.650	
254	0.22	12.701	
255	0.22	12.750	
256	0.22	12.800	
257	0.22	12.850	
258	0.22	12.901	
259	0.22	12.950	
260	0.22	13.000	
261	0.22	13.050	
262	0.22	13.100	
263	0.22	13.150	
264	0.22	13.200	
265	0.22	13.250	
266	0.22	13.300	
267	0.22	13.350	
268	0.22	13.400	
269	0.22	13.450	
270	0.22	13.500	
271	0.22	13.551	
272	0.22	13.600	
273	0.22	13.650	
274	0.22	13.700	
275	0.22	13.750	
276	0.22	13.800	
277	0.22	13.850	
278	0.22	13.900	
279	0.22	13.950	
280	0.22	14.000	
281	0.22	14.050	
282	0.22	14.100	
283	0.22	14.153	
284	0.22	14.200	
285	0.22	14.250	
286	0.22	14.300	
287	0.22	14.350	
288	0.22	14.400	
289	0.22	14.450	
290	0.22	14.501	
291	0.22	14.550	
292	0.22	14.600	
293	0.22	14.650	
294	0.22	14.701	
295	0.24	14.750	
296	0.26	14.800	
297	0.30	14.850	
298	0.32	14.900	
299	0.36	14.951	
300	0.58	15.001	
301	0.88	15.050	
302	1.20	15.100	
303	1.52	15.150	
304	1.98	15.200	
305	2.48	15.251	
306	3.10	15.300	
307	3.66	15.351	
308	4.82	15.400	
309	6.04	15.450	
310	6.88	15.500	
311	7.56	15.550	
312	8.02	15.600	
313	8.14	15.650	
314	8.12	15.701	
315	8.10	15.750	
316	8.10	15.800	
317	8.08	15.850	
318	8.06	15.900	
319	8.06	15.950	
320	8.04	16.000	
321	8.04	16.050	
322	8.04	16.100	
323	8.04	16.150	
324	8.02	16.200	
325	8.02	16.250	
326	8.02	16.300	
327	8.00	16.351	
