7/24/2024  3:36 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	-0.02	0.000	
2	-0.02	0.100	
3	-0.02	0.150	
4	-0.02	0.200	
5	-0.02	0.250	
6	-0.02	0.300	
7	-0.02	0.350	
8	-0.02	0.400	
9	-0.02	0.450	
10	-0.02	0.500	
11	-0.02	0.550	
12	-0.02	0.600	
13	-0.02	0.650	
14	-0.02	0.700	
15	-0.02	0.751	
16	-0.02	0.800	
17	-0.02	0.850	
18	-0.02	0.900	
19	-0.02	0.950	
20	-0.02	1.000	
21	-0.02	1.051	
22	-0.02	1.100	
23	-0.02	1.150	
24	-0.02	1.200	
25	-0.02	1.250	
26	-0.02	1.300	
27	-0.02	1.350	
28	-0.02	1.400	
29	-0.02	1.450	
30	-0.02	1.500	
31	-0.02	1.551	
32	-0.02	1.600	
33	-0.02	1.650	
34	-0.02	1.700	
35	-0.02	1.751	
36	-0.02	1.800	
37	-0.02	1.850	
38	-0.02	1.900	
39	-0.02	1.950	
40	-0.02	2.001	
41	-0.02	2.050	
42	-0.02	2.100	
43	-0.02	2.151	
44	-0.02	2.200	
45	-0.02	2.250	
46	-0.02	2.300	
47	-0.02	2.350	
48	-0.02	2.400	
49	-0.02	2.450	
50	-0.02	2.500	
51	-0.02	2.550	
52	-0.02	2.601	
53	-0.02	2.650	
54	-0.02	2.700	
55	-0.02	2.750	
56	-0.02	2.800	
57	-0.02	2.850	
58	-0.02	2.900	
59	-0.02	2.950	
60	-0.02	3.000	
61	-0.02	3.050	
62	-0.02	3.100	
63	-0.02	3.150	
64	-0.02	3.200	
65	-0.02	3.250	
66	-0.02	3.300	
67	-0.02	3.350	
68	-0.02	3.401	
69	-0.02	3.451	
70	-0.02	3.500	
71	-0.02	3.550	
72	-0.02	3.601	
73	-0.02	3.650	
74	-0.02	3.700	
75	-0.02	3.750	
76	-0.02	3.800	
77	-0.02	3.850	
78	-0.02	3.900	
79	-0.02	3.950	
80	-0.02	4.000	
81	-0.02	4.051	
82	-0.02	4.100	
83	-0.02	4.150	
84	-0.02	4.201	
85	-0.02	4.250	
86	-0.02	4.300	
87	-0.02	4.350	
88	-0.02	4.400	
89	-0.02	4.451	
90	-0.02	4.500	
91	-0.02	4.550	
92	-0.02	4.601	
93	-0.02	4.651	
94	-0.02	4.700	
95	-0.02	4.750	
96	-0.02	4.800	
97	-0.02	4.850	
98	-0.02	4.900	
99	-0.02	4.950	
100	-0.02	5.000	
101	-0.02	5.050	
102	-0.02	5.100	
103	-0.02	5.150	
104	-0.02	5.200	
105	-0.02	5.250	
106	-0.02	5.300	
107	-0.02	5.350	
108	-0.02	5.400	
109	-0.02	5.450	
110	-0.02	5.501	
111	-0.02	5.551	
112	-0.02	5.600	
113	0.04	5.651	
114	0.26	5.701	
115	0.58	5.750	
116	0.94	5.800	
117	1.40	5.851	
118	1.96	5.900	
119	2.62	5.950	
120	3.16	6.000	
121	3.92	6.050	
122	4.62	6.100	
123	6.02	6.150	
124	6.36	6.200	
125	7.20	6.250	
126	8.52	6.300	
127	9.38	6.350	
128	9.68	6.400	
129	9.70	6.451	
130	9.66	6.500	
131	9.64	6.550	
132	9.62	6.600	
133	9.58	6.651	
134	9.58	6.700	
135	9.56	6.750	
136	9.56	6.800	
137	9.54	6.850	
138	9.54	6.900	
139	9.52	6.950	
140	9.52	7.001	
141	9.50	7.050	
142	9.50	7.100	
143	9.50	7.150	
144	9.48	7.201	
145	9.48	7.250	
146	9.48	7.300	
147	9.46	7.350	
148	9.46	7.401	
149	9.46	7.451	
150	9.46	7.500	
151	9.44	7.550	
152	9.44	7.601	
153	9.44	7.650	
154	9.44	7.700	
155	9.42	7.750	
156	9.42	7.800	
157	9.42	7.850	
158	9.42	7.901	
159	9.42	7.951	
160	9.42	8.000	
161	9.42	8.050	
162	9.42	8.100	
163	9.40	8.151	
164	9.40	8.201	
165	9.40	8.250	
166	9.40	8.301	
167	9.40	8.351	
168	9.38	8.400	
169	9.38	8.450	
170	9.38	8.500	
171	9.38	8.550	
172	9.38	8.600	
173	9.38	8.650	
174	9.38	8.700	
175	9.36	8.750	
176	9.38	8.800	
177	9.36	8.850	
178	9.36	8.900	
179	9.36	8.950	
180	9.36	9.000	
181	9.36	9.050	
182	9.36	9.100	
183	9.36	9.151	
184	9.36	9.200	
185	8.70	9.251	
186	7.50	9.300	
187	6.30	9.350	
188	5.22	9.400	
189	3.88	9.450	
190	2.92	9.500	
191	2.20	9.550	
192	1.48	9.600	
193	0.94	9.651	
194	0.52	9.700	
195	0.30	9.750	
196	0.14	9.800	
197	0.08	9.850	
198	0.02	9.900	
199	0.00	9.950	
200	-0.02	10.000	
201	-0.02	10.050	
202	-0.02	10.100	
203	-0.08	10.150	
204	-0.10	10.200	
205	-0.12	10.250	
206	-0.12	10.300	
207	-0.12	10.351	
208	-0.12	10.400	
209	-0.12	10.450	
210	-0.12	10.501	
211	-0.12	10.550	
212	-0.12	10.600	
213	-0.12	10.650	
214	-0.12	10.700	
215	-0.14	10.750	
216	-0.12	10.800	
217	-0.14	10.850	
218	-0.14	10.900	
219	-0.12	10.950	
220	-0.14	11.000	
221	-0.14	11.050	
222	-0.14	11.100	
223	-0.14	11.150	
224	-0.14	11.201	
225	-0.14	11.251	
226	-0.14	11.300	
227	-0.14	11.350	
228	-0.14	11.400	
229	-0.14	11.450	
230	-0.14	11.500	
231	-0.14	11.550	
232	-0.14	11.600	
233	-0.14	11.650	
234	-0.14	11.701	
235	-0.14	11.750	
236	-0.14	11.800	
237	-0.14	11.850	
238	-0.14	11.900	
239	-0.14	11.950	
240	-0.14	12.000	
241	-0.14	12.050	
242	-0.14	12.100	
243	-0.14	12.150	
244	-0.14	12.200	
245	-0.14	12.250	
246	-0.14	12.300	
247	-0.14	12.350	
248	-0.14	12.400	
249	-0.14	12.451	
250	-0.14	12.500	
251	-0.14	12.550	
252	-0.14	12.600	
253	-0.14	12.650	
254	-0.14	12.701	
255	-0.14	12.750	
256	-0.14	12.801	
257	-0.14	12.850	
258	-0.14	12.900	
259	-0.14	12.950	
260	-0.14	13.000	
261	-0.14	13.050	
262	-0.14	13.100	
263	-0.14	13.151	
264	-0.14	13.200	
265	-0.14	13.250	
266	-0.14	13.300	
267	-0.14	13.350	
268	-0.14	13.400	
269	-0.14	13.450	
270	-0.14	13.500	
271	-0.14	13.550	
272	-0.14	13.600	
273	-0.14	13.650	
274	-0.14	13.700	
275	-0.14	13.750	
276	-0.14	13.800	
277	-0.14	13.850	
278	-0.14	13.900	
279	-0.14	13.950	
280	-0.14	14.000	
281	-0.14	14.050	
282	-0.14	14.100	
283	-0.14	14.150	
284	-0.10	14.200	
285	0.08	14.250	
286	0.36	14.300	
287	0.74	14.350	
288	1.18	14.400	
289	1.74	14.450	
290	2.40	14.501	
291	2.96	14.550	
292	3.72	14.600	
293	4.62	14.650	
294	5.52	14.700	
295	6.62	14.750	
296	7.72	14.801	
297	8.64	14.850	
298	9.22	14.900	
299	9.40	14.950	
300	9.38	15.001	
301	9.36	15.050	
302	9.34	15.100	
303	9.30	15.150	
304	9.30	15.200	
305	9.28	15.250	
306	9.28	15.301	
307	9.26	15.350	
308	9.26	15.400	
309	9.24	15.450	
