7/25/2024  4:15 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.100	
3	0.00	0.150	
4	0.00	0.200	
5	0.00	0.250	
6	0.00	0.300	
7	0.00	0.351	
8	0.00	0.400	
9	0.00	0.450	
10	0.00	0.501	
11	0.00	0.551	
12	0.00	0.600	
13	0.00	0.650	
14	0.00	0.701	
15	0.00	0.750	
16	0.00	0.801	
17	0.00	0.850	
18	0.00	0.900	
19	0.00	0.951	
20	0.00	1.001	
21	0.00	1.050	
22	0.00	1.101	
23	0.00	1.151	
24	0.00	1.200	
25	0.00	1.250	
26	0.00	1.301	
27	0.00	1.350	
28	0.00	1.400	
29	0.00	1.450	
30	0.00	1.500	
31	0.00	1.551	
32	0.00	1.600	
33	0.00	1.651	
34	0.00	1.700	
35	0.00	1.751	
36	0.02	1.800	
37	0.00	1.850	
38	0.00	1.900	
39	0.00	1.950	
40	0.00	2.001	
41	0.00	2.050	
42	0.00	2.100	
43	0.00	2.151	
44	0.02	2.201	
45	0.00	2.251	
46	0.00	2.301	
47	0.00	2.351	
48	0.02	2.400	
49	0.00	2.451	
50	0.00	2.500	
51	0.00	2.551	
52	0.02	2.601	
53	0.00	2.650	
54	0.02	2.700	
55	0.00	2.750	
56	0.00	2.800	
57	0.02	2.850	
58	0.00	2.901	
59	0.02	2.951	
60	0.02	3.001	
61	0.00	3.051	
62	0.02	3.101	
63	0.02	3.150	
64	0.02	3.200	
65	0.02	3.251	
66	0.02	3.300	
67	0.02	3.351	
68	0.00	3.401	
69	0.02	3.450	
70	0.02	3.500	
71	0.02	3.550	
72	0.00	3.600	
73	0.02	3.650	
74	0.02	3.700	
75	0.02	3.751	
76	0.02	3.800	
77	0.02	3.850	
78	0.02	3.901	
79	0.02	3.950	
80	0.02	4.001	
81	0.02	4.050	
82	0.02	4.100	
83	0.02	4.150	
84	0.02	4.201	
85	0.02	4.251	
86	0.02	4.300	
87	0.02	4.351	
88	0.02	4.401	
89	0.02	4.450	
90	0.02	4.501	
91	0.02	4.551	
92	0.02	4.600	
93	0.02	4.651	
94	0.02	4.701	
95	0.02	4.751	
96	0.02	4.801	
97	0.02	4.850	
98	0.02	4.901	
99	0.02	4.951	
100	0.02	5.000	
101	0.02	5.050	
102	0.02	5.101	
103	0.02	5.151	
104	0.02	5.201	
105	0.00	5.251	
106	0.02	5.300	
107	0.02	5.351	
108	0.16	5.401	
109	0.58	5.451	
110	1.10	5.501	
111	1.70	5.551	
112	2.48	5.600	
113	3.40	5.651	
114	4.52	5.700	
115	5.64	5.751	
116	6.74	5.800	
117	7.94	5.850	
118	9.28	5.900	
119	10.68	5.951	
120	12.02	6.000	
121	13.20	6.051	
122	14.26	6.100	
123	15.08	6.150	
124	15.58	6.201	
125	15.70	6.250	
126	15.66	6.301	
127	15.62	6.350	
128	15.58	6.400	
129	15.54	6.450	
130	15.52	6.500	
131	15.50	6.551	
132	15.48	6.601	
133	15.48	6.651	
134	15.46	6.701	
135	15.44	6.751	
136	15.44	6.800	
137	15.42	6.851	
138	15.42	6.901	
139	15.40	6.951	
140	15.40	7.000	
141	15.38	7.051	
142	15.38	7.100	
143	15.38	7.151	
144	15.36	7.201	
145	15.36	7.251	
146	15.34	7.300	
147	15.34	7.351	
148	15.34	7.400	
149	15.34	7.450	
150	15.34	7.501	
151	15.32	7.551	
152	15.32	7.600	
153	15.32	7.650	
154	15.32	7.701	
155	15.30	7.751	
156	15.30	7.801	
157	15.30	7.851	
158	15.28	7.901	
159	15.28	7.951	
160	15.28	8.000	
161	15.28	8.051	
162	15.28	8.100	
163	14.76	8.150	
164	13.12	8.201	
165	11.54	8.250	
166	10.12	8.300	
167	8.52	8.350	
168	7.02	8.400	
169	5.72	8.451	
170	4.48	8.500	
171	3.46	8.551	
172	2.60	8.601	
173	1.72	8.650	
174	1.08	8.701	
175	0.56	8.750	
176	0.36	8.801	
177	0.34	8.851	
178	0.34	8.900	
179	0.34	8.950	
180	0.34	9.001	
181	0.34	9.050	
182	0.34	9.100	
183	0.32	9.150	
184	0.28	9.200	
185	0.14	9.251	
186	0.14	9.301	
187	0.12	9.350	
188	0.10	9.401	
189	0.08	9.450	
190	0.08	9.501	
