7/25/2024  5:28 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.02	0.000	
2	0.00	0.100	
3	0.02	0.151	
4	0.02	0.201	
5	0.00	0.250	
6	0.02	0.300	
7	0.00	0.351	
8	0.00	0.402	
9	0.02	0.451	
10	0.02	0.501	
11	0.02	0.550	
12	0.02	0.601	
13	0.02	0.650	
14	0.02	0.701	
15	0.02	0.750	
16	0.02	0.801	
17	0.02	0.850	
18	0.02	0.901	
19	0.02	0.950	
20	0.02	1.001	
21	0.02	1.051	
22	0.02	1.101	
23	0.02	1.151	
24	0.02	1.200	
25	0.02	1.250	
26	0.02	1.301	
27	0.02	1.350	
28	0.02	1.401	
29	0.02	1.450	
30	0.02	1.501	
31	0.02	1.550	
32	0.02	1.601	
33	0.02	1.650	
34	0.02	1.701	
35	0.02	1.750	
36	0.02	1.801	
37	0.02	1.850	
38	0.02	1.900	
39	0.02	1.950	
40	0.02	2.000	
41	0.02	2.051	
42	0.02	2.100	
43	0.02	2.150	
44	0.02	2.200	
45	0.02	2.250	
46	0.02	2.301	
47	0.02	2.351	
48	0.02	2.401	
49	0.02	2.450	
50	0.02	2.500	
51	0.02	2.551	
52	0.02	2.601	
53	0.02	2.650	
54	0.02	2.701	
55	0.02	2.750	
56	0.02	2.800	
57	0.02	2.850	
58	0.02	2.901	
59	0.02	2.950	
60	0.02	3.001	
61	0.02	3.051	
62	0.02	3.100	
63	0.02	3.151	
64	0.02	3.200	
65	0.02	3.251	
66	0.02	3.301	
67	0.02	3.350	
68	0.02	3.401	
69	0.02	3.450	
70	0.02	3.500	
71	0.02	3.551	
72	0.02	3.600	
73	0.02	3.650	
74	0.02	3.701	
75	0.02	3.750	
76	0.02	3.801	
77	0.02	3.851	
78	0.02	3.900	
79	0.02	3.950	
80	0.02	4.001	
81	0.02	4.051	
82	0.02	4.100	
83	0.02	4.150	
84	0.02	4.200	
85	0.02	4.251	
86	0.22	4.300	
87	0.62	4.351	
88	1.06	4.400	
89	1.58	4.451	
90	2.26	4.500	
91	3.12	4.550	
92	4.08	4.601	
93	5.14	4.650	
94	6.18	4.701	
95	7.36	4.750	
96	8.60	4.800	
97	9.70	4.850	
98	11.02	4.900	
99	12.08	4.950	
100	12.90	5.000	
101	13.32	5.050	
102	13.32	5.100	
103	13.24	5.150	
104	13.20	5.201	
105	13.16	5.250	
106	13.12	5.300	
107	13.10	5.350	
108	13.08	5.400	
109	13.06	5.451	
110	13.04	5.500	
111	13.02	5.551	
112	13.02	5.601	
113	13.00	5.650	
114	13.00	5.700	
115	12.98	5.750	
116	12.96	5.802	
117	12.96	5.851	
118	12.96	5.901	
119	12.44	5.950	
120	11.20	6.001	
121	9.70	6.050	
122	8.26	6.100	
123	6.74	6.151	
124	5.42	6.201	
125	4.26	6.250	
126	3.26	6.300	
127	2.54	6.350	
128	1.84	6.400	
129	1.30	6.450	
130	0.84	6.501	
131	0.68	6.550	
132	0.68	6.601	
133	0.70	6.650	
134	0.70	6.700	
135	0.70	6.750	
136	0.70	6.801	
137	0.72	6.850	
138	0.72	6.901	
139	0.72	6.951	
140	0.70	7.000	
141	0.70	7.051	
142	0.70	7.101	
143	0.70	7.151	
144	0.68	7.201	
145	0.70	7.250	
146	0.70	7.301	
147	0.70	7.351	
148	0.70	7.401	
149	0.70	7.452	
150	0.70	7.501	
151	0.70	7.550	
152	0.70	7.601	
153	0.70	7.651	
