7/25/2024  5:03 PM
Units: N
Readings: Continuous
X-Axis: Time

Reading	Load	Time	
1	0.00	0.000	
2	0.00	0.104	
3	0.00	0.149	
4	0.00	0.200	
5	0.00	0.250	
6	0.00	0.299	
7	0.00	0.351	
8	0.00	0.400	
9	0.00	0.450	
10	0.00	0.499	
11	0.00	0.549	
12	0.00	0.600	
13	0.00	0.649	
14	0.00	0.700	
15	0.00	0.750	
16	0.00	0.799	
17	0.00	0.849	
18	0.00	0.900	
19	0.00	0.950	
20	0.00	1.000	
21	0.00	1.050	
22	0.00	1.100	
23	0.00	1.150	
24	0.00	1.199	
25	0.00	1.250	
26	0.00	1.300	
27	0.00	1.350	
28	0.00	1.400	
29	0.00	1.450	
30	0.00	1.500	
31	0.00	1.549	
32	0.00	1.600	
33	0.00	1.649	
34	0.00	1.700	
35	0.00	1.750	
36	0.00	1.800	
37	0.00	1.849	
38	0.00	1.899	
39	0.00	1.950	
40	0.00	2.000	
41	0.00	2.049	
42	0.00	2.100	
43	0.00	2.150	
44	0.00	2.200	
45	0.00	2.250	
46	0.00	2.299	
47	-0.02	2.350	
48	0.10	2.400	
49	0.24	2.449	
50	0.44	2.500	
51	0.66	2.549	
52	0.88	2.600	
53	1.12	2.650	
54	1.30	2.699	
55	1.38	2.749	
56	1.58	2.800	
57	1.60	2.849	
58	1.60	2.899	
59	1.60	2.950	
60	1.60	2.999	
61	1.60	3.049	
62	1.60	3.100	
63	1.60	3.150	
64	1.58	3.199	
65	1.60	3.250	
66	1.60	3.299	
67	1.60	3.350	
68	1.60	3.400	
69	1.58	3.449	
70	1.60	3.500	
71	1.58	3.550	
72	1.58	3.599	
73	1.58	3.649	
74	1.58	3.700	
75	1.58	3.749	
76	1.58	3.800	
77	1.58	3.850	
78	1.58	3.899	
79	1.58	3.949	
80	1.58	4.000	
81	1.58	4.050	
82	1.58	4.100	
83	1.58	4.150	
84	1.58	4.199	
85	1.58	4.249	
86	1.58	4.300	
87	1.58	4.350	
88	1.58	4.400	
89	1.58	4.449	
90	1.58	4.500	
91	1.58	4.550	
92	1.58	4.599	
93	1.58	4.649	
94	1.58	4.700	
95	1.58	4.750	
96	1.58	4.800	
97	1.30	4.850	
98	1.02	4.900	
99	0.74	4.949	
100	0.50	5.000	
101	0.26	5.049	
102	0.20	5.100	
103	0.18	5.150	
104	0.20	5.200	
105	0.18	5.250	
106	0.18	5.299	
107	0.18	5.349	
108	0.18	5.400	
109	0.18	5.449	
110	0.18	5.500	
111	0.18	5.549	
112	0.18	5.599	
113	0.18	5.650	
114	0.18	5.700	
115	0.18	5.750	
116	0.18	5.799	
117	0.18	5.849	
118	0.18	5.899	
119	0.18	5.949	
120	0.18	5.999	
121	0.18	6.050	
122	0.16	6.099	
123	0.18	6.149	
124	0.18	6.199	
125	0.16	6.249	
126	0.18	6.299	
127	0.18	6.349	
128	0.16	6.399	
129	0.18	6.449	
130	0.18	6.499	
131	0.16	6.550	
132	0.16	6.600	
133	0.16	6.649	
134	0.18	6.699	
135	0.18	6.749	
136	0.16	6.800	
137	0.16	6.849	
138	0.16	6.899	
139	0.16	6.950	
140	0.16	6.999	
141	0.16	7.050	
142	0.18	7.099	
143	0.16	7.150	
144	0.16	7.200	
145	0.16	7.250	
146	0.16	7.300	
147	0.16	7.349	
148	0.16	7.399	
149	0.16	7.450	
