Format Version,1.21,Take Name,Take 2024-08-16 01.03.08 PM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 01.03.08.075 PM,Total Frames in Take,3204,Total Exported Frames,3204,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:508,Unlabeled:508,Unlabeled:508,Unlabeled:620,Unlabeled:620,Unlabeled:620,Unlabeled:1047,Unlabeled:1047,Unlabeled:1047,Unlabeled:1078,Unlabeled:1078,Unlabeled:1078,Unlabeled:1080,Unlabeled:1080,Unlabeled:1080,Unlabeled:1088,Unlabeled:1088,Unlabeled:1088,Unlabeled:1094,Unlabeled:1094,Unlabeled:1094,Unlabeled:1092,Unlabeled:1092,Unlabeled:1092,Unlabeled:1030,Unlabeled:1030,Unlabeled:1030,Unlabeled:1056,Unlabeled:1056,Unlabeled:1056,Unlabeled:1074,Unlabeled:1074,Unlabeled:1074,Unlabeled:1097,Unlabeled:1097,Unlabeled:1097,Unlabeled:1098,Unlabeled:1098,Unlabeled:1098,Unlabeled:1102,Unlabeled:1102,Unlabeled:1102,Unlabeled:1100,Unlabeled:1100,Unlabeled:1100,Unlabeled:1096,Unlabeled:1096,Unlabeled:1096,Unlabeled:1103,Unlabeled:1103,Unlabeled:1103,Unlabeled:1105,Unlabeled:1105,Unlabeled:1105,Unlabeled:1101,Unlabeled:1101,Unlabeled:1101,Unlabeled:1052,Unlabeled:1052,Unlabeled:1052,Unlabeled:1106,Unlabeled:1106,Unlabeled:1106,Unlabeled:1107,Unlabeled:1107,Unlabeled:1107,Unlabeled:1104,Unlabeled:1104,Unlabeled:1104,Unlabeled:1110,Unlabeled:1110,Unlabeled:1110,Unlabeled:1113,Unlabeled:1113,Unlabeled:1113,Unlabeled:1114,Unlabeled:1114,Unlabeled:1114,Unlabeled:1115,Unlabeled:1115,Unlabeled:1115,Unlabeled:1117,Unlabeled:1117,Unlabeled:1117,Unlabeled:1118,Unlabeled:1118,Unlabeled:1118,Unlabeled:1119,Unlabeled:1119,Unlabeled:1119,Unlabeled:1120,Unlabeled:1120,Unlabeled:1120,Unlabeled:1121,Unlabeled:1121,Unlabeled:1121,Unlabeled:1108,Unlabeled:1108,Unlabeled:1108,Unlabeled:1116,Unlabeled:1116,Unlabeled:1116,Unlabeled:1122,Unlabeled:1122,Unlabeled:1122,Unlabeled:1126,Unlabeled:1126,Unlabeled:1126,Unlabeled:1132,Unlabeled:1132,Unlabeled:1132,Unlabeled:1133,Unlabeled:1133,Unlabeled:1133,Unlabeled:1130,Unlabeled:1130,Unlabeled:1130,Unlabeled:1129,Unlabeled:1129,Unlabeled:1129,Unlabeled:1134,Unlabeled:1134,Unlabeled:1134,Unlabeled:1135,Unlabeled:1135,Unlabeled:1135,Unlabeled:1131,Unlabeled:1131,Unlabeled:1131
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E357026C","8392B20CF49E357026C","8392B20CF49E357026C","8392B20CF49E3570417","8392B20CF49E3570417","8392B20CF49E3570417","8392B20CF49E3570436","8392B20CF49E3570436","8392B20CF49E3570436","8392B20CF49E3570438","8392B20CF49E3570438","8392B20CF49E3570438","8392B20CF49E3570440","8392B20CF49E3570440","8392B20CF49E3570440","8392B20CF49E3570446","8392B20CF49E3570446","8392B20CF49E3570446","8392B20CF49E3570444","8392B20CF49E3570444","8392B20CF49E3570444","8392B20CF49E3570406","8392B20CF49E3570406","8392B20CF49E3570406","8392B20CF49E3570420","8392B20CF49E3570420","8392B20CF49E3570420","8392B20CF49E3570432","8392B20CF49E3570432","8392B20CF49E3570432","8392B20CF49E3570449","8392B20CF49E3570449","8392B20CF49E3570449","8392B20CF49E357044A","8392B20CF49E357044A","8392B20CF49E357044A","8392B20CF49E357044E","8392B20CF49E357044E","8392B20CF49E357044E","8392B20CF49E357044C","8392B20CF49E357044C","8392B20CF49E357044C","8392B20CF49E3570448","8392B20CF49E3570448","8392B20CF49E3570448","8392B20CF49E357044F","8392B20CF49E357044F","8392B20CF49E357044F","8392B20CF49E3570451","8392B20CF49E3570451","8392B20CF49E3570451","8392B20CF49E357044D","8392B20CF49E357044D","8392B20CF49E357044D","8392B20CF49E357041C","8392B20CF49E357041C","8392B20CF49E357041C","8392B20CF49E3570452","8392B20CF49E3570452","8392B20CF49E3570452","8392B20CF49E3570453","8392B20CF49E3570453","8392B20CF49E3570453","8392B20CF49E3570450","8392B20CF49E3570450","8392B20CF49E3570450","8392B20CF49E3570456","8392B20CF49E3570456","8392B20CF49E3570456","8392B20CF49E3570459","8392B20CF49E3570459","8392B20CF49E3570459","8392B20CF49E357045A","8392B20CF49E357045A","8392B20CF49E357045A","8392B20CF49E357045B","8392B20CF49E357045B","8392B20CF49E357045B","8392B20CF49E357045D","8392B20CF49E357045D","8392B20CF49E357045D","8392B20CF49E357045E","8392B20CF49E357045E","8392B20CF49E357045E","8392B20CF49E357045F","8392B20CF49E357045F","8392B20CF49E357045F","8392B20CF49E3570460","8392B20CF49E3570460","8392B20CF49E3570460","8392B20CF49E3570461","8392B20CF49E3570461","8392B20CF49E3570461","8392B20CF49E3570454","8392B20CF49E3570454","8392B20CF49E3570454","8392B20CF49E357045C","8392B20CF49E357045C","8392B20CF49E357045C","8392B20CF49E3570462","8392B20CF49E3570462","8392B20CF49E3570462","8392B20CF49E3570466","8392B20CF49E3570466","8392B20CF49E3570466","8392B20CF49E357046C","8392B20CF49E357046C","8392B20CF49E357046C","8392B20CF49E357046D","8392B20CF49E357046D","8392B20CF49E357046D","8392B20CF49E357046A","8392B20CF49E357046A","8392B20CF49E357046A","8392B20CF49E3570469","8392B20CF49E3570469","8392B20CF49E3570469","8392B20CF49E357046E","8392B20CF49E357046E","8392B20CF49E357046E","8392B20CF49E357046F","8392B20CF49E357046F","8392B20CF49E357046F","8392B20CF49E357046B","8392B20CF49E357046B","8392B20CF49E357046B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000472,0.355421,-0.005493,-0.934690,0.068391,0.017597,0.192048,0.001564,0.119639,0.013385,0.184014,0.666443,0.069216,0.034499,0.160180,0.793600,0.093150,0.013718,0.237826,0.726895,0.032892,0.013668,0.240701,0.492263,0.027059,0.012713,0.137519,0.365778,0.120134,0.013310,0.183787,0.069142,0.034276,0.160460,0.093042,0.013816,0.237854,0.031810,0.014538,0.242107,0.025915,0.013533,0.135242,0.157120,0.018467,-0.188549,-0.001803,0.018454,0.004323,0.007189,0.018417,-0.195432,0.004385,0.376227,0.154377,0.109207,0.376258,0.150732,0.412808,0.480397,0.167688,0.062133,0.377017,0.242928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,-0.000526,0.355442,-0.005533,-0.934682,0.068394,0.017593,0.192047,0.001567,0.119642,0.013387,0.184015,0.665804,0.069218,0.034498,0.160181,0.793113,0.093151,0.013714,0.237826,0.726754,0.032893,0.013657,0.240698,0.491226,0.027064,0.012709,0.137516,0.364619,0.120137,0.013312,0.183788,0.069145,0.034278,0.160455,0.093043,0.013817,0.237858,0.031811,0.014516,0.242108,0.025916,0.013533,0.135238,0.157122,0.018468,-0.188551,-0.001803,0.018451,0.004318,0.007090,0.018354,-0.195434,0.004377,0.376242,0.154386,0.109207,0.376262,0.150730,0.412814,0.480391,0.167688,0.062125,0.377021,0.242928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,-0.000496,0.355430,-0.005473,-0.934687,0.068393,0.017594,0.192050,0.001563,0.119641,0.013382,0.184016,0.666812,0.069219,0.034499,0.160183,0.794522,0.093151,0.013712,0.237828,0.726189,0.032894,0.013664,0.240702,0.492055,0.027062,0.012715,0.137520,0.367247,0.120135,0.013312,0.183785,0.069147,0.034271,0.160466,0.093046,0.013814,0.237860,0.031807,0.014534,0.242108,0.025920,0.013539,0.135250,0.157116,0.018465,-0.188548,-0.001806,0.018450,0.004327,0.007186,0.018113,-0.195130,0.004377,0.376244,0.154391,0.109206,0.376258,0.150739,0.412839,0.480390,0.167686,0.062134,0.377018,0.242931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,-0.002554,0.355939,-0.005958,-0.934487,0.068468,0.017537,0.191835,0.044162,0.119734,0.013474,0.183842,0.666812,0.069287,0.034555,0.160029,0.794522,0.093186,0.013553,0.237626,0.726189,0.032926,0.013352,0.240435,0.492055,0.027206,0.012751,0.137244,0.367247,0.120137,0.013307,0.183790,0.069143,0.034276,0.160454,0.093046,0.013816,0.237854,,,,0.025917,0.013534,0.135239,0.157122,0.018467,-0.188552,-0.001804,0.018450,0.004322,0.007093,0.018353,-0.195431,0.004380,0.376235,0.154394,0.109209,0.376262,0.150731,0.412856,0.480382,0.167667,0.062127,0.377017,0.242937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,-0.000479,0.355418,-0.005471,-0.934691,0.068394,0.017599,0.192044,0.001563,0.119642,0.013386,0.184010,0.739705,0.069219,0.034503,0.160177,0.821971,0.093153,0.013718,0.237822,0.724589,0.032895,0.013671,0.240698,1.000000,0.027061,0.012719,0.137516,0.460718,0.120140,0.013311,0.183783,0.069145,0.034281,0.160456,0.093048,0.013822,0.237854,0.031804,0.014531,0.242105,0.025922,0.013543,0.135253,0.157121,0.018468,-0.188553,-0.001803,0.018451,0.004323,0.007090,0.018349,-0.195434,0.004379,0.376245,0.154396,0.109209,0.376264,0.150733,0.412861,0.480385,0.167674,0.062129,0.377021,0.242939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,-0.000481,0.355428,-0.005439,-0.934688,0.068392,0.017597,0.192046,0.001561,0.119640,0.013380,0.184013,0.667123,0.069219,0.034501,0.160179,0.794538,0.093150,0.013713,0.237824,0.727053,0.032892,0.013669,0.240698,0.492914,0.027060,0.012720,0.137516,0.367399,0.120133,0.013307,0.183785,0.069146,0.034277,0.160457,0.093045,0.013816,0.237857,0.031811,0.014528,0.242101,0.025919,0.013548,0.135246,0.157119,0.018468,-0.188553,-0.001803,0.018447,0.004324,0.007188,0.018424,-0.195435,0.004381,0.376238,0.154385,0.109203,0.376264,0.150731,0.412862,0.480384,0.167674,0.062127,0.377022,0.242933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
