Format Version,1.21,Take Name,Take 2024-08-16 11.33.48 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 11.33.48.977 AM,Total Frames in Take,2170,Total Exported Frames,2170,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:105,Unlabeled:105,Unlabeled:105,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:112,Unlabeled:112,Unlabeled:112,Unlabeled:120,Unlabeled:120,Unlabeled:120,Unlabeled:127,Unlabeled:127,Unlabeled:127,Unlabeled:132,Unlabeled:132,Unlabeled:132,Unlabeled:129,Unlabeled:129,Unlabeled:129,Unlabeled:130,Unlabeled:130,Unlabeled:130,Unlabeled:133,Unlabeled:133,Unlabeled:133,Unlabeled:104,Unlabeled:104,Unlabeled:104,Unlabeled:107,Unlabeled:107,Unlabeled:107,Unlabeled:136,Unlabeled:136,Unlabeled:136,Unlabeled:137,Unlabeled:137,Unlabeled:137,Unlabeled:139,Unlabeled:139,Unlabeled:139,Unlabeled:143,Unlabeled:143,Unlabeled:143
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E357070","8392B20CF49E357070","8392B20CF49E357070","8392B20CF49E357078","8392B20CF49E357078","8392B20CF49E357078","8392B20CF49E35707F","8392B20CF49E35707F","8392B20CF49E35707F","8392B20CF49E357084","8392B20CF49E357084","8392B20CF49E357084","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357081","8392B20CF49E357082","8392B20CF49E357082","8392B20CF49E357082","8392B20CF49E357085","8392B20CF49E357085","8392B20CF49E357085","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E357088","8392B20CF49E357088","8392B20CF49E357088","8392B20CF49E357089","8392B20CF49E357089","8392B20CF49E357089","8392B20CF49E35708B","8392B20CF49E35708B","8392B20CF49E35708B","8392B20CF49E35708F","8392B20CF49E35708F","8392B20CF49E35708F"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000299,0.000408,0.000287,-1.000000,0.130748,0.017330,0.166419,0.000022,0.163695,0.012604,0.126409,0.994765,0.110388,0.034346,0.141967,0.994636,0.179610,0.013012,0.184237,0.994822,0.136456,0.013592,0.226386,0.995812,0.063590,0.013096,0.153094,0.991985,0.163683,0.012587,0.126429,0.110334,0.034291,0.142025,0.179638,0.013019,0.184245,0.136517,0.013578,0.226411,0.063556,0.013051,0.153168,0.009422,0.018160,-0.195136,0.000691,0.018401,0.004403,0.159343,0.018610,-0.188653,0.161523,0.376698,0.207609,0.060565,0.376297,0.180776,0.135192,0.375865,0.107296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,-0.000322,0.000421,0.000346,-1.000000,0.130750,0.017335,0.166423,0.000015,0.163698,0.012607,0.126414,0.996547,0.110393,0.034354,0.141971,0.997274,0.179612,0.013010,0.184242,0.996664,0.136456,0.013593,0.226391,0.996679,0.063592,0.013109,0.153096,0.994188,0.163677,0.012588,0.126434,0.110353,0.034294,0.142036,0.179643,0.013022,0.184247,0.136511,0.013581,0.226418,0.063559,0.013047,0.153181,0.009255,0.018311,-0.195404,0.000688,0.018396,0.004410,0.159343,0.018612,-0.188650,0.161512,0.376706,0.207625,0.060560,0.376303,0.180788,0.135193,0.375862,0.107312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,-0.000358,0.000415,0.000361,-1.000000,0.130747,0.017331,0.166420,0.000015,0.163694,0.012605,0.126411,0.996547,0.110389,0.034353,0.141970,0.997274,0.179608,0.013003,0.184239,0.996664,0.136453,0.013585,0.226388,0.996679,0.063588,0.013109,0.153094,0.994188,0.163672,0.012585,0.126429,0.110348,0.034296,0.142036,0.179639,0.013014,0.184245,0.136506,0.013571,0.226410,0.063559,0.013040,0.153181,0.009308,0.018355,-0.195305,0.000688,0.018399,0.004404,0.159339,0.018611,-0.188650,0.161551,0.376665,0.207604,0.060555,0.376298,0.180795,0.135161,0.375859,0.107331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,-0.000310,0.000455,0.000338,-1.000000,0.130750,0.017333,0.166420,0.000015,0.163701,0.012605,0.126413,0.996171,0.110394,0.034351,0.141967,0.995863,0.179610,0.013009,0.184243,0.996746,0.136452,0.013593,0.226388,0.996259,0.063593,0.013106,0.153089,0.996083,0.163677,0.012583,0.126437,0.110348,0.034297,0.142027,0.179635,0.013020,0.184244,0.136504,0.013573,0.226408,0.063573,0.013050,0.153166,0.009310,0.018367,-0.195304,0.000688,0.018396,0.004406,0.159335,0.018610,-0.188648,0.161514,0.376698,0.207618,0.060556,0.376298,0.180793,0.135186,0.375864,0.107308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,-0.000514,0.000605,0.000076,-1.000000,0.130741,0.017315,0.166401,0.000051,0.163706,0.012621,0.126402,0.996171,0.110383,0.034333,0.141949,0.995863,0.179598,0.013010,0.184237,0.996746,0.136427,0.013554,0.226370,0.996259,0.063590,0.013059,0.153048,0.996083,0.163675,0.012588,0.126428,0.110350,0.034297,0.142029,0.179641,0.013019,0.184244,0.136508,0.013575,0.226411,0.063489,0.013124,0.152950,0.009250,0.018306,-0.195407,0.000685,0.018398,0.004403,0.159342,0.018615,-0.188652,0.161517,0.376701,0.207614,0.060562,0.376297,0.180784,0.135192,0.375867,0.107302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,-0.000315,0.000424,0.000325,-1.000000,0.130742,0.017333,0.166419,0.000021,0.163691,0.012606,0.126410,0.995009,0.110384,0.034351,0.141967,0.994906,0.179604,0.013010,0.184239,0.994834,0.136448,0.013593,0.226387,0.996266,0.063585,0.013105,0.153092,0.992525,0.163676,0.012587,0.126431,0.110331,0.034297,0.142024,0.179634,0.013021,0.184247,0.136508,0.013576,0.226412,0.063552,0.013056,0.153170,0.009245,0.018300,-0.195400,0.000688,0.018399,0.004406,0.159341,0.018609,-0.188652,0.161520,0.376702,0.207608,0.060559,0.376301,0.180780,0.135191,0.375864,0.107303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
