Format Version,1.21,Take Name,Take 2024-08-16 11.37.55 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 11.37.55.441 AM,Total Frames in Take,2152,Total Exported Frames,2152,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:105,Unlabeled:105,Unlabeled:105,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:149,Unlabeled:149,Unlabeled:149,Unlabeled:156,Unlabeled:156,Unlabeled:156,Unlabeled:157,Unlabeled:157,Unlabeled:157,Unlabeled:159,Unlabeled:159,Unlabeled:159,Unlabeled:162,Unlabeled:162,Unlabeled:162,Unlabeled:165,Unlabeled:165,Unlabeled:165,Unlabeled:164,Unlabeled:164,Unlabeled:164,Unlabeled:169,Unlabeled:169,Unlabeled:169,Unlabeled:168,Unlabeled:168,Unlabeled:168,Unlabeled:172,Unlabeled:172,Unlabeled:172,Unlabeled:170,Unlabeled:170,Unlabeled:170,Unlabeled:173,Unlabeled:173,Unlabeled:173,Unlabeled:175,Unlabeled:175,Unlabeled:175,Unlabeled:137,Unlabeled:137,Unlabeled:137,Unlabeled:177,Unlabeled:177,Unlabeled:177,Unlabeled:180,Unlabeled:180,Unlabeled:180,Unlabeled:181,Unlabeled:181,Unlabeled:181,Unlabeled:182,Unlabeled:182,Unlabeled:182
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E357095","8392B20CF49E357095","8392B20CF49E357095","8392B20CF49E35709C","8392B20CF49E35709C","8392B20CF49E35709C","8392B20CF49E35709D","8392B20CF49E35709D","8392B20CF49E35709D","8392B20CF49E35709F","8392B20CF49E35709F","8392B20CF49E35709F","8392B20CF49E3570A2","8392B20CF49E3570A2","8392B20CF49E3570A2","8392B20CF49E3570A5","8392B20CF49E3570A5","8392B20CF49E3570A5","8392B20CF49E3570A4","8392B20CF49E3570A4","8392B20CF49E3570A4","8392B20CF49E3570A9","8392B20CF49E3570A9","8392B20CF49E3570A9","8392B20CF49E3570A8","8392B20CF49E3570A8","8392B20CF49E3570A8","8392B20CF49E3570AC","8392B20CF49E3570AC","8392B20CF49E3570AC","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AD","8392B20CF49E3570AD","8392B20CF49E3570AD","8392B20CF49E3570AF","8392B20CF49E3570AF","8392B20CF49E3570AF","8392B20CF49E357089","8392B20CF49E357089","8392B20CF49E357089","8392B20CF49E3570B1","8392B20CF49E3570B1","8392B20CF49E3570B1","8392B20CF49E3570B4","8392B20CF49E3570B4","8392B20CF49E3570B4","8392B20CF49E3570B5","8392B20CF49E3570B5","8392B20CF49E3570B5","8392B20CF49E3570B6","8392B20CF49E3570B6","8392B20CF49E3570B6"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.003209,-0.095441,-0.002439,-0.995427,0.126250,0.017293,0.139516,0.000750,0.150987,0.012428,0.093986,0.851423,0.101495,0.034028,0.119291,0.889292,0.177640,0.013343,0.147710,0.805464,0.143318,0.014030,0.197316,0.715592,0.057811,0.012637,0.139280,0.801232,0.150849,0.012462,0.093614,0.101389,0.034135,0.119221,0.178074,0.013390,0.147803,0.143576,0.014057,0.198190,0.057153,0.013169,0.138660,0.009449,0.018486,-0.195341,0.000709,0.018402,0.004409,0.159353,0.018607,-0.188664,0.164132,0.376634,0.174281,0.119842,0.375353,0.081175,0.059723,0.376731,0.166491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,0.003233,-0.095456,-0.002469,-0.995425,0.126249,0.017292,0.139518,0.000752,0.150985,0.012426,0.093986,0.850478,0.101492,0.034024,0.119292,0.888826,0.177640,0.013345,0.147710,0.805484,0.143319,0.014032,0.197317,0.714741,0.057811,0.012631,0.139283,0.800656,0.150848,0.012460,0.093611,0.101386,0.034134,0.119221,0.178070,0.013391,0.147805,0.143578,0.014061,0.198194,0.057151,0.013164,0.138661,0.009452,0.018484,-0.195342,0.000710,0.018398,0.004409,0.159357,0.018604,-0.188665,0.164131,0.376637,0.174299,0.119838,0.375352,0.081179,0.059721,0.376730,0.166498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,0.003324,-0.095552,-0.002164,-0.995417,0.126268,0.017307,0.139533,0.000698,0.150992,0.012415,0.093999,0.850478,0.101516,0.034049,0.119309,0.888826,0.177657,0.013332,0.147717,0.805484,0.143346,0.014051,0.197330,0.714741,0.057826,0.012687,0.139313,0.800656,0.150845,0.012455,0.093620,0.101389,0.034129,0.119232,0.178069,0.013384,0.147810,0.143576,0.014052,0.198198,0.057313,0.013074,0.138869,0.009319,0.018348,-0.195302,0.000707,0.018397,0.004412,0.159353,0.018602,-0.188660,0.164123,0.376641,0.174310,0.119840,0.375350,0.081187,0.059717,0.376723,0.166506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,0.003219,-0.095453,-0.002413,-0.995426,0.126246,0.017290,0.139524,0.000751,0.150981,0.012422,0.093993,0.850046,0.101491,0.034025,0.119298,0.888767,0.177636,0.013337,0.147716,0.805208,0.143315,0.014027,0.197323,0.714519,0.057807,0.012637,0.139289,0.802319,0.150842,0.012458,0.093615,0.101383,0.034132,0.119229,0.178067,0.013380,0.147814,0.143572,0.014059,0.198205,0.057155,0.013162,0.138674,0.009392,0.018429,-0.195430,0.000707,0.018400,0.004407,0.159352,0.018601,-0.188659,0.164123,0.376641,0.174301,0.119838,0.375350,0.081182,0.059713,0.376733,0.166504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,0.003233,-0.095444,-0.002419,-0.995427,0.126249,0.017289,0.139519,0.000751,0.150986,0.012421,0.093988,0.850046,0.101494,0.034024,0.119292,0.888767,0.177639,0.013338,0.147712,0.805208,0.143317,0.014029,0.197318,0.714519,0.057810,0.012636,0.139283,0.802319,0.150851,0.012453,0.093615,0.101385,0.034133,0.119226,0.178072,0.013382,0.147807,0.143576,0.014057,0.198192,0.057150,0.013174,0.138652,0.009261,0.018295,-0.195405,0.000707,0.018401,0.004409,0.159357,0.018604,-0.188668,0.164130,0.376632,0.174289,0.119839,0.375351,0.081172,0.059718,0.376727,0.166492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,0.003223,-0.095447,-0.002450,-0.995426,0.126247,0.017291,0.139520,0.000747,0.150983,0.012425,0.093989,0.852218,0.101490,0.034025,0.119295,0.889681,0.177637,0.013343,0.147714,0.805839,0.143315,0.014030,0.197320,0.716353,0.057808,0.012634,0.139285,0.801997,0.150843,0.012457,0.093620,0.101384,0.034133,0.119224,0.178069,0.013387,0.147810,0.143575,0.014057,0.198191,0.057151,0.013169,0.138657,0.009327,0.018352,-0.195303,0.000703,0.018399,0.004410,0.159353,0.018601,-0.188666,0.164132,0.376638,0.174288,0.119839,0.375356,0.081170,0.059721,0.376723,0.166490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
