Format Version,1.21,Take Name,Take 2024-08-16 11.50.01 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 11.50.01.587 AM,Total Frames in Take,2114,Total Exported Frames,2114,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:115,Unlabeled:115,Unlabeled:115,Unlabeled:148,Unlabeled:148,Unlabeled:148,Unlabeled:163,Unlabeled:163,Unlabeled:163,Unlabeled:166,Unlabeled:166,Unlabeled:166,Unlabeled:160,Unlabeled:160,Unlabeled:160,Unlabeled:170,Unlabeled:170,Unlabeled:170,Unlabeled:175,Unlabeled:175,Unlabeled:175,Unlabeled:174,Unlabeled:174,Unlabeled:174,Unlabeled:177,Unlabeled:177,Unlabeled:177,Unlabeled:178,Unlabeled:178,Unlabeled:178,Unlabeled:180,Unlabeled:180,Unlabeled:180,Unlabeled:183,Unlabeled:183,Unlabeled:183
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E357073","8392B20CF49E357073","8392B20CF49E357073","8392B20CF49E357094","8392B20CF49E357094","8392B20CF49E357094","8392B20CF49E3570A3","8392B20CF49E3570A3","8392B20CF49E3570A3","8392B20CF49E3570A6","8392B20CF49E3570A6","8392B20CF49E3570A6","8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570A0","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AA","8392B20CF49E3570AF","8392B20CF49E3570AF","8392B20CF49E3570AF","8392B20CF49E3570AE","8392B20CF49E3570AE","8392B20CF49E3570AE","8392B20CF49E3570B1","8392B20CF49E3570B1","8392B20CF49E3570B1","8392B20CF49E3570B2","8392B20CF49E3570B2","8392B20CF49E3570B2","8392B20CF49E3570B4","8392B20CF49E3570B4","8392B20CF49E3570B4","8392B20CF49E3570B7","8392B20CF49E3570B7","8392B20CF49E3570B7"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.001221,0.024825,-0.002331,0.999688,0.167422,0.017363,0.164082,0.000278,0.198290,0.012583,0.122452,0.957506,0.145925,0.034509,0.140718,0.971643,0.217103,0.012813,0.179404,0.915662,0.176133,0.013485,0.223679,0.936972,0.099661,0.013426,0.154155,0.870131,0.198247,0.012534,0.122484,0.146051,0.034269,0.141009,0.217571,0.013149,0.179593,0.176512,0.013517,0.223826,0.099299,0.013622,0.153856,0.000565,0.018391,0.004422,0.009192,0.018269,-0.195382,0.159276,0.018587,-0.188604,0.200785,0.376954,0.203680,0.169291,0.375888,0.104633,0.098638,0.377112,0.182283,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,0.001192,0.024814,-0.002339,0.999689,0.167423,0.017365,0.164081,0.000280,0.198291,0.012583,0.122452,0.957766,0.145926,0.034510,0.140716,0.971566,0.217103,0.012816,0.179405,0.915053,0.176132,0.013490,0.223678,0.936678,0.099662,0.013429,0.154153,0.868520,0.198245,0.012533,0.122486,0.146051,0.034276,0.141000,0.217569,0.013150,0.179593,0.176512,0.013522,0.223824,0.099293,0.013634,0.153836,0.000566,0.018390,0.004420,0.009231,0.018328,-0.195413,0.159275,0.018589,-0.188606,0.200776,0.376961,0.203677,0.169281,0.375887,0.104632,0.098626,0.377111,0.182281,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,0.001175,0.024835,-0.002342,0.999688,0.167421,0.017367,0.164083,0.000278,0.198287,0.012582,0.122453,0.956655,0.145923,0.034510,0.140718,0.971609,0.217102,0.012817,0.179405,0.915712,0.176133,0.013494,0.223680,0.937283,0.099659,0.013430,0.154158,0.871245,0.198240,0.012535,0.122481,0.146051,0.034269,0.141006,0.217568,0.013157,0.179597,0.176511,0.013524,0.223828,0.099302,0.013626,0.153861,0.000565,0.018392,0.004422,0.009190,0.018269,-0.195382,0.159277,0.018589,-0.188605,0.200772,0.376960,0.203675,0.169277,0.375890,0.104639,0.098694,0.377157,0.182214,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,0.001176,0.024826,-0.002347,0.999688,0.167419,0.017364,0.164084,0.000276,0.198286,0.012580,0.122455,0.956655,0.145922,0.034508,0.140719,0.971609,0.217100,0.012814,0.179407,0.915712,0.176130,0.013491,0.223682,0.937283,0.099658,0.013428,0.154158,0.871245,0.198244,0.012530,0.122486,0.146049,0.034268,0.141009,0.217566,0.013154,0.179595,0.176503,0.013519,0.223829,0.099304,0.013611,0.153878,0.000568,0.018385,0.004423,0.009188,0.018265,-0.195378,0.159272,0.018581,-0.188603,0.200784,0.376960,0.203670,0.169284,0.375878,0.104645,0.098754,0.376888,0.182357,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,0.001160,0.024839,-0.002305,0.999688,0.167424,0.017365,0.164084,0.000278,0.198290,0.012582,0.122455,0.957313,0.145925,0.034507,0.140720,0.971557,0.217106,0.012820,0.179406,0.916492,0.176137,0.013495,0.223682,0.937993,0.099663,0.013423,0.154160,0.872269,0.198249,0.012533,0.122486,0.146052,0.034267,0.141010,0.217569,0.013157,0.179594,0.176515,0.013527,0.223830,0.099299,0.013617,0.153866,0.000570,0.018386,0.004420,0.009191,0.018269,-0.195381,0.159278,0.018583,-0.188602,0.200791,0.376962,0.203673,0.169294,0.375880,0.104647,0.098708,0.377158,0.182224,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,0.001155,0.024820,-0.002334,0.999689,0.167425,0.017367,0.164085,0.000276,0.198292,0.012581,0.122457,0.957644,0.145927,0.034509,0.140719,0.971375,0.217105,0.012819,0.179409,0.915986,0.176135,0.013496,0.223682,0.938223,0.099663,0.013428,0.154158,0.871858,0.198249,0.012532,0.122487,0.146053,0.034269,0.141008,0.217573,0.013157,0.179599,0.176511,0.013523,0.223825,0.099308,0.013617,0.153869,0.000570,0.018395,0.004419,0.009326,0.018395,-0.195404,0.159279,0.018586,-0.188605,0.200788,0.376962,0.203675,0.169297,0.375884,0.104631,0.098705,0.377165,0.182200,,,,,,,,,,,,,,,,,,,,,,,,,,,
