Format Version,1.21,Take Name,Take 2024-08-16 12.00.25 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.00.25.770 AM,Total Frames in Take,2913,Total Exported Frames,2913,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:214,Unlabeled:214,Unlabeled:214,Unlabeled:239,Unlabeled:239,Unlabeled:239,Unlabeled:243,Unlabeled:243,Unlabeled:243,Unlabeled:249,Unlabeled:249,Unlabeled:249,Unlabeled:250,Unlabeled:250,Unlabeled:250,Unlabeled:251,Unlabeled:251,Unlabeled:251,Unlabeled:252,Unlabeled:252,Unlabeled:252,Unlabeled:256,Unlabeled:256,Unlabeled:256,Unlabeled:245,Unlabeled:245,Unlabeled:245,Unlabeled:255,Unlabeled:255,Unlabeled:255,Unlabeled:257,Unlabeled:257,Unlabeled:257,Unlabeled:244,Unlabeled:244,Unlabeled:244,Unlabeled:258,Unlabeled:258,Unlabeled:258,Unlabeled:228,Unlabeled:228,Unlabeled:228,Unlabeled:259,Unlabeled:259,Unlabeled:259
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E3570D6","8392B20CF49E3570D6","8392B20CF49E3570D6","8392B20CF49E3570EF","8392B20CF49E3570EF","8392B20CF49E3570EF","8392B20CF49E3570F3","8392B20CF49E3570F3","8392B20CF49E3570F3","8392B20CF49E3570F9","8392B20CF49E3570F9","8392B20CF49E3570F9","8392B20CF49E3570FA","8392B20CF49E3570FA","8392B20CF49E3570FA","8392B20CF49E3570FB","8392B20CF49E3570FB","8392B20CF49E3570FB","8392B20CF49E3570FC","8392B20CF49E3570FC","8392B20CF49E3570FC","8392B20CF49E3570100","8392B20CF49E3570100","8392B20CF49E3570100","8392B20CF49E3570F5","8392B20CF49E3570F5","8392B20CF49E3570F5","8392B20CF49E3570FF","8392B20CF49E3570FF","8392B20CF49E3570FF","8392B20CF49E3570101","8392B20CF49E3570101","8392B20CF49E3570101","8392B20CF49E3570F4","8392B20CF49E3570F4","8392B20CF49E3570F4","8392B20CF49E3570102","8392B20CF49E3570102","8392B20CF49E3570102","8392B20CF49E3570E4","8392B20CF49E3570E4","8392B20CF49E3570E4","8392B20CF49E3570103","8392B20CF49E3570103","8392B20CF49E3570103"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000758,-0.018157,0.001168,0.999834,0.119779,0.017268,0.155108,0.000149,0.154139,0.012556,0.116303,0.981212,0.100251,0.034173,0.129912,0.948374,0.167990,0.013130,0.174659,0.977517,0.123366,0.013671,0.215249,0.945045,0.053149,0.012809,0.139418,0.961725,0.154137,0.012449,0.116398,0.100112,0.034253,0.129749,0.167928,0.013268,0.174616,0.123529,0.013448,0.215382,0.053074,0.013125,0.139233,0.000569,0.018386,0.004419,0.009329,0.018099,-0.195101,0.159278,0.018576,-0.188607,0.149778,0.376442,0.197588,0.126836,0.375796,0.096442,0.049760,0.376794,0.167288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,-0.000972,-0.017922,0.000791,0.999839,0.119783,0.017292,0.155131,0.000127,0.154121,0.012537,0.116312,0.981647,0.100256,0.034201,0.129937,0.948611,0.168000,0.013125,0.174661,0.974007,0.123395,0.013717,0.215272,0.959563,0.053142,0.012878,0.139474,0.977240,0.154132,0.012448,0.116398,0.100108,0.034265,0.129734,0.167921,0.013271,0.174618,0.123524,0.013445,0.215382,0.053141,0.013033,0.139512,0.000569,0.018385,0.004415,0.009182,0.018273,-0.195382,0.159273,0.018577,-0.188607,0.149767,0.376434,0.197575,0.126829,0.375797,0.096436,0.049759,0.376794,0.167278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,-0.000810,-0.018177,0.001179,0.999834,0.119777,0.017270,0.155112,0.000150,0.154138,0.012555,0.116309,0.982757,0.100249,0.034172,0.129914,0.946941,0.167987,0.013135,0.174665,0.976718,0.123361,0.013680,0.215253,0.945095,0.053147,0.012809,0.139420,0.961455,0.154131,0.012452,0.116396,0.100107,0.034254,0.129743,0.167934,0.013277,0.174632,0.123520,0.013444,0.215378,0.053073,0.013130,0.139232,0.000570,0.018387,0.004414,0.009179,0.018275,-0.195381,0.159275,0.018576,-0.188606,0.149766,0.376436,0.197570,0.126827,0.375797,0.096427,0.049756,0.376792,0.167278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,-0.000821,-0.018152,0.001174,0.999834,0.119781,0.017274,0.155110,0.000150,0.154141,0.012557,0.116305,0.982757,0.100252,0.034176,0.129912,0.946941,0.167992,0.013139,0.174660,0.976718,0.123368,0.013685,0.215251,0.945095,0.053151,0.012813,0.139420,0.961455,0.154133,0.012452,0.116397,0.100112,0.034261,0.129736,0.167944,0.013281,0.174629,0.123527,0.013442,0.215369,0.053074,0.013124,0.139244,0.000568,0.018386,0.004413,0.009225,0.018335,-0.195417,0.159280,0.018575,-0.188610,0.149768,0.376440,0.197581,0.126824,0.375800,0.096436,0.049758,0.376788,0.167280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,-0.000802,-0.018179,0.001143,0.999834,0.119777,0.017273,0.155110,0.000146,0.154139,0.012556,0.116307,0.981755,0.100251,0.034177,0.129911,0.947297,0.167987,0.013134,0.174663,0.975723,0.123361,0.013681,0.215251,0.944946,0.053147,0.012816,0.139417,0.962399,0.154135,0.012449,0.116397,0.100112,0.034257,0.129744,0.167925,0.013279,0.174625,0.123521,0.013447,0.215381,0.053078,0.013128,0.139241,0.000571,0.018386,0.004414,0.009400,0.018163,-0.195015,0.159276,0.018581,-0.188607,0.149772,0.376441,0.197592,0.126835,0.375799,0.096445,0.049762,0.376792,0.167289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,-0.000981,-0.017994,0.000767,0.999837,0.119809,0.017296,0.155132,0.000149,0.154152,0.012540,0.116318,0.975004,0.100286,0.034206,0.129935,0.942868,0.168023,0.013128,0.174668,0.967902,0.123412,0.013723,0.215273,0.966080,0.053170,0.012885,0.139465,0.961422,0.154120,0.012440,0.116398,0.100112,0.034260,0.129742,0.167937,0.013281,0.174634,0.123524,0.013446,0.215380,0.053275,0.013006,0.139521,0.000572,0.018390,0.004411,0.009186,0.018275,-0.195382,0.159279,0.018578,-0.188608,0.149773,0.376438,0.197581,0.126836,0.375800,0.096443,0.049762,0.376791,0.167290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
