Format Version,1.21,Take Name,Take 2024-08-16 12.26.00 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.26.00.842 AM,Total Frames in Take,3047,Total Exported Frames,3047,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:267,Unlabeled:267,Unlabeled:267,Unlabeled:281,Unlabeled:281,Unlabeled:281,Unlabeled:296,Unlabeled:296,Unlabeled:296,Unlabeled:299,Unlabeled:299,Unlabeled:299,Unlabeled:266,Unlabeled:266,Unlabeled:266,Unlabeled:290,Unlabeled:290,Unlabeled:290,Unlabeled:305,Unlabeled:305,Unlabeled:305,Unlabeled:303,Unlabeled:303,Unlabeled:303,Unlabeled:298,Unlabeled:298,Unlabeled:298,Unlabeled:307,Unlabeled:307,Unlabeled:307,Unlabeled:306,Unlabeled:306,Unlabeled:306,Unlabeled:308,Unlabeled:308,Unlabeled:308,Unlabeled:309,Unlabeled:309,Unlabeled:309,Unlabeled:310,Unlabeled:310,Unlabeled:310,Unlabeled:312,Unlabeled:312,Unlabeled:312,Unlabeled:311,Unlabeled:311,Unlabeled:311,Unlabeled:313,Unlabeled:313,Unlabeled:313,Unlabeled:314,Unlabeled:314,Unlabeled:314,Unlabeled:315,Unlabeled:315,Unlabeled:315,Unlabeled:300,Unlabeled:300,Unlabeled:300,Unlabeled:302,Unlabeled:302,Unlabeled:302,Unlabeled:317,Unlabeled:317,Unlabeled:317,Unlabeled:320,Unlabeled:320,Unlabeled:320,Unlabeled:316,Unlabeled:316,Unlabeled:316,Unlabeled:319,Unlabeled:319,Unlabeled:319,Unlabeled:321,Unlabeled:321,Unlabeled:321,Unlabeled:322,Unlabeled:322,Unlabeled:322,Unlabeled:318,Unlabeled:318,Unlabeled:318,Unlabeled:304,Unlabeled:304,Unlabeled:304,Unlabeled:323,Unlabeled:323,Unlabeled:323,Unlabeled:327,Unlabeled:327,Unlabeled:327,Unlabeled:329,Unlabeled:329,Unlabeled:329,Unlabeled:328,Unlabeled:328,Unlabeled:328,Unlabeled:330,Unlabeled:330,Unlabeled:330,Unlabeled:331,Unlabeled:331,Unlabeled:331,Unlabeled:324,Unlabeled:324,Unlabeled:324,Unlabeled:333,Unlabeled:333,Unlabeled:333,Unlabeled:325,Unlabeled:325,Unlabeled:325,Unlabeled:326,Unlabeled:326,Unlabeled:326,Unlabeled:332,Unlabeled:332,Unlabeled:332,Unlabeled:334,Unlabeled:334,Unlabeled:334,Unlabeled:336,Unlabeled:336,Unlabeled:336,Unlabeled:338,Unlabeled:338,Unlabeled:338,Unlabeled:339,Unlabeled:339,Unlabeled:339,Unlabeled:341,Unlabeled:341,Unlabeled:341,Unlabeled:342,Unlabeled:342,Unlabeled:342,Unlabeled:344,Unlabeled:344,Unlabeled:344,Unlabeled:346,Unlabeled:346,Unlabeled:346,Unlabeled:347,Unlabeled:347,Unlabeled:347,Unlabeled:345,Unlabeled:345,Unlabeled:345,Unlabeled:348,Unlabeled:348,Unlabeled:348,Unlabeled:350,Unlabeled:350,Unlabeled:350,Unlabeled:355,Unlabeled:355,Unlabeled:355,Unlabeled:352,Unlabeled:352,Unlabeled:352,Unlabeled:354,Unlabeled:354,Unlabeled:354,Unlabeled:351,Unlabeled:351,Unlabeled:351,Unlabeled:301,Unlabeled:301,Unlabeled:301
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E357010B","8392B20CF49E357010B","8392B20CF49E357010B","8392B20CF49E3570119","8392B20CF49E3570119","8392B20CF49E3570119","8392B20CF49E3570128","8392B20CF49E3570128","8392B20CF49E3570128","8392B20CF49E357012B","8392B20CF49E357012B","8392B20CF49E357012B","8392B20CF49E357010A","8392B20CF49E357010A","8392B20CF49E357010A","8392B20CF49E3570122","8392B20CF49E3570122","8392B20CF49E3570122","8392B20CF49E3570131","8392B20CF49E3570131","8392B20CF49E3570131","8392B20CF49E357012F","8392B20CF49E357012F","8392B20CF49E357012F","8392B20CF49E357012A","8392B20CF49E357012A","8392B20CF49E357012A","8392B20CF49E3570133","8392B20CF49E3570133","8392B20CF49E3570133","8392B20CF49E3570132","8392B20CF49E3570132","8392B20CF49E3570132","8392B20CF49E3570134","8392B20CF49E3570134","8392B20CF49E3570134","8392B20CF49E3570135","8392B20CF49E3570135","8392B20CF49E3570135","8392B20CF49E3570136","8392B20CF49E3570136","8392B20CF49E3570136","8392B20CF49E3570138","8392B20CF49E3570138","8392B20CF49E3570138","8392B20CF49E3570137","8392B20CF49E3570137","8392B20CF49E3570137","8392B20CF49E3570139","8392B20CF49E3570139","8392B20CF49E3570139","8392B20CF49E357013A","8392B20CF49E357013A","8392B20CF49E357013A","8392B20CF49E357013B","8392B20CF49E357013B","8392B20CF49E357013B","8392B20CF49E357012C","8392B20CF49E357012C","8392B20CF49E357012C","8392B20CF49E357012E","8392B20CF49E357012E","8392B20CF49E357012E","8392B20CF49E357013D","8392B20CF49E357013D","8392B20CF49E357013D","8392B20CF49E3570140","8392B20CF49E3570140","8392B20CF49E3570140","8392B20CF49E357013C","8392B20CF49E357013C","8392B20CF49E357013C","8392B20CF49E357013F","8392B20CF49E357013F","8392B20CF49E357013F","8392B20CF49E3570141","8392B20CF49E3570141","8392B20CF49E3570141","8392B20CF49E3570142","8392B20CF49E3570142","8392B20CF49E3570142","8392B20CF49E357013E","8392B20CF49E357013E","8392B20CF49E357013E","8392B20CF49E3570130","8392B20CF49E3570130","8392B20CF49E3570130","8392B20CF49E3570143","8392B20CF49E3570143","8392B20CF49E3570143","8392B20CF49E3570147","8392B20CF49E3570147","8392B20CF49E3570147","8392B20CF49E3570149","8392B20CF49E3570149","8392B20CF49E3570149","8392B20CF49E3570148","8392B20CF49E3570148","8392B20CF49E3570148","8392B20CF49E357014A","8392B20CF49E357014A","8392B20CF49E357014A","8392B20CF49E357014B","8392B20CF49E357014B","8392B20CF49E357014B","8392B20CF49E3570144","8392B20CF49E3570144","8392B20CF49E3570144","8392B20CF49E357014D","8392B20CF49E357014D","8392B20CF49E357014D","8392B20CF49E3570145","8392B20CF49E3570145","8392B20CF49E3570145","8392B20CF49E3570146","8392B20CF49E3570146","8392B20CF49E3570146","8392B20CF49E357014C","8392B20CF49E357014C","8392B20CF49E357014C","8392B20CF49E357014E","8392B20CF49E357014E","8392B20CF49E357014E","8392B20CF49E3570150","8392B20CF49E3570150","8392B20CF49E3570150","8392B20CF49E3570152","8392B20CF49E3570152","8392B20CF49E3570152","8392B20CF49E3570153","8392B20CF49E3570153","8392B20CF49E3570153","8392B20CF49E3570155","8392B20CF49E3570155","8392B20CF49E3570155","8392B20CF49E3570156","8392B20CF49E3570156","8392B20CF49E3570156","8392B20CF49E3570158","8392B20CF49E3570158","8392B20CF49E3570158","8392B20CF49E357015A","8392B20CF49E357015A","8392B20CF49E357015A","8392B20CF49E357015B","8392B20CF49E357015B","8392B20CF49E357015B","8392B20CF49E3570159","8392B20CF49E3570159","8392B20CF49E3570159","8392B20CF49E357015C","8392B20CF49E357015C","8392B20CF49E357015C","8392B20CF49E357015E","8392B20CF49E357015E","8392B20CF49E357015E","8392B20CF49E3570163","8392B20CF49E3570163","8392B20CF49E3570163","8392B20CF49E3570160","8392B20CF49E3570160","8392B20CF49E3570160","8392B20CF49E3570162","8392B20CF49E3570162","8392B20CF49E3570162","8392B20CF49E357015F","8392B20CF49E357015F","8392B20CF49E357015F","8392B20CF49E357012D","8392B20CF49E357012D","8392B20CF49E357012D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000659,-0.023953,0.000234,0.999713,0.215015,0.017295,0.155000,0.000192,0.249814,0.012631,0.116583,0.957805,0.195811,0.034308,0.129628,0.961649,0.262989,0.013013,0.175096,0.953197,0.217897,0.013519,0.215168,0.942811,0.148563,0.013003,0.138526,0.945031,0.249912,0.012467,0.116800,0.195833,0.034304,0.129673,0.262931,0.013110,0.174919,0.218166,0.013503,0.215420,0.148424,0.013130,0.138345,0.000502,0.018400,0.004472,0.009188,0.018685,-0.195595,0.159273,0.018576,-0.188613,0.244488,0.376278,0.197688,0.144903,0.376727,0.166197,0.222967,0.375847,0.096841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,0.000663,-0.024069,0.000038,0.999710,0.215057,0.017295,0.155028,0.000205,0.249864,0.012618,0.116618,0.959892,0.195866,0.034316,0.129652,0.951452,0.263025,0.012994,0.175135,0.939668,0.217924,0.013517,0.215196,0.952831,0.148608,0.013029,0.138538,0.939373,0.249911,0.012466,0.116807,0.196011,0.034239,0.129789,0.262923,0.013124,0.174926,0.218166,0.013518,0.215436,0.148431,0.013133,0.138347,0.000499,0.018398,0.004475,0.009012,0.017792,-0.194982,0.159276,0.018579,-0.188608,0.244496,0.376279,0.197697,0.144923,0.376711,0.166214,0.222968,0.375847,0.096850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,0.000672,-0.024063,0.000053,0.999710,0.215057,0.017292,0.155030,0.000205,0.249863,0.012617,0.116619,0.959182,0.195865,0.034312,0.129654,0.951986,0.263025,0.012992,0.175136,0.939905,0.217925,0.013513,0.215198,0.953333,0.148608,0.013024,0.138540,0.939421,0.249913,0.012463,0.116811,0.196010,0.034238,0.129793,0.262921,0.013121,0.174927,0.218168,0.013512,0.215430,0.148430,0.013127,0.138348,0.000501,0.018398,0.004474,0.009386,0.018808,-0.195634,0.159275,0.018580,-0.188611,0.244489,0.376309,0.197691,0.144872,0.376717,0.166238,0.222974,0.375836,0.096862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,0.000670,-0.023991,0.000162,0.999712,0.215007,0.017314,0.154991,0.000197,0.249809,0.012646,0.116576,0.959182,0.195808,0.034330,0.129618,0.951986,0.262979,0.013024,0.175090,0.939905,0.217885,0.013536,0.215158,0.953333,0.148557,0.013032,0.138511,0.939421,0.249910,0.012464,0.116811,0.195818,0.034362,0.129647,0.262926,0.013117,0.174925,0.218171,0.013519,0.215431,0.148425,0.013133,0.138348,0.000503,0.018400,0.004473,0.009017,0.017803,-0.194989,0.159273,0.018577,-0.188610,0.244486,0.376277,0.197696,0.144877,0.376703,0.166247,0.222963,0.375840,0.096849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,0.000621,-0.023955,0.000259,0.999713,0.215010,0.017296,0.155004,0.000191,0.249810,0.012631,0.116587,0.956095,0.195805,0.034306,0.129631,0.958622,0.262984,0.013018,0.175100,0.955872,0.217893,0.013525,0.215172,0.939395,0.148559,0.012999,0.138530,0.944379,0.249907,0.012466,0.116806,0.195830,0.034297,0.129676,0.262917,0.013128,0.174927,0.218165,0.013505,0.215429,0.148420,0.013131,0.138346,0.000495,0.018399,0.004470,0.009152,0.018528,-0.195493,0.159270,0.018577,-0.188609,0.244491,0.376271,0.197683,0.144879,0.376703,0.166242,0.222961,0.375843,0.096839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,0.000583,-0.023952,0.000147,0.999713,0.215021,0.017303,0.155005,0.000171,0.249820,0.012628,0.116589,0.960111,0.195820,0.034316,0.129631,0.963875,0.262995,0.013016,0.175102,0.956827,0.217903,0.013536,0.215174,0.947066,0.148569,0.013021,0.138532,0.957885,0.249915,0.012463,0.116806,0.195833,0.034302,0.129682,0.262922,0.013120,0.174925,0.218167,0.013515,0.215427,0.148474,0.013137,0.138379,0.000499,0.018396,0.004474,0.009003,0.017788,-0.194979,0.159273,0.018577,-0.188610,0.244494,0.376276,0.197689,0.144918,0.376710,0.166208,0.222969,0.375849,0.096842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
