Format Version,1.21,Take Name,Take 2024-08-16 12.32.59 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.32.59.138 AM,Total Frames in Take,1941,Total Exported Frames,1941,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:429,Unlabeled:429,Unlabeled:429,Unlabeled:443,Unlabeled:443,Unlabeled:443,Unlabeled:501,Unlabeled:501,Unlabeled:501,Unlabeled:504,Unlabeled:504,Unlabeled:504,Unlabeled:508,Unlabeled:508,Unlabeled:508,Unlabeled:509,Unlabeled:509,Unlabeled:509,Unlabeled:424,Unlabeled:424,Unlabeled:424,Unlabeled:439,Unlabeled:439,Unlabeled:439,Unlabeled:513,Unlabeled:513,Unlabeled:513,Unlabeled:512,Unlabeled:512,Unlabeled:512,Unlabeled:514,Unlabeled:514,Unlabeled:514,Unlabeled:516,Unlabeled:516,Unlabeled:516,Unlabeled:518,Unlabeled:518,Unlabeled:518,Unlabeled:520,Unlabeled:520,Unlabeled:520,Unlabeled:521,Unlabeled:521,Unlabeled:521,Unlabeled:519,Unlabeled:519,Unlabeled:519,Unlabeled:522,Unlabeled:522,Unlabeled:522,Unlabeled:523,Unlabeled:523,Unlabeled:523,Unlabeled:526,Unlabeled:526,Unlabeled:526,Unlabeled:517,Unlabeled:517,Unlabeled:517,Unlabeled:529,Unlabeled:529,Unlabeled:529,Unlabeled:530,Unlabeled:530,Unlabeled:530,Unlabeled:533,Unlabeled:533,Unlabeled:533,Unlabeled:534,Unlabeled:534,Unlabeled:534,Unlabeled:535,Unlabeled:535,Unlabeled:535,Unlabeled:532,Unlabeled:532,Unlabeled:532,Unlabeled:531,Unlabeled:531,Unlabeled:531,Unlabeled:537,Unlabeled:537,Unlabeled:537,Unlabeled:541,Unlabeled:541,Unlabeled:541,Unlabeled:539,Unlabeled:539,Unlabeled:539,Unlabeled:538,Unlabeled:538,Unlabeled:538,Unlabeled:540,Unlabeled:540,Unlabeled:540,Unlabeled:542,Unlabeled:542,Unlabeled:542,Unlabeled:545,Unlabeled:545,Unlabeled:545,Unlabeled:550,Unlabeled:550,Unlabeled:550
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35701AD","8392B20CF49E35701AD","8392B20CF49E35701AD","8392B20CF49E35701BB","8392B20CF49E35701BB","8392B20CF49E35701BB","8392B20CF49E35701F5","8392B20CF49E35701F5","8392B20CF49E35701F5","8392B20CF49E35701F8","8392B20CF49E35701F8","8392B20CF49E35701F8","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E35701FD","8392B20CF49E35701FD","8392B20CF49E35701FD","8392B20CF49E35701A8","8392B20CF49E35701A8","8392B20CF49E35701A8","8392B20CF49E35701B7","8392B20CF49E35701B7","8392B20CF49E35701B7","8392B20CF49E3570201","8392B20CF49E3570201","8392B20CF49E3570201","8392B20CF49E3570200","8392B20CF49E3570200","8392B20CF49E3570200","8392B20CF49E3570202","8392B20CF49E3570202","8392B20CF49E3570202","8392B20CF49E3570204","8392B20CF49E3570204","8392B20CF49E3570204","8392B20CF49E3570206","8392B20CF49E3570206","8392B20CF49E3570206","8392B20CF49E3570208","8392B20CF49E3570208","8392B20CF49E3570208","8392B20CF49E3570209","8392B20CF49E3570209","8392B20CF49E3570209","8392B20CF49E3570207","8392B20CF49E3570207","8392B20CF49E3570207","8392B20CF49E357020A","8392B20CF49E357020A","8392B20CF49E357020A","8392B20CF49E357020B","8392B20CF49E357020B","8392B20CF49E357020B","8392B20CF49E357020E","8392B20CF49E357020E","8392B20CF49E357020E","8392B20CF49E3570205","8392B20CF49E3570205","8392B20CF49E3570205","8392B20CF49E3570211","8392B20CF49E3570211","8392B20CF49E3570211","8392B20CF49E3570212","8392B20CF49E3570212","8392B20CF49E3570212","8392B20CF49E3570215","8392B20CF49E3570215","8392B20CF49E3570215","8392B20CF49E3570216","8392B20CF49E3570216","8392B20CF49E3570216","8392B20CF49E3570217","8392B20CF49E3570217","8392B20CF49E3570217","8392B20CF49E3570214","8392B20CF49E3570214","8392B20CF49E3570214","8392B20CF49E3570213","8392B20CF49E3570213","8392B20CF49E3570213","8392B20CF49E3570219","8392B20CF49E3570219","8392B20CF49E3570219","8392B20CF49E357021D","8392B20CF49E357021D","8392B20CF49E357021D","8392B20CF49E357021B","8392B20CF49E357021B","8392B20CF49E357021B","8392B20CF49E357021A","8392B20CF49E357021A","8392B20CF49E357021A","8392B20CF49E357021C","8392B20CF49E357021C","8392B20CF49E357021C","8392B20CF49E357021E","8392B20CF49E357021E","8392B20CF49E357021E","8392B20CF49E3570221","8392B20CF49E3570221","8392B20CF49E3570221","8392B20CF49E3570226","8392B20CF49E3570226","8392B20CF49E3570226"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.002462,0.860559,-0.006932,-0.509298,0.116484,0.017348,0.171830,0.000297,0.135750,0.013367,0.220013,0.956235,0.147676,0.034336,0.165474,0.927235,0.077387,0.013454,0.206181,0.870045,0.061157,0.013150,0.148080,0.936080,0.160447,0.012434,0.119402,0.939632,0.136021,0.013198,0.220195,0.147407,0.034471,0.165487,0.077713,0.013288,0.205613,0.061123,0.013227,0.148109,0.160471,0.012096,0.119621,0.009223,0.018333,-0.195414,0.159287,0.018577,-0.188624,0.000590,0.018453,0.004548,0.164279,0.375504,0.199663,0.063046,0.376608,0.175814,0.135360,0.375960,0.100293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,0.002439,0.860524,-0.007064,-0.509355,0.116462,0.017344,0.171832,0.000301,0.135736,0.013376,0.220013,0.951117,0.147651,0.034335,0.165469,0.933331,0.077371,0.013450,0.206189,0.872831,0.061133,0.013131,0.148090,0.933675,0.160420,0.012427,0.119399,0.933336,0.136019,0.013199,0.220191,0.147406,0.034471,0.165492,0.077708,0.013288,0.205608,0.061022,0.013247,0.148084,0.160476,0.012097,0.119622,0.009189,0.018276,-0.195382,0.159287,0.018576,-0.188623,0.000587,0.018454,0.004547,0.164282,0.375506,0.199671,0.063053,0.376615,0.175821,0.135360,0.375959,0.100304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,0.002484,0.860576,-0.006999,-0.509268,0.116479,0.017350,0.171838,0.000295,0.135742,0.013376,0.220022,0.956874,0.147672,0.034337,0.165481,0.927064,0.077381,0.013459,0.206186,0.870740,0.061155,0.013147,0.148084,0.936527,0.160447,0.012430,0.119413,0.939992,0.136016,0.013209,0.220203,0.147402,0.034471,0.165499,0.077706,0.013303,0.205626,0.061123,0.013221,0.148113,0.160470,0.012095,0.119629,0.009217,0.018335,-0.195409,0.159284,0.018570,-0.188621,0.000590,0.018446,0.004552,0.164273,0.375510,0.199682,0.063053,0.376610,0.175822,0.135365,0.375955,0.100308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,0.002478,0.860512,-0.007056,-0.509375,0.116460,0.017343,0.171835,0.000302,0.135735,0.013375,0.220016,0.956874,0.147649,0.034332,0.165470,0.927064,0.077370,0.013453,0.206194,0.870740,0.061129,0.013134,0.148096,0.936527,0.160414,0.012422,0.119401,0.939992,0.136020,0.013202,0.220198,0.147404,0.034466,0.165494,0.077711,0.013294,0.205612,0.061020,0.013243,0.148092,0.160467,0.012093,0.119625,0.009286,0.018382,-0.195309,0.159286,0.018576,-0.188622,0.000585,0.018448,0.004545,0.164281,0.375504,0.199677,0.062998,0.376580,0.175833,0.135362,0.375957,0.100306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,0.002460,0.860570,-0.006973,-0.509279,0.116480,0.017348,0.171833,0.000294,0.135744,0.013371,0.220017,0.951028,0.147672,0.034337,0.165477,0.933017,0.077382,0.013454,0.206182,0.871837,0.061154,0.013146,0.148081,0.933594,0.160446,0.012433,0.119407,0.933505,0.136014,0.013203,0.220197,0.147403,0.034472,0.165491,0.077703,0.013293,0.205623,0.061123,0.013220,0.148112,0.160470,0.012098,0.119623,0.009222,0.018336,-0.195410,0.159285,0.018574,-0.188619,0.000591,0.018447,0.004550,0.164487,0.375602,0.199796,0.062998,0.376575,0.175824,0.135365,0.375955,0.100305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,0.002474,0.860571,-0.006959,-0.509277,0.116483,0.017349,0.171832,0.000294,0.135747,0.013371,0.220016,0.957654,0.147676,0.034336,0.165476,0.926902,0.077385,0.013457,0.206181,0.871297,0.061157,0.013149,0.148079,0.936904,0.160449,0.012433,0.119406,0.939919,0.136015,0.013200,0.220193,0.147405,0.034472,0.165492,0.077711,0.013297,0.205622,0.061127,0.013224,0.148110,0.160473,0.012095,0.119621,0.009188,0.018268,-0.195377,0.159285,0.018573,-0.188625,0.000593,0.018448,0.004551,0.164277,0.375510,0.199669,0.062999,0.376581,0.175822,0.135363,0.375956,0.100297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
