Format Version,1.21,Take Name,Take 2024-08-16 12.35.38 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.35.38.701 AM,Total Frames in Take,2688,Total Exported Frames,2688,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:508,Unlabeled:508,Unlabeled:508,Unlabeled:570,Unlabeled:570,Unlabeled:570,Unlabeled:587,Unlabeled:587,Unlabeled:587,Unlabeled:598,Unlabeled:598,Unlabeled:598,Unlabeled:547,Unlabeled:547,Unlabeled:547,Unlabeled:575,Unlabeled:575,Unlabeled:575,Unlabeled:599,Unlabeled:599,Unlabeled:599,Unlabeled:603,Unlabeled:603,Unlabeled:603,Unlabeled:606,Unlabeled:606,Unlabeled:606,Unlabeled:607,Unlabeled:607,Unlabeled:607,Unlabeled:608,Unlabeled:608,Unlabeled:608,Unlabeled:609,Unlabeled:609,Unlabeled:609,Unlabeled:602,Unlabeled:602,Unlabeled:602,Unlabeled:610,Unlabeled:610,Unlabeled:610,Unlabeled:612,Unlabeled:612,Unlabeled:612,Unlabeled:614,Unlabeled:614,Unlabeled:614,Unlabeled:619,Unlabeled:619,Unlabeled:619
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E357023A","8392B20CF49E357023A","8392B20CF49E357023A","8392B20CF49E357024B","8392B20CF49E357024B","8392B20CF49E357024B","8392B20CF49E3570256","8392B20CF49E3570256","8392B20CF49E3570256","8392B20CF49E3570223","8392B20CF49E3570223","8392B20CF49E3570223","8392B20CF49E357023F","8392B20CF49E357023F","8392B20CF49E357023F","8392B20CF49E3570257","8392B20CF49E3570257","8392B20CF49E3570257","8392B20CF49E357025B","8392B20CF49E357025B","8392B20CF49E357025B","8392B20CF49E357025E","8392B20CF49E357025E","8392B20CF49E357025E","8392B20CF49E357025F","8392B20CF49E357025F","8392B20CF49E357025F","8392B20CF49E3570260","8392B20CF49E3570260","8392B20CF49E3570260","8392B20CF49E3570261","8392B20CF49E3570261","8392B20CF49E3570261","8392B20CF49E357025A","8392B20CF49E357025A","8392B20CF49E357025A","8392B20CF49E3570262","8392B20CF49E3570262","8392B20CF49E3570262","8392B20CF49E3570264","8392B20CF49E3570264","8392B20CF49E3570264","8392B20CF49E3570266","8392B20CF49E3570266","8392B20CF49E3570266","8392B20CF49E357026B","8392B20CF49E357026B","8392B20CF49E357026B"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000568,0.964020,-0.005417,-0.265773,0.096205,0.017503,0.185553,0.000390,0.088461,0.013309,0.236847,0.950403,0.126211,0.034658,0.195913,0.912075,0.045128,0.013238,0.195378,0.848903,0.060539,0.013219,0.137053,0.897885,0.160689,0.013091,0.162574,0.903589,0.088509,0.013301,0.237149,0.126010,0.034543,0.195791,0.045913,0.013449,0.194976,0.060204,0.013330,0.136804,0.160696,0.013134,0.162802,0.008696,0.018466,-0.195738,0.158726,0.018591,-0.188292,-0.000734,0.018824,0.003650,0.047264,0.376666,0.161472,0.147511,0.376250,0.133395,0.121684,0.376703,0.233816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,0.000515,0.964020,-0.005383,-0.265773,0.096200,0.017501,0.185553,0.000374,0.088456,0.013302,0.236847,0.953698,0.126204,0.034658,0.195915,0.914956,0.045122,0.013231,0.195378,0.856488,0.060533,0.013219,0.137053,0.900454,0.160684,0.013096,0.162574,0.907368,0.088508,0.013283,0.237135,0.126014,0.034548,0.195795,0.045868,0.013445,0.194989,0.060207,0.013320,0.136813,0.160695,0.013130,0.162811,0.008691,0.018464,-0.195736,0.158729,0.018590,-0.188291,-0.000732,0.018825,0.003647,0.047259,0.376663,0.161474,0.147516,0.376249,0.133404,0.121686,0.376706,0.233824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,0.000518,0.964015,-0.005389,-0.265792,0.096201,0.017496,0.185559,0.000383,0.088460,0.013298,0.236853,0.952817,0.126206,0.034653,0.195919,0.913883,0.045124,0.013226,0.195386,0.849609,0.060533,0.013214,0.137061,0.900160,0.160684,0.013091,0.162578,0.905291,0.088509,0.013294,0.237151,0.126010,0.034539,0.195801,0.045901,0.013431,0.194985,0.060208,0.013311,0.136832,0.160690,0.013128,0.162807,0.008694,0.018468,-0.195733,0.158725,0.018591,-0.188288,-0.000735,0.018820,0.003650,0.047261,0.376661,0.161484,0.147509,0.376239,0.133422,0.121627,0.376733,0.233845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,0.000503,0.964017,-0.005360,-0.265788,0.096200,0.017495,0.185559,0.000382,0.088458,0.013293,0.236853,0.952817,0.126204,0.034652,0.195920,0.913883,0.045123,0.013224,0.195384,0.849609,0.060532,0.013215,0.137060,0.900160,0.160684,0.013092,0.162577,0.905291,0.088507,0.013287,0.237145,0.126008,0.034538,0.195799,0.045904,0.013423,0.194983,0.060210,0.013309,0.136840,0.160690,0.013126,0.162811,0.008687,0.018459,-0.195732,0.158726,0.018586,-0.188290,-0.000735,0.018820,0.003652,0.047261,0.376660,0.161479,0.147510,0.376243,0.133421,0.121686,0.376702,0.233832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,0.000539,0.964019,-0.005391,-0.265778,0.096201,0.017500,0.185557,0.000372,0.088457,0.013302,0.236851,0.953748,0.126205,0.034655,0.195918,0.914194,0.045123,0.013231,0.195382,0.848095,0.060533,0.013218,0.137057,0.901306,0.160684,0.013091,0.162577,0.905427,0.088513,0.013292,0.237147,0.126012,0.034541,0.195793,0.045863,0.013447,0.194988,0.060208,0.013317,0.136823,0.160698,0.013127,0.162814,0.008693,0.018465,-0.195740,0.158727,0.018590,-0.188293,-0.000732,0.018822,0.003645,0.047269,0.376663,0.161473,0.147512,0.376251,0.133398,0.121630,0.376730,0.233831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,0.000549,0.964019,-0.005396,-0.265779,0.096207,0.017499,0.185554,0.000387,0.088464,0.013303,0.236848,0.952401,0.126212,0.034655,0.195914,0.912682,0.045130,0.013232,0.195379,0.848480,0.060540,0.013217,0.137054,0.898172,0.160691,0.013090,0.162574,0.904134,0.088514,0.013290,0.237146,0.126012,0.034540,0.195792,0.045912,0.013449,0.194966,0.060208,0.013319,0.136817,0.160699,0.013130,0.162806,0.008702,0.018467,-0.195744,0.158727,0.018593,-0.188289,-0.000733,0.018827,0.003646,0.047266,0.376667,0.161468,0.147510,0.376252,0.133396,0.121635,0.376741,0.233780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
