Format Version,1.21,Take Name,Take 2024-08-16 12.36.54 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.36.54.276 AM,Total Frames in Take,2337,Total Exported Frames,2337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:508,Unlabeled:508,Unlabeled:508,Unlabeled:587,Unlabeled:587,Unlabeled:587,Unlabeled:598,Unlabeled:598,Unlabeled:598,Unlabeled:620,Unlabeled:620,Unlabeled:620,Unlabeled:621,Unlabeled:621,Unlabeled:621,Unlabeled:547,Unlabeled:547,Unlabeled:547,Unlabeled:608,Unlabeled:608,Unlabeled:608,Unlabeled:622,Unlabeled:622,Unlabeled:622,Unlabeled:616,Unlabeled:616,Unlabeled:616,Unlabeled:623,Unlabeled:623,Unlabeled:623,Unlabeled:625,Unlabeled:625,Unlabeled:625,Unlabeled:627,Unlabeled:627,Unlabeled:627,Unlabeled:626,Unlabeled:626,Unlabeled:626,Unlabeled:628,Unlabeled:628,Unlabeled:628,Unlabeled:624,Unlabeled:624,Unlabeled:624,Unlabeled:629,Unlabeled:629,Unlabeled:629,Unlabeled:630,Unlabeled:630,Unlabeled:630,Unlabeled:631,Unlabeled:631,Unlabeled:631,Unlabeled:635,Unlabeled:635,Unlabeled:635,Unlabeled:634,Unlabeled:634,Unlabeled:634,Unlabeled:636,Unlabeled:636,Unlabeled:636,Unlabeled:638,Unlabeled:638,Unlabeled:638,Unlabeled:637,Unlabeled:637,Unlabeled:637,Unlabeled:640,Unlabeled:640,Unlabeled:640,Unlabeled:639,Unlabeled:639,Unlabeled:639,Unlabeled:642,Unlabeled:642,Unlabeled:642,Unlabeled:605,Unlabeled:605,Unlabeled:605,Unlabeled:644,Unlabeled:644,Unlabeled:644,Unlabeled:564,Unlabeled:564,Unlabeled:564,Unlabeled:647,Unlabeled:647,Unlabeled:647,Unlabeled:649,Unlabeled:649,Unlabeled:649,Unlabeled:646,Unlabeled:646,Unlabeled:646,Unlabeled:651,Unlabeled:651,Unlabeled:651,Unlabeled:652,Unlabeled:652,Unlabeled:652,Unlabeled:641,Unlabeled:641,Unlabeled:641,Unlabeled:648,Unlabeled:648,Unlabeled:648,Unlabeled:655,Unlabeled:655,Unlabeled:655,Unlabeled:657,Unlabeled:657,Unlabeled:657,Unlabeled:656,Unlabeled:656,Unlabeled:656,Unlabeled:659,Unlabeled:659,Unlabeled:659,Unlabeled:660,Unlabeled:660,Unlabeled:660,Unlabeled:661,Unlabeled:661,Unlabeled:661,Unlabeled:663,Unlabeled:663,Unlabeled:663,Unlabeled:664,Unlabeled:664,Unlabeled:664,Unlabeled:665,Unlabeled:665,Unlabeled:665,Unlabeled:668,Unlabeled:668,Unlabeled:668
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E357024B","8392B20CF49E357024B","8392B20CF49E357024B","8392B20CF49E3570256","8392B20CF49E3570256","8392B20CF49E3570256","8392B20CF49E357026C","8392B20CF49E357026C","8392B20CF49E357026C","8392B20CF49E357026D","8392B20CF49E357026D","8392B20CF49E357026D","8392B20CF49E3570223","8392B20CF49E3570223","8392B20CF49E3570223","8392B20CF49E3570260","8392B20CF49E3570260","8392B20CF49E3570260","8392B20CF49E357026E","8392B20CF49E357026E","8392B20CF49E357026E","8392B20CF49E3570268","8392B20CF49E3570268","8392B20CF49E3570268","8392B20CF49E357026F","8392B20CF49E357026F","8392B20CF49E357026F","8392B20CF49E3570271","8392B20CF49E3570271","8392B20CF49E3570271","8392B20CF49E3570273","8392B20CF49E3570273","8392B20CF49E3570273","8392B20CF49E3570272","8392B20CF49E3570272","8392B20CF49E3570272","8392B20CF49E3570274","8392B20CF49E3570274","8392B20CF49E3570274","8392B20CF49E3570270","8392B20CF49E3570270","8392B20CF49E3570270","8392B20CF49E3570275","8392B20CF49E3570275","8392B20CF49E3570275","8392B20CF49E3570276","8392B20CF49E3570276","8392B20CF49E3570276","8392B20CF49E3570277","8392B20CF49E3570277","8392B20CF49E3570277","8392B20CF49E357027B","8392B20CF49E357027B","8392B20CF49E357027B","8392B20CF49E357027A","8392B20CF49E357027A","8392B20CF49E357027A","8392B20CF49E357027C","8392B20CF49E357027C","8392B20CF49E357027C","8392B20CF49E357027E","8392B20CF49E357027E","8392B20CF49E357027E","8392B20CF49E357027D","8392B20CF49E357027D","8392B20CF49E357027D","8392B20CF49E3570280","8392B20CF49E3570280","8392B20CF49E3570280","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E3570282","8392B20CF49E3570282","8392B20CF49E3570282","8392B20CF49E357025D","8392B20CF49E357025D","8392B20CF49E357025D","8392B20CF49E3570284","8392B20CF49E3570284","8392B20CF49E3570284","8392B20CF49E3570234","8392B20CF49E3570234","8392B20CF49E3570234","8392B20CF49E3570287","8392B20CF49E3570287","8392B20CF49E3570287","8392B20CF49E3570289","8392B20CF49E3570289","8392B20CF49E3570289","8392B20CF49E3570286","8392B20CF49E3570286","8392B20CF49E3570286","8392B20CF49E357028B","8392B20CF49E357028B","8392B20CF49E357028B","8392B20CF49E357028C","8392B20CF49E357028C","8392B20CF49E357028C","8392B20CF49E3570281","8392B20CF49E3570281","8392B20CF49E3570281","8392B20CF49E3570288","8392B20CF49E3570288","8392B20CF49E3570288","8392B20CF49E357028F","8392B20CF49E357028F","8392B20CF49E357028F","8392B20CF49E3570291","8392B20CF49E3570291","8392B20CF49E3570291","8392B20CF49E3570290","8392B20CF49E3570290","8392B20CF49E3570290","8392B20CF49E3570293","8392B20CF49E3570293","8392B20CF49E3570293","8392B20CF49E3570294","8392B20CF49E3570294","8392B20CF49E3570294","8392B20CF49E3570295","8392B20CF49E3570295","8392B20CF49E3570295","8392B20CF49E3570297","8392B20CF49E3570297","8392B20CF49E3570297","8392B20CF49E3570298","8392B20CF49E3570298","8392B20CF49E3570298","8392B20CF49E3570299","8392B20CF49E3570299","8392B20CF49E3570299","8392B20CF49E357029C","8392B20CF49E357029C","8392B20CF49E357029C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.004217,0.955518,-0.011455,-0.294680,0.090429,0.017658,0.204923,0.054864,0.085773,0.014193,0.256643,1.000000,0.121068,0.034815,0.213222,0.897961,0.040020,0.013759,0.217860,0.809182,0.051891,0.012883,0.158720,0.870190,0.153395,0.012642,0.178169,0.830511,,,,0.120750,0.034619,0.212904,0.040687,0.013514,0.217408,0.051211,0.013313,0.158550,0.153567,0.012315,0.178760,0.158022,0.018639,-0.188631,-0.000909,0.018395,0.004196,0.138254,0.376413,0.148556,0.119258,0.376338,0.250606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,0.004269,0.955514,-0.011426,-0.294693,0.090422,0.017663,0.204927,0.054866,0.085766,0.014197,0.256647,1.000000,0.121063,0.034815,0.213226,0.896371,0.040013,0.013769,0.217866,0.805401,0.051882,0.012892,0.158726,0.872427,0.153386,0.012640,0.178172,0.828326,,,,0.120747,0.034619,0.212903,0.040693,0.013512,0.217410,0.051212,0.013318,0.158555,0.153541,0.012306,0.178771,0.158024,0.018638,-0.188636,-0.000906,0.018398,0.004195,0.138240,0.376369,0.148561,0.119258,0.376339,0.250607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,0.004321,0.955517,-0.011515,-0.294679,0.090423,0.017665,0.204926,0.054866,0.085765,0.014210,0.256646,1.000000,0.121064,0.034818,0.213222,0.895237,0.040013,0.013776,0.217864,0.804078,0.051884,0.012887,0.158724,0.872100,0.153388,0.012634,0.178173,0.827509,,,,0.120751,0.034617,0.212898,0.040697,0.013526,0.217400,0.051212,0.013316,0.158550,0.153538,0.012312,0.178763,0.158024,0.018638,-0.188632,-0.000910,0.018394,0.004196,0.138250,0.376412,0.148561,0.119256,0.376335,0.250602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,0.004335,0.955527,-0.011481,-0.294650,0.090419,0.017667,0.204922,0.054864,0.085758,0.014209,0.256642,1.000000,0.121061,0.034819,0.213221,0.895237,0.040008,0.013780,0.217857,0.804078,0.051882,0.012894,0.158718,0.872100,0.153385,0.012635,0.178173,0.827509,,,,0.120747,0.034624,0.212905,0.040693,0.013530,0.217392,0.051208,0.013322,0.158544,0.153536,0.012320,0.178754,0.158016,0.018637,-0.188636,-0.000912,0.018393,0.004199,0.138238,0.376368,0.148555,0.119255,0.376339,0.250599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,0.004242,0.955515,-0.011446,-0.294689,0.090428,0.017663,0.204923,0.054865,0.085772,0.014198,0.256643,1.000000,0.121068,0.034818,0.213221,0.895547,0.040019,0.013766,0.217861,0.804011,0.051888,0.012890,0.158721,0.871248,0.153393,0.012644,0.178168,0.828527,,,,0.120746,0.034615,0.212899,0.040694,0.013521,0.217399,0.051209,0.013318,0.158555,0.153561,0.012322,0.178756,0.158021,0.018638,-0.188635,-0.000910,0.018397,0.004196,0.138247,0.376410,0.148559,0.119252,0.376344,0.250605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,0.004244,0.955512,-0.011427,-0.294699,0.090429,0.017665,0.204924,0.054869,0.085774,0.014198,0.256644,1.000000,0.121070,0.034819,0.213223,0.896526,0.040020,0.013769,0.217864,0.805880,0.051889,0.012894,0.158723,0.869383,0.153394,0.012646,0.178168,0.827929,,,,0.120752,0.034617,0.212898,0.040696,0.013522,0.217402,0.051209,0.013319,0.158556,0.153564,0.012308,0.178773,0.158025,0.018640,-0.188634,-0.000913,0.018396,0.004196,0.138250,0.376408,0.148567,0.119258,0.376341,0.250603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
