Format Version,1.21,Take Name,Take 2024-08-16 12.58.48 AM,Capture Frame Rate,50.000000,Export Frame Rate,50.000000,Capture Start Time,2024-08-16 12.58.48.539 AM,Total Frames in Take,3051,Total Exported Frames,3051,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_4,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1_5,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker4,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Rigid Body 1:Marker5,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:508,Unlabeled:508,Unlabeled:508,Unlabeled:620,Unlabeled:620,Unlabeled:620,Unlabeled:997,Unlabeled:997,Unlabeled:997,Unlabeled:1007,Unlabeled:1007,Unlabeled:1007,Unlabeled:1009,Unlabeled:1009,Unlabeled:1009,Unlabeled:998,Unlabeled:998,Unlabeled:998,Unlabeled:1008,Unlabeled:1008,Unlabeled:1008,Unlabeled:1006,Unlabeled:1006,Unlabeled:1006,Unlabeled:1004,Unlabeled:1004,Unlabeled:1004,Unlabeled:1014,Unlabeled:1014,Unlabeled:1014,Unlabeled:1017,Unlabeled:1017,Unlabeled:1017,Unlabeled:1018,Unlabeled:1018,Unlabeled:1018,Unlabeled:1019,Unlabeled:1019,Unlabeled:1019,Unlabeled:1020,Unlabeled:1020,Unlabeled:1020,Unlabeled:1021,Unlabeled:1021,Unlabeled:1021,Unlabeled:1022,Unlabeled:1022,Unlabeled:1022,Unlabeled:1023,Unlabeled:1023,Unlabeled:1023,Unlabeled:1015,Unlabeled:1015,Unlabeled:1015,Unlabeled:1024,Unlabeled:1024,Unlabeled:1024,Unlabeled:1016,Unlabeled:1016,Unlabeled:1016,Unlabeled:1025,Unlabeled:1025,Unlabeled:1025,Unlabeled:1026,Unlabeled:1026,Unlabeled:1026,Unlabeled:1027,Unlabeled:1027,Unlabeled:1027,Unlabeled:1029,Unlabeled:1029,Unlabeled:1029,Unlabeled:1028,Unlabeled:1028,Unlabeled:1028,Unlabeled:994,Unlabeled:994,Unlabeled:994,Unlabeled:618,Unlabeled:618,Unlabeled:618,Unlabeled:428,Unlabeled:428,Unlabeled:428,Unlabeled:1030,Unlabeled:1030,Unlabeled:1030,Unlabeled:1031,Unlabeled:1031,Unlabeled:1031,Unlabeled:1032,Unlabeled:1032,Unlabeled:1032,Unlabeled:1033,Unlabeled:1033,Unlabeled:1033,Unlabeled:1037,Unlabeled:1037,Unlabeled:1037,Unlabeled:1034,Unlabeled:1034,Unlabeled:1034,Unlabeled:1035,Unlabeled:1035,Unlabeled:1035,Unlabeled:1039,Unlabeled:1039,Unlabeled:1039,Unlabeled:1041,Unlabeled:1041,Unlabeled:1041,Unlabeled:1042,Unlabeled:1042,Unlabeled:1042,Unlabeled:1043,Unlabeled:1043,Unlabeled:1043,Unlabeled:1040,Unlabeled:1040,Unlabeled:1040,Unlabeled:1038,Unlabeled:1038,Unlabeled:1038,Unlabeled:1051,Unlabeled:1051,Unlabeled:1051,Unlabeled:1045,Unlabeled:1045,Unlabeled:1045,Unlabeled:1050,Unlabeled:1050,Unlabeled:1050,Unlabeled:1053,Unlabeled:1053,Unlabeled:1053
,,"3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","3D53BE645BFD11EFCA23BCA05683489","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E3573100000005","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E35701FC","8392B20CF49E357026C","8392B20CF49E357026C","8392B20CF49E357026C","8392B20CF49E35703E5","8392B20CF49E35703E5","8392B20CF49E35703E5","8392B20CF49E35703EF","8392B20CF49E35703EF","8392B20CF49E35703EF","8392B20CF49E35703F1","8392B20CF49E35703F1","8392B20CF49E35703F1","8392B20CF49E35703E6","8392B20CF49E35703E6","8392B20CF49E35703E6","8392B20CF49E35703F0","8392B20CF49E35703F0","8392B20CF49E35703F0","8392B20CF49E35703EE","8392B20CF49E35703EE","8392B20CF49E35703EE","8392B20CF49E35703EC","8392B20CF49E35703EC","8392B20CF49E35703EC","8392B20CF49E35703F6","8392B20CF49E35703F6","8392B20CF49E35703F6","8392B20CF49E35703F9","8392B20CF49E35703F9","8392B20CF49E35703F9","8392B20CF49E35703FA","8392B20CF49E35703FA","8392B20CF49E35703FA","8392B20CF49E35703FB","8392B20CF49E35703FB","8392B20CF49E35703FB","8392B20CF49E35703FC","8392B20CF49E35703FC","8392B20CF49E35703FC","8392B20CF49E35703FD","8392B20CF49E35703FD","8392B20CF49E35703FD","8392B20CF49E35703FE","8392B20CF49E35703FE","8392B20CF49E35703FE","8392B20CF49E35703FF","8392B20CF49E35703FF","8392B20CF49E35703FF","8392B20CF49E35703F7","8392B20CF49E35703F7","8392B20CF49E35703F7","8392B20CF49E3570400","8392B20CF49E3570400","8392B20CF49E3570400","8392B20CF49E35703F8","8392B20CF49E35703F8","8392B20CF49E35703F8","8392B20CF49E3570401","8392B20CF49E3570401","8392B20CF49E3570401","8392B20CF49E3570402","8392B20CF49E3570402","8392B20CF49E3570402","8392B20CF49E3570403","8392B20CF49E3570403","8392B20CF49E3570403","8392B20CF49E3570405","8392B20CF49E3570405","8392B20CF49E3570405","8392B20CF49E3570404","8392B20CF49E3570404","8392B20CF49E3570404","8392B20CF49E35703E2","8392B20CF49E35703E2","8392B20CF49E35703E2","8392B20CF49E357026A","8392B20CF49E357026A","8392B20CF49E357026A","8392B20CF49E35701AC","8392B20CF49E35701AC","8392B20CF49E35701AC","8392B20CF49E3570406","8392B20CF49E3570406","8392B20CF49E3570406","8392B20CF49E3570407","8392B20CF49E3570407","8392B20CF49E3570407","8392B20CF49E3570408","8392B20CF49E3570408","8392B20CF49E3570408","8392B20CF49E3570409","8392B20CF49E3570409","8392B20CF49E3570409","8392B20CF49E357040D","8392B20CF49E357040D","8392B20CF49E357040D","8392B20CF49E357040A","8392B20CF49E357040A","8392B20CF49E357040A","8392B20CF49E357040B","8392B20CF49E357040B","8392B20CF49E357040B","8392B20CF49E357040F","8392B20CF49E357040F","8392B20CF49E357040F","8392B20CF49E3570411","8392B20CF49E3570411","8392B20CF49E3570411","8392B20CF49E3570412","8392B20CF49E3570412","8392B20CF49E3570412","8392B20CF49E3570413","8392B20CF49E3570413","8392B20CF49E3570413","8392B20CF49E3570410","8392B20CF49E3570410","8392B20CF49E3570410","8392B20CF49E357040E","8392B20CF49E357040E","8392B20CF49E357040E","8392B20CF49E357041B","8392B20CF49E357041B","8392B20CF49E357041B","8392B20CF49E3570415","8392B20CF49E3570415","8392B20CF49E3570415","8392B20CF49E357041A","8392B20CF49E357041A","8392B20CF49E357041A","8392B20CF49E357041D","8392B20CF49E357041D","8392B20CF49E357041D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.000230,-0.484951,0.006855,0.874515,0.073243,0.017247,0.173942,0.083402,0.124687,0.013168,0.180692,0.937799,0.082980,0.034138,0.143581,0.945316,0.084096,0.013453,0.224849,0.903869,0.025474,0.013244,0.210614,1.000000,0.048979,0.012229,0.109976,1.000000,0.125093,0.013129,0.180754,0.082991,0.034185,0.144007,0.083963,0.013746,0.224974,,,,,,,0.157060,0.018471,-0.188877,-0.001562,0.018523,0.004240,0.007183,0.018355,-0.195496,0.052739,0.376740,0.221140,0.124088,0.376230,0.145651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.020000,-0.000443,-0.484990,0.006800,0.874493,0.073268,0.017282,0.174000,0.039637,0.124709,0.013190,0.180756,0.863880,0.083013,0.034161,0.143634,0.889050,0.084115,0.013502,0.224909,0.848190,0.025494,0.013306,0.210668,1.000000,0.049008,0.012252,0.110033,0.743212,0.125089,0.013129,0.180754,0.082989,0.034185,0.144006,0.083954,0.013735,0.224968,,,,0.048780,0.012617,0.109011,0.157056,0.018471,-0.188876,-0.001565,0.018524,0.004240,0.007175,0.018365,-0.195496,0.052743,0.376728,0.221125,0.124094,0.376224,0.145645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.040000,-0.000414,-0.485003,0.006806,0.874486,0.073272,0.017284,0.173993,0.039638,0.124714,0.013194,0.180750,0.863473,0.083018,0.034165,0.143628,0.889063,0.084118,0.013502,0.224902,0.847672,0.025498,0.013305,0.210660,1.000000,0.049014,0.012256,0.110025,0.742131,0.125095,0.013132,0.180747,0.082996,0.034190,0.144001,0.083958,0.013738,0.224966,,,,0.048783,0.012616,0.109005,0.157064,0.018475,-0.188884,-0.001559,0.018525,0.004234,0.007280,0.018414,-0.195483,0.052742,0.376734,0.221121,0.124091,0.376233,0.145634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.060000,-0.000133,-0.484969,0.006867,0.874504,0.073242,0.017244,0.173937,0.083398,0.124686,0.013170,0.180689,0.863473,0.082979,0.034141,0.143579,0.889063,0.084093,0.013444,0.224844,0.847672,0.025472,0.013230,0.210606,1.000000,0.048981,0.012234,0.109969,0.742131,0.125089,0.013131,0.180749,0.082990,0.034188,0.144001,0.083961,0.013732,0.224966,,,,,,,0.157057,0.018472,-0.188879,-0.001562,0.018521,0.004232,0.007186,0.018361,-0.195497,0.052730,0.376749,0.221094,0.124089,0.376227,0.145643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.080000,-0.000462,-0.484997,0.006823,0.874489,0.073267,0.017282,0.174004,0.039640,0.124709,0.013192,0.180760,0.938442,0.083012,0.034159,0.143637,0.945741,0.084113,0.013505,0.224913,0.904694,0.025493,0.013307,0.210671,1.000000,0.049008,0.012248,0.110036,1.000000,0.125086,0.013129,0.180758,0.082989,0.034186,0.144013,0.083956,0.013743,0.224975,,,,0.048781,0.012609,0.109011,0.157060,0.018469,-0.188875,-0.001568,0.018519,0.004240,0.007216,0.018366,-0.195472,0.052742,0.376738,0.221135,0.124090,0.376223,0.145651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.100000,-0.000389,-0.484998,0.006841,0.874488,0.073270,0.017281,0.173999,0.039637,0.124712,0.013195,0.180756,0.864137,0.083013,0.034163,0.143635,0.890316,0.084116,0.013499,0.224908,0.848512,0.025496,0.013297,0.210667,1.000000,0.049011,0.012251,0.110032,0.745757,0.125093,0.013131,0.180749,0.082988,0.034190,0.144006,0.083956,0.013740,0.224976,,,,0.048788,0.012605,0.109025,0.157057,0.018472,-0.188877,-0.001565,0.018522,0.004241,0.007275,0.018420,-0.195481,0.052742,0.376732,0.221131,0.124088,0.376223,0.145651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
